site,unit_type,bus_id,bus_name,nameplate_mw,annual_curtailment_mwh,curt_mean_mw,curt_p50_mw,curt_p90_mw,curt_p95_mw,curt_p99_mw,curt_max_mw,hours_lmp_lt10,frac_hours_lmp_lt10,avail_lmp_lt10_mean_mw,avail_lmp_lt10_p90_mw,avail_lmp_lt10_p95_mw,avail_lmp_lt10_p90_daylight_mw,hours_lmp_lt15,frac_hours_lmp_lt15,avail_lmp_lt15_mean_mw,avail_lmp_lt15_p90_mw,avail_lmp_lt15_p95_mw,avail_lmp_lt15_p90_daylight_mw,hours_lmp_lt25,frac_hours_lmp_lt25,avail_lmp_lt25_mean_mw,avail_lmp_lt25_p90_mw,avail_lmp_lt25_p95_mw,avail_lmp_lt25_p90_daylight_mw,curtailment_hours_gt5mw,frac_curt_hours_lmp_le1,omega_ratio_raw,omega_ratio_curt_p95,omega_min,omega_max_recommended,omega_oat_reference
303_WIND_1,WIND,303,Caesar,847.0,620727.190253,70.6656637355419,0.0,289.3609197,452.5559539000006,823.1510000000001,837.0,3207,0.3650956284153005,493.1248830682881,829.2,832.5,829.2,3242,0.36908014571949,490.32045033929677,829.1,832.5,829.1,7258,0.8262750455373407,271.55892807936067,793.1600000000001,827.9150000000001,793.1600000000001,2004,0.9995009980039921,0.978866587957497,0.5343045500590325,0.05,1.0,0.5
317_WIND_1,WIND,317,Chuhsi,799.1,427574.69818999997,48.67653667918943,0.0,51.2,528.5000000000007,779.6170000000001,795.1,2410,0.27436247723132967,488.0699585062241,783.61,786.5,783.61,2487,0.28312841530054644,489.82368315239245,783.64,786.5,783.64,7126,0.811247723132969,296.33744035924775,762.45,782.7,762.45,1125,1.0,0.9806532348892504,0.6613690401701923,0.05,1.0,0.5
122_WIND_1,WIND,122,Aubrey,713.5,227460.73969,25.894892951958106,0.0,7.639999999999964,201.33070230000033,584.8589239400001,706.6,2445,0.27834699453551914,441.7256032719837,701.1,702.9,701.1,2514,0.28620218579234974,441.5064041368338,701.1,702.9,701.1,7158,0.8148907103825137,265.761888795753,693.9300000000001,700.5,693.9300000000001,920,1.0,0.9826208829712684,0.2821733739313249,0.05,1.0,0.5
319_PV_1,PV,319,Clay,188.2,74457.843548,8.47653045856102,0.0,0.0,117.87000000000008,152.717,175.6,2395,0.27265482695810567,87.95265135699374,150.7,157.9,154.43,2482,0.2825591985428051,85.93904109589042,150.5,157.69499999999996,154.4,7112,0.8096539162112932,60.66432789651294,142.8,150.1,149.42000000000004,607,1.0,0.7996811902231669,0.6263018065887358,0.02,0.8,0.4
310_PV_2,PV,310,Caruso,51.6,29633.051006,3.3735258431238617,0.0,5.191759899999995,35.8,42.0,47.3,2382,0.27117486338797814,23.186523929471033,40.1,42.0,41.0,2431,0.2767531876138434,22.962978198272317,40.1,42.0,41.0,6840,0.7786885245901639,16.5781432748538,38.1,40.1,39.9,880,1.0,0.7771317829457365,0.693798449612403,0.02,0.8,0.4
324_PV_3,PV,324,Curie,51.0,28260.631664,3.2172850255009107,0.0,0.0,35.5,42.1,50.8,2506,0.28529143897996356,22.29756584197925,40.6,42.3,41.73,3107,0.35371129326047357,18.427454135822337,39.8,42.0,41.6,7133,0.8120446265938069,16.11504275900743,38.3,40.5,40.3,835,1.0,0.780392156862745,0.696078431372549,0.02,0.8,0.4
324_PV_2,PV,324,Curie,51.6,26265.279119,2.9901274042577413,0.0,0.0,35.0,41.4,49.9,2506,0.28529143897996356,22.231205107741417,40.0,42.175000000000004,41.2,3107,0.35371129326047357,18.402767943353716,39.5,41.569999999999986,41.1,7133,0.8120446265938069,16.004528248983597,38.2,40.1,39.9,780,1.0,0.7655038759689923,0.6782945736434108,0.02,0.8,0.4
309_WIND_1,WIND,309,Carter,148.3,24236.427687000003,2.7591561574453554,0.0,0.0,1.6850000000000362,129.217,147.7,2379,0.2708333333333333,74.82757461118116,146.0,146.9,146.0,2415,0.274931693989071,74.82070393374741,146.0,146.9,146.0,6493,0.7391848816029144,41.42901586323733,143.2,145.7,143.2,314,1.0,0.9844908968307484,0.011362103843560595,0.05,1.0,0.5
324_PV_1,PV,324,Curie,49.7,24751.471196000002,2.817790436703097,0.0,0.0,34.2,41.91700000000001,48.2,2506,0.28529143897996356,22.19437350359138,40.3,42.4,41.4,3107,0.35371129326047357,18.35088509816543,39.64000000000001,41.8,41.349999999999994,7133,0.8120446265938069,16.10459834571709,38.1,40.139999999999965,40.08000000000002,734,1.0,0.7975855130784709,0.688128772635815,0.02,0.8,0.4
320_PV_1,PV,320,Clive,51.6,24126.066619999998,2.7465922836976318,0.0,0.0,34.0,40.5,51.2,2387,0.2717440801457195,23.040008378718056,39.5,41.26999999999998,40.5,2479,0.28221766848816027,22.45703912868092,39.4,41.2,40.460000000000015,7093,0.8074908925318761,15.929592556041166,37.7,39.7,39.5,732,1.0,0.7635658914728681,0.6589147286821705,0.02,0.8,0.4
