generator,unit_type,nameplate_mw,annual_curtailment_mwh,share_of_system,cumulative_share
303_WIND_1,WIND,847.0,620727.190253,0.36760398825611673,0.36760398825611673
317_WIND_1,WIND,799.1,427574.69819,0.25321617419076764,0.6208201624468843
122_WIND_1,WIND,713.5,227460.73969,0.13470567488375987,0.7555258373306442
319_PV_1,PV,188.2,74457.843548,0.04409505604875907,0.7996208933794032
310_PV_2,PV,51.6,29633.051006,0.017549138985779887,0.8171700323651832
324_PV_3,PV,51.0,28260.631664,0.016736371587152795,0.833906403952336
324_PV_2,PV,51.6,26265.279119,0.015554693766305236,0.8494610977186412
324_PV_1,PV,49.7,24751.471196,0.014658193921145087,0.8641192916397863
309_WIND_1,WIND,148.3,24236.427687,0.014353177400188988,0.8784724690399752
320_PV_1,PV,51.6,24126.06662,0.014287819914622963,0.8927602889545981
314_PV_3,PV,92.7,22376.887564,0.013251929740555366,0.9060122186951535
314_PV_4,PV,51.6,17849.395132,0.010570680552608196,0.9165828992477617
313_PV_2,PV,93.3,17135.044571,0.010147631394523847,0.9267305306422855
312_PV_1,PV,94.1,13607.984283,0.008058853185597464,0.934789383827883
215_PV_1,PV,125.1,13587.762638,0.008046877622954448,0.9428362614508374
313_PV_1,PV,95.1,13586.987169,0.008046418378536537,0.950882679829374
314_PV_2,PV,51.6,13138.822097,0.0077810082749495794,0.9586636881043236
113_PV_1,PV,93.6,11310.159298,0.0066980466315036,0.9653617347358272
314_PV_1,PV,51.6,10232.085846,0.006059595300852673,0.9714213300366799
101_PV_1,PV,25.9,9600.708743,0.0056856842739137796,0.9771070143105937
310_PV_1,PV,51.7,7806.200133,0.004622949255447667,0.9817299635660414
101_PV_2,PV,26.7,7069.403014,0.004186606907741548,0.9859165704737829
119_PV_1,PV,66.6,4877.468215,0.0028885101161681822,0.9888050805899511
103_PV_1,PV,61.5,3749.3,0.002220391912599961,0.991025472502551
104_PV_1,PV,26.8,3372.650076,0.0019973341564505486,0.9930228066590016
101_PV_4,PV,25.8,3127.518896,0.0018521637807542629,0.9948749704397558
101_PV_3,PV,26.2,3026.430177,0.0017922975192860716,0.9966672679590419
102_PV_2,PV,25.3,2924.583432,0.0017319823434072058,0.9983992503024491
102_PV_1,PV,25.6,2702.987165,0.001600749697550875,1.0
