scenario,metric,floor,BO_median,BO_IQR,BO_max,random_median,random_IQR,random_max,Sobol_median,Sobol_IQR,Sobol_max
A,cost,500000.0,6.0,6–7,15.0,46.0,20–60,80.0,76.0,76–76,76.0
A,curt,5000.0,6.0,6–7,10.0,26.0,15–45,73.0,66.0,66–66,66.0
A,shed,3000.0,3.0,1–6,8.0,3.0,2–5,15.0,2.0,2–2,2.0
A,starts,60.0,7.5,5–11,20.0,6.5,2–12,37.0,11.0,11–11,11.0
B,cost,500000.0,6.0,6–7,8.0,37.5,20–61,81.0,77.0,77–77,77.0
B,curt,5000.0,6.0,6–7,10.0,26.0,15–45,73.0,66.0,66–66,66.0
B,shed,3000.0,5.5,3–6,8.0,5.0,3–9,41.0,2.0,2–2,2.0
B,starts,60.0,6.0,6–7,14.0,17.0,10–26,57.0,48.0,48–48,48.0
C,cost,500000.0,6.0,6–7,9.0,37.5,20–61,81.0,77.0,77–77,77.0
C,curt,5000.0,6.0,6–7,11.0,26.0,15–45,73.0,66.0,66–66,66.0
C,shed,3000.0,3.5,2–6,7.0,4.0,2–7,41.0,2.0,2–2,2.0
C,starts,60.0,6.0,4–6,9.0,14.5,7–20,57.0,16.0,16–16,16.0
