scenario,metric,ideal,nadir,reference
A,cost,-32167952.344724,-3324271.5467069745,-439903.46690527163
A,curt,-1351127.8092499997,-188849.33819899897,-72621.49109389889
A,shed,-12109.295345000002,619.4782629999972,1892.3556237999974
A,starts,-706.0,-4.0,66.2
B,cost,4451114.66535902,40142920.36804104,43712100.93830924
B,curt,-1243651.3723739998,-189109.84866699995,-83655.69629629997
B,shed,-33870.429748,-232.63080000000627,3131.1490947999937
B,starts,-1712.0,-262.0,-117.0
C,cost,4004157.0022280216,49568068.90721798,54124460.09771697
C,curt,-1217766.6531289995,-194284.1194159996,-91935.8660446996
C,shed,-38579.876553,-1397.6410530000069,2320.582496999993
C,starts,-2245.0,-183.0,23.200000000000017
