scenario,metric,quad_r2,quad_rmse_dof,quad_rmse_n,grid_min,grid_max,floor,n_cells_within_floor
A,cost,0.997769727449629,341877.5188673656,328971.79591325816,-32167952.344724,-3324271.5467069745,500000.0,1
A,curt,0.992064120173617,23806.32177053158,22907.64380438543,-1351127.8092499997,-188849.33819899897,5000.0,2
A,shed,0.6272051034116535,1712.6130383313555,1647.9626644971183,-12109.295345000002,619.4782629999972,3000.0,20
A,starts,0.8740362468899525,54.60880918767346,52.54735114104697,-706.0,-4.0,60.0,8
B,cost,0.9979627549817889,417551.57652028365,401789.1918408973,4451114.66535902,40142920.36804104,500000.0,1
B,curt,0.9882150845850257,26327.96236927877,25334.09360186239,-1243651.3723739998,-189109.84866699995,5000.0,2
B,shed,0.9763508285432991,1232.429506148578,1185.9058452201982,-33870.429748,-232.63080000000627,3000.0,12
B,starts,0.9725156116248577,56.20003464966445,54.07850855575011,-1712.0,-262.0,60.0,3
C,cost,0.997456601588072,596232.5182192425,573725.0081558134,4004157.0022280216,49568068.90721798,500000.0,1
C,curt,0.9899848598762562,23582.572881684468,22692.341335707493,-1217766.6531289995,-194284.1194159996,5000.0,2
C,shed,0.9843467979650682,1130.522677593484,1087.8459537226242,-38579.876553,-1397.6410530000069,3000.0,14
C,starts,0.9882592638174859,50.10578992298505,48.214318833323766,-2245.0,-183.0,60.0,4
