scenario,objective,m0_total_R2adj,m1_+intercepts_R2adj,m2_+tierxT_R2adj,d_intercepts_dR2adj,F_intercepts,p_intercepts,d_tierxT_dR2adj,F_tierxT,p_tierxT
B,load_shed_mwh,0.7722,0.9135,0.9678,0.1413,13.66,2.3403238235393955e-13,0.0543,4.73,0.0002525206626620801
B,true_curtailment_mwh,0.9033,0.9735,0.9873,0.0702,1665.45,0.0,0.0138,313.69,0.0
B,total_cost_raw_usd,0.609,0.9281,0.9975,0.3191,1662.37,0.0,0.0694,318.67,0.0
B,total_cost_less_synthetic_usd,0.5238,0.9202,0.9982,0.3964,1685.77,0.0,0.078,292.48,0.0
B,reserve_shortfall_mwh,0.8031,0.9456,0.9838,0.1425,,,0.0382,,
B,thermal_starts,0.8555,0.9498,0.9673,0.0943,,,0.0175,,
C,load_shed_mwh,0.7625,0.923,0.9666,0.1605,21.67,9.252427396772476e-22,0.0436,5.48,4.73924222790906e-05
C,true_curtailment_mwh,0.891,0.9699,0.9847,0.0789,1804.66,0.0,0.0148,327.37,0.0
C,total_cost_raw_usd,0.6328,0.9295,0.9976,0.2967,1668.27,0.0,0.0681,337.1,0.0
C,total_cost_less_synthetic_usd,0.5532,0.9207,0.998,0.3675,1676.01,0.0,0.0773,310.7,0.0
C,reserve_shortfall_mwh,0.7904,0.9326,0.97,0.1422,,,0.0374,,
C,thermal_starts,0.8201,0.9592,0.9805,0.1391,,,0.0213,,
