scenario,objective,tier,dg_dT,basis,n_pts
B,load_shed_mwh,nuclear,-11.859977017460379,in-window,8
B,load_shed_mwh,pv,16.604347832373296,in-window,4
B,load_shed_mwh,tail,-0.6564288132430474,in-window,5
B,load_shed_mwh,wind_122,-36.94840771585583,full-range,9
B,load_shed_mwh,wind_303,-58.30735229478667,in-window,2
B,load_shed_mwh,wind_317,-35.22095956442226,full-range,9
B,true_curtailment_mwh,nuclear,-1867.6379610201054,in-window,8
B,true_curtailment_mwh,pv,-1194.7115011709789,in-window,4
B,true_curtailment_mwh,tail,-776.6847189191395,in-window,5
B,true_curtailment_mwh,wind_122,-808.3293246329541,full-range,9
B,true_curtailment_mwh,wind_303,-2144.4383823923504,in-window,2
B,true_curtailment_mwh,wind_317,-853.6679577803972,full-range,9
B,total_cost_raw_usd,nuclear,154812.37324565646,in-window,8
B,total_cost_raw_usd,pv,42856.45827598476,in-window,4
B,total_cost_raw_usd,tail,17899.601327548688,in-window,5
B,total_cost_raw_usd,wind_122,29514.685195641454,full-range,9
B,total_cost_raw_usd,wind_303,37842.31437434697,in-window,2
B,total_cost_raw_usd,wind_317,29095.175773641455,full-range,9
B,total_cost_less_synthetic_usd,nuclear,139769.30225909164,in-window,8
B,total_cost_less_synthetic_usd,pv,40117.927960927096,in-window,4
B,total_cost_less_synthetic_usd,tail,9268.134399548944,in-window,5
B,total_cost_less_synthetic_usd,wind_122,22999.08034699176,full-range,9
B,total_cost_less_synthetic_usd,wind_303,28088.420357718463,in-window,2
B,total_cost_less_synthetic_usd,wind_317,24552.128028633266,full-range,9
B,reserve_shortfall_mwh,nuclear,-125.98999234179891,in-window,8
B,reserve_shortfall_mwh,pv,-119.85370444067868,in-window,4
B,reserve_shortfall_mwh,tail,-87.25911960725449,in-window,5
B,reserve_shortfall_mwh,wind_122,-132.77354111026673,full-range,9
B,reserve_shortfall_mwh,wind_303,-149.3350023090789,in-window,2
B,reserve_shortfall_mwh,wind_317,-118.18731642870156,full-range,9
B,thermal_starts,nuclear,-2.2502645502645526,in-window,8
B,thermal_starts,pv,-0.554237734854446,in-window,4
B,thermal_starts,tail,-1.6456363857670326,in-window,5
B,thermal_starts,wind_122,-1.283713839609532,full-range,9
B,thermal_starts,wind_303,-4.076306468650976,in-window,2
B,thermal_starts,wind_317,-1.4014011376834048,full-range,9
C,load_shed_mwh,nuclear,-34.699959029501045,in-window,12
C,load_shed_mwh,pv,-9.499858801052069,in-window,6
C,load_shed_mwh,tail,-11.211595331799202,in-window,7
C,load_shed_mwh,wind_122,-59.44386567034266,in-window,2
C,load_shed_mwh,wind_303,-20.18293914124155,in-window,3
C,load_shed_mwh,wind_317,-62.006822264521325,in-window,2
C,true_curtailment_mwh,nuclear,-1822.006189357732,in-window,12
C,true_curtailment_mwh,pv,-1048.003751210945,in-window,6
C,true_curtailment_mwh,tail,-566.8084340684715,in-window,7
C,true_curtailment_mwh,wind_122,-965.4014721911882,in-window,2
C,true_curtailment_mwh,wind_303,-1866.8203897346662,in-window,3
C,true_curtailment_mwh,wind_317,-1089.691691795371,in-window,2
C,total_cost_raw_usd,nuclear,161193.23715842722,in-window,12
C,total_cost_raw_usd,pv,35876.24861005062,in-window,6
C,total_cost_raw_usd,tail,17071.050198264293,in-window,7
C,total_cost_raw_usd,wind_122,35453.3040101631,in-window,2
C,total_cost_raw_usd,wind_303,29588.845713610757,in-window,3
C,total_cost_raw_usd,wind_317,39944.85770399114,in-window,2
C,total_cost_less_synthetic_usd,nuclear,146352.7595424239,in-window,12
C,total_cost_less_synthetic_usd,pv,32987.59647637442,in-window,6
C,total_cost_less_synthetic_usd,tail,14201.700411549333,in-window,7
C,total_cost_less_synthetic_usd,wind_122,20780.59769546449,in-window,2
C,total_cost_less_synthetic_usd,wind_303,19351.280039887915,in-window,3
C,total_cost_less_synthetic_usd,wind_317,29088.404672226083,in-window,2
C,reserve_shortfall_mwh,nuclear,-129.31453744159083,in-window,12
C,reserve_shortfall_mwh,pv,-40.657977330902284,in-window,6
C,reserve_shortfall_mwh,tail,-86.63625991920193,in-window,7
C,reserve_shortfall_mwh,wind_122,-213.21639002397376,in-window,2
C,reserve_shortfall_mwh,wind_303,-186.6825814503199,in-window,3
C,reserve_shortfall_mwh,wind_317,-239.24643405936968,in-window,2
C,thermal_starts,nuclear,-2.0593517766814387,in-window,12
C,thermal_starts,pv,-0.8537326599000666,in-window,6
C,thermal_starts,tail,-1.1001049098991962,in-window,7
C,thermal_starts,wind_122,-3.847600781912731,in-window,2
C,thermal_starts,wind_303,-1.4515627912757085,in-window,3
C,thermal_starts,wind_317,-1.960099849172419,in-window,2
