scenario,objective,L_median,L_max,T_at_max,floor_L,ratio_median,ratio_max
B,load_shed_mwh,6381.815434736465,10487.01937210634,173.0,12119.260475278663,0.5265845591613729,0.8653184238013671
B,true_curtailment_mwh,149996.6025849539,234907.7651187121,200.0,20198.76745879777,7.426027498505677,11.629806897766711
B,total_cost_raw_usd,17856230.210210234,25828223.2989372,43.0,2019876.745879777,8.840257330866383,12.78702938267031
B,total_cost_less_synthetic_usd,17629591.016335666,25754274.95991528,43.0,2019876.745879777,8.728052863768639,12.750419060197535
B,reserve_shortfall_mwh,26927.75407088772,40266.35403524642,200.0,,,
B,thermal_starts,291.9825993175159,352.4954259203714,200.0,,,
C,load_shed_mwh,7354.672160113598,8639.843265113639,155.0,12119.260475278663,0.6068581639214656,0.7129018542622734
C,true_curtailment_mwh,152506.31303976092,243851.7369856937,200.0,20198.76745879777,7.550278171717617,12.0726048004222
C,total_cost_raw_usd,17831637.075308174,26317829.8900643,43.0,2019876.745879777,8.828081768692986,13.029423673374342
C,total_cost_less_synthetic_usd,17128797.981305838,25873758.016932786,43.0,2019876.745879777,8.480120391625789,12.809572697795092
C,reserve_shortfall_mwh,27179.788750256732,39209.9330168101,200.0,,,
C,thermal_starts,444.62011239664025,541.8888679942729,173.0,,,
