pair,edge_tier,objective,max_disc,tolerance,beyond_tol,oat_interp
nuclear|wind_317,nuclear,load_shed_mwh,5631.9209249999985,4595.723378000002,True,False
nuclear|wind_317,wind_317,load_shed_mwh,2874.141023,7098.035185999994,False,False
nuclear|wind_317,nuclear,true_curtailment_mwh,68857.21454899898,78716.14188199979,False,False
nuclear|wind_317,wind_317,true_curtailment_mwh,34792.72315600002,35871.232196000405,False,False
nuclear|wind_317,nuclear,total_cost_raw_usd,3840661.173903942,3308199.4961079955,True,False
nuclear|wind_317,wind_317,total_cost_raw_usd,25928372.31768596,26506061.890863,False,False
nuclear|wind_317,nuclear,total_cost_less_synthetic_usd,3571944.2188169956,2277089.42582798,True,False
nuclear|wind_317,wind_317,total_cost_less_synthetic_usd,26229613.63393593,26823861.08197701,False,False
pv|tail,pv,load_shed_mwh,3217.3439603846127,4051.7827537755074,False,True
pv|tail,tail,load_shed_mwh,1741.4895845714273,7016.7764303846125,False,True
pv|tail,pv,true_curtailment_mwh,24709.038086294895,19285.13394534681,True,True
pv|tail,tail,true_curtailment_mwh,34401.78061300027,31799.469700460788,True,True
pv|tail,pv,total_cost_raw_usd,1538570.9290069938,1467234.7447380424,True,True
pv|tail,tail,total_cost_raw_usd,1328898.5909587145,1333031.0613057017,False,True
pv|tail,pv,total_cost_less_synthetic_usd,1357826.0014625192,1290978.1661608815,True,True
pv|tail,tail,total_cost_less_synthetic_usd,1296875.636441946,1234033.9712472558,True,True
nuclear|pv,nuclear,load_shed_mwh,3935.307528999998,7016.7764303846125,False,False
nuclear|pv,pv,load_shed_mwh,3089.0702846923014,7098.035185999994,False,True
nuclear|pv,nuclear,true_curtailment_mwh,23307.87209799979,31799.469700460788,False,False
nuclear|pv,pv,true_curtailment_mwh,22969.119969204534,35871.232196000405,False,True
nuclear|pv,nuclear,total_cost_raw_usd,1142052.7501900196,1333031.0613057017,False,False
nuclear|pv,pv,total_cost_raw_usd,26273207.91304201,26506061.890863,False,True
nuclear|pv,nuclear,total_cost_less_synthetic_usd,1042426.3882560134,1234033.9712472558,False,False
nuclear|pv,pv,total_cost_less_synthetic_usd,26553033.239358723,26823861.08197701,False,True
wind_303|wind_317,wind_303,load_shed_mwh,5064.802233000002,4595.723378000002,True,False
wind_303|wind_317,wind_317,load_shed_mwh,4458.366458000004,4968.077699000001,False,False
wind_303|wind_317,wind_303,true_curtailment_mwh,77611.10786399944,78716.14188199979,False,False
wind_303|wind_317,wind_317,true_curtailment_mwh,120567.9775339996,121673.01155199995,False,False
wind_303|wind_317,wind_303,total_cost_raw_usd,4156663.7227859497,3308199.4961079955,True,False
wind_303|wind_317,wind_317,total_cost_raw_usd,3692050.6659070253,3630255.733007014,True,False
wind_303|wind_317,wind_303,total_cost_less_synthetic_usd,3571254.8141059875,2277089.42582798,True,False
wind_303|wind_317,wind_317,total_cost_less_synthetic_usd,3253785.029026985,2799238.2652069926,True,False
