pair,objective,T_mw,gp_range,range_floor,ratio,n_cells,read
nuclear|wind_317,load_shed_mwh,392.13437500000003,10505.695635673495,13591.43064172183,0.772964665207796,11.0,ok
nuclear|wind_317,load_shed_mwh,487.348125,9837.768925722874,14050.086813931397,0.7001927501236654,13.0,ok
nuclear|wind_317,load_shed_mwh,629.5275,6044.706625867824,14050.086813931397,0.4302255712665192,13.0,ok
nuclear|wind_317,load_shed_mwh,771.706875,2149.813416619543,14050.086813931397,0.15301068563419057,13.0,ok
nuclear|wind_317,load_shed_mwh,866.9206250000001,552.3709928269691,13591.43064172183,0.0406411221443714,11.0,ok
nuclear|wind_317,true_curtailment_mwh,392.13437500000003,,,,,SUPPRESSED (LOOCV gate fail)
nuclear|wind_317,true_curtailment_mwh,487.348125,,,,,SUPPRESSED (LOOCV gate fail)
nuclear|wind_317,true_curtailment_mwh,629.5275,,,,,SUPPRESSED (LOOCV gate fail)
nuclear|wind_317,true_curtailment_mwh,771.706875,,,,,SUPPRESSED (LOOCV gate fail)
nuclear|wind_317,true_curtailment_mwh,866.9206250000001,,,,,SUPPRESSED (LOOCV gate fail)
nuclear|wind_317,total_cost_raw_usd,392.13437500000003,40639694.18623412,2265238.4402869716,17.940581204813775,11.0,ok
nuclear|wind_317,total_cost_raw_usd,487.348125,48860947.91164088,2341681.1356552327,20.865756301175036,13.0,ok
nuclear|wind_317,total_cost_raw_usd,629.5275,52646771.615922034,2341681.1356552327,22.482468178226487,13.0,ok
nuclear|wind_317,total_cost_raw_usd,771.706875,56496237.038392484,2341681.1356552327,24.126357845293956,13.0,ok
nuclear|wind_317,total_cost_raw_usd,866.9206250000001,51619125.46471852,2265238.4402869716,22.787501989494384,11.0,ok
nuclear|wind_317,total_cost_less_synthetic_usd,392.13437500000003,38983947.83804971,2265238.4402869716,17.209644311488475,11.0,ok
nuclear|wind_317,total_cost_less_synthetic_usd,487.348125,46443434.183084905,2341681.1356552327,19.833372475834302,13.0,ok
nuclear|wind_317,total_cost_less_synthetic_usd,629.5275,50281732.08425397,2341681.1356552327,21.472493124126608,13.0,ok
nuclear|wind_317,total_cost_less_synthetic_usd,771.706875,54287125.55942088,2341681.1356552327,23.182970872005868,13.0,ok
nuclear|wind_317,total_cost_less_synthetic_usd,866.9206250000001,49703533.75028086,2265238.4402869716,21.941855155867902,11.0,ok
pv|tail,load_shed_mwh,191.3375,1469.1962802892522,13383.774369076596,0.10977443580368863,10.0,ok
pv|tail,load_shed_mwh,259.796875,1542.5835628931163,14234.973673386463,0.10836574750939738,14.0,ok
pv|tail,load_shed_mwh,310.8,1411.0691203850292,14234.973673386463,0.09912692167623374,14.0,ok
pv|tail,load_shed_mwh,361.80312499999997,1259.371651209818,14234.973673386463,0.08847024800364221,14.0,ok
pv|tail,load_shed_mwh,430.26250000000005,857.2083128262893,13383.774369076596,0.06404832367817567,10.0,ok
pv|tail,true_curtailment_mwh,191.3375,,,,,SUPPRESSED (LOOCV gate fail)
pv|tail,true_curtailment_mwh,259.796875,,,,,SUPPRESSED (LOOCV gate fail)
pv|tail,true_curtailment_mwh,310.8,,,,,SUPPRESSED (LOOCV gate fail)
pv|tail,true_curtailment_mwh,361.80312499999997,,,,,SUPPRESSED (LOOCV gate fail)
pv|tail,true_curtailment_mwh,430.26250000000005,,,,,SUPPRESSED (LOOCV gate fail)
pv|tail,total_cost_raw_usd,191.3375,2499734.1983947754,2230629.061512766,1.1206409176340184,10.0,ok
pv|tail,total_cost_raw_usd,259.796875,4372799.029218316,2372495.612231077,1.8431220722495536,14.0,ok
pv|tail,total_cost_raw_usd,310.8,3965603.574743569,2372495.612231077,1.6714903725424997,14.0,ok
pv|tail,total_cost_raw_usd,361.80312499999997,3011132.9630329013,2372495.612231077,1.269183785845342,14.0,ok
pv|tail,total_cost_raw_usd,430.26250000000005,1808450.5793594718,2230629.061512766,0.8107356846382242,10.0,ok
