index,site,pem_bid,pem_fraction,pem_sales_mwh,pem_withheld_mwh,fleet_committed_mwh,committed_mwh_top5
1,303_WIND_1,20.0,0.05,119024.122908,152263.327092,31914838.0,2769008.0
1,317_WIND_1,20.0,0.05,120998.797659,131849.677341,31914838.0,2769008.0
2,303_WIND_1,20.0,0.05,121209.801979,150077.648021,32061410.0,2767407.0
2,317_WIND_1,20.0,0.1688,299528.15411,395085.85141,32061410.0,2767407.0
3,303_WIND_1,20.0,0.05,123209.399823,148078.050177,32168892.0,2770747.0
3,317_WIND_1,20.0,0.2875,438421.634112,621956.964638,32168892.0,2770747.0
4,303_WIND_1,20.0,0.05,123669.009939,147618.440061,32274355.0,2767413.0
4,317_WIND_1,20.0,0.4062,553698.781728,824015.4524320001,32274355.0,2767413.0
5,303_WIND_1,20.0,0.05,126063.476996,145223.973004,32319118.0,2770056.0
5,317_WIND_1,20.0,0.525,661689.238859,993117.016141,32319118.0,2770056.0
6,303_WIND_1,20.0,0.05,127723.661623,143563.788377,32373849.0,2765458.0
6,317_WIND_1,20.0,0.6438,755787.39853,1134875.747932,32373849.0,2765458.0
7,303_WIND_1,20.0,0.05,128200.996119,143086.453881,32426907.0,2771027.0
7,317_WIND_1,20.0,0.7625,833227.94163,1252168.08087,32426907.0,2771027.0
8,303_WIND_1,20.0,0.05,128895.655577,142391.794423,32403118.0,2767535.0
8,317_WIND_1,20.0,0.8812,888857.269316,1340904.473844,32403118.0,2767535.0
9,303_WIND_1,20.0,0.05,129551.00073100001,141736.449269,32456505.0,2767935.0
9,317_WIND_1,20.0,1.0,903862.0597249999,1398178.140275,32456505.0,2767935.0
10,303_WIND_1,20.0,0.1688,278008.272511,441526.82108900003,32031279.0,2766298.0
10,317_WIND_1,20.0,0.05,123612.319773,129236.155227,32031279.0,2766298.0
11,303_WIND_1,20.0,0.1688,280416.248268,439118.845332,32164233.0,2766360.0
11,317_WIND_1,20.0,0.1688,310455.566711,384158.438809,32164233.0,2766360.0
12,303_WIND_1,20.0,0.1688,291928.154816,427606.938784,32232396.0,2768326.0
12,317_WIND_1,20.0,0.2875,453089.287276,607289.311474,32232396.0,2768326.0
13,303_WIND_1,20.0,0.1688,295625.943628,423909.149972,32419801.0,2770332.0
13,317_WIND_1,20.0,0.4062,570531.195181,807183.0389790001,32419801.0,2770332.0
14,303_WIND_1,20.0,0.1688,301224.870094,418310.223506,32425714.0,2771213.0
14,317_WIND_1,20.0,0.525,680849.401648,973956.853352,32425714.0,2771213.0
15,303_WIND_1,20.0,0.1688,303886.405061,415648.688539,32478945.0,2768497.0
15,317_WIND_1,20.0,0.6438,781703.268571,1108959.877889,32478945.0,2768497.0
16,303_WIND_1,20.0,0.1688,306657.656662,412877.436938,32467555.0,2765974.0
16,317_WIND_1,20.0,0.7625,856779.305787,1228616.716713,32467555.0,2765974.0
17,303_WIND_1,20.0,0.1688,313976.799991,405558.293609,32535977.0,2769208.0
17,317_WIND_1,20.0,0.8812,914865.14049,1314896.602669,32535977.0,2769208.0
18,303_WIND_1,20.0,0.1688,315696.121068,403838.972532,32487930.0,2764691.0
18,317_WIND_1,20.0,1.0,950399.19175,1351641.00825,32487930.0,2764691.0
19,303_WIND_1,20.0,0.2875,390720.137874,672061.7246259999,32115671.0,2768692.0
19,317_WIND_1,20.0,0.05,127362.726043,125485.74895699999,32115671.0,2768692.0
20,303_WIND_1,20.0,0.2875,394357.45984799997,668424.402652,32194379.0,2765489.0
20,317_WIND_1,20.0,0.1688,321645.261623,372968.743897,32194379.0,2765489.0
21,303_WIND_1,20.0,0.2875,401480.72881299997,661301.133687,32316129.0,2767500.0
21,317_WIND_1,20.0,0.2875,475303.457758,585075.140991,32316129.0,2767500.0
22,303_WIND_1,20.0,0.2875,422991.202102,639790.660397,32353226.0,2771928.0
22,317_WIND_1,20.0,0.4062,592846.678719,784867.555441,32353226.0,2771928.0
23,303_WIND_1,20.0,0.2875,427840.89319,634940.969309,32516494.0,2773307.0
23,317_WIND_1,20.0,0.525,701342.949221,953463.3057789999,32516494.0,2773307.0
24,303_WIND_1,20.0,0.2875,440514.184251,622267.678249,32478752.0,2769686.0
24,317_WIND_1,20.0,0.6438,805593.055533,1085070.0909270002,32478752.0,2769686.0
25,303_WIND_1,20.0,0.2875,446654.07295299997,616127.789547,32564846.0,2771674.0
25,317_WIND_1,20.0,0.7625,896789.32452,1188606.69798,32564846.0,2771674.0
26,303_WIND_1,20.0,0.2875,449499.532161,613282.330339,32563504.0,2769825.0
26,317_WIND_1,20.0,0.8812,954328.160647,1275433.582512,32563504.0,2769825.0
27,303_WIND_1,20.0,0.2875,448073.330685,614708.531815,32617755.0,2769687.0
27,317_WIND_1,20.0,1.0,988997.984919,1313042.215081,32617755.0,2769687.0
28,303_WIND_1,20.0,0.4062,477788.508272,859453.512329,32225574.0,2764634.0
28,317_WIND_1,20.0,0.05,129549.789613,123298.68538699999,32225574.0,2764634.0
29,303_WIND_1,20.0,0.4062,487351.685903,849890.334697,32364303.0,2767692.0
29,317_WIND_1,20.0,0.1688,333449.857109,361164.14841100003,32364303.0,2767692.0
30,303_WIND_1,20.0,0.4062,492783.596747,844458.423853,32451621.0,2767082.0
30,317_WIND_1,20.0,0.2875,501279.195804,559099.402946,32451621.0,2767082.0
31,303_WIND_1,20.0,0.4062,505900.592076,831341.428524,32490740.0,2775469.0
31,317_WIND_1,20.0,0.4062,638962.932469,738751.301691,32490740.0,2775469.0
32,303_WIND_1,20.0,0.4062,542441.228769,794800.791831,32534052.0,2769016.0
32,317_WIND_1,20.0,0.525,738488.48607,916317.76893,32534052.0,2769016.0
33,303_WIND_1,20.0,0.4062,548085.942706,789156.077894,32678076.0,2773758.0
33,317_WIND_1,20.0,0.6438,845597.057508,1045066.088952,32678076.0,2773758.0
34,303_WIND_1,20.0,0.4062,565540.053739,771701.966861,32661485.0,2772030.0
34,317_WIND_1,20.0,0.7625,937379.374701,1148016.647799,32661485.0,2772030.0
35,303_WIND_1,20.0,0.4062,580300.530671,756941.489929,32610758.0,2773917.0
35,317_WIND_1,20.0,0.8812,1018262.960021,1211498.783139,32610758.0,2773917.0
36,303_WIND_1,20.0,0.4062,580778.581421,756463.439179,32690532.0,2767900.0
36,317_WIND_1,20.0,1.0,1046818.146718,1255222.053282,32690532.0,2767900.0
37,303_WIND_1,20.0,0.525,562837.71796,1003330.93204,32281652.0,2769779.0
37,317_WIND_1,20.0,0.05,131322.559767,121525.91523299999,32281652.0,2769779.0
38,303_WIND_1,20.0,0.525,573752.609704,992416.040296,32353342.0,2772161.0
38,317_WIND_1,20.0,0.1688,341803.881934,352810.123586,32353342.0,2772161.0
39,303_WIND_1,20.0,0.525,588071.736987,978096.913013,32449268.0,2770718.0
39,317_WIND_1,20.0,0.2875,511113.69536300004,549264.903387,32449268.0,2770718.0
40,303_WIND_1,20.0,0.525,599234.398363,966934.251636,32585906.0,2767552.0
40,317_WIND_1,20.0,0.4062,657332.841273,720381.392887,32585906.0,2767552.0
41,303_WIND_1,20.0,0.525,616197.990111,949970.659889,32592188.0,2767921.0
41,317_WIND_1,20.0,0.525,789036.7777089999,865769.477291,32592188.0,2767921.0
42,303_WIND_1,20.0,0.525,676533.313054,889635.336946,32630198.0,2770275.0
42,317_WIND_1,20.0,0.6438,868263.079065,1022400.067395,32630198.0,2770275.0
43,303_WIND_1,20.0,0.525,698645.388336,867523.261663,32702780.0,2770077.0
43,317_WIND_1,20.0,0.7625,955430.5496,1129965.4729,32702780.0,2770077.0
44,303_WIND_1,20.0,0.525,714202.556661,851966.093339,32689161.0,2772255.0
44,317_WIND_1,20.0,0.8812,1027041.405554,1202720.337606,32689161.0,2772255.0
45,303_WIND_1,20.0,0.525,732143.761668,834024.888332,32652783.0,2767800.0
45,317_WIND_1,20.0,1.0,1061871.733999,1240168.466001,32652783.0,2767800.0
46,303_WIND_1,20.0,0.6438,629344.374586,1126560.521614,32382756.0,2768324.0
46,317_WIND_1,20.0,0.05,133046.975856,119801.499144,32382756.0,2768324.0
