index,oat_site,anchor,num_days,start_date,rho_h2,true_curtailment_mwh,load_shed_mwh,total_cost_raw_usd,reserve_shortfall_mwh,thermal_starts,synthetic_bid_cost_usd,total_cost_less_synthetic_usd,pem_withheld_mwh_total,h2_kg_total,delta_curtailment_mwh,delta_load_shed_mwh,delta_cost_less_synthetic_usd_APPROX,delta_reserve_shortfall_mwh,delta_thermal_starts
1,,False,366,01-01-2020,1.0,1499726.4392230008,42015.93032,523956960.673716,196510.717269,5179,4800458.41134,519156502.262376,284113.004433,5682260.08866,-188849.33819899894,515.8149819999962,-3324271.5467069745,-7170.637600000016,-4
2,,False,366,01-01-2020,1.0,1350927.8542879994,38989.092506,525081579.796091,183570.751682,4921,8414759.12178,516666820.67431104,545163.499431,10903269.98862,-337647.9231340003,-2511.0228320000024,-5813953.134771943,-20110.603187,-262
3,,False,366,01-01-2020,1.0,1234519.2103250003,37865.744734,526489221.812565,179284.807415,4837,11232620.6787,515256601.133865,770035.014815,15400700.2963,-454056.5670969994,-3634.3706040000034,-7224172.675217986,-24396.547454000014,-346
4,,False,366,01-01-2020,1.0,1129333.4314090004,36058.02034,527758410.007901,167105.84432,4734,13547355.83334,514211054.174561,971633.892493,19432677.84986,-559242.3460129993,-5442.0949980000005,-8269719.634521961,-36575.510549,-449
5,,False,366,01-01-2020,1.0,1030554.0007030003,34129.51131,529010203.485012,166389.976641,4661,15755054.317100001,513255149.167912,1138340.989145,22766819.782899998,-658021.7767189994,-7370.604028000002,-9225624.641170979,-37291.378228000016,-522
6,,False,366,01-01-2020,1.0,960886.6063190001,31616.751523,529776487.19584,163996.203604,4625,17670221.20306,512106265.99277997,1278439.536309,25568790.726180002,-727689.1711029996,-9883.363815000004,-10374507.816303015,-39685.15126499999,-558
7,,False,366,01-01-2020,1.0,905418.7244620001,32944.873033,530377787.725201,165481.610271,4726,19228578.75498,511149208.970221,1395254.5347509999,27905090.695019998,-783157.0529599997,-8555.242305,-11331564.838862002,-38199.74459799999,-457
8,,False,366,01-01-2020,1.0,853224.1036870001,32840.547291,531616431.478439,165478.038539,4654,20355058.497860003,511261372.98057896,1483296.2682669999,29665925.36534,-835351.6737349996,-8659.568047,-11219400.828504026,-38203.31633,-529
9,,False,366,01-01-2020,1.0,828857.7794589998,31414.232712,532318904.866637,161316.757728,4643,20668261.209119998,511650643.657517,1539914.5895439999,30798291.79088,-859717.997963,-10085.882626000002,-10830130.151565969,-42364.597141000006,-540
10,,False,366,01-01-2020,1.0,1286169.9754150002,42119.593601,524646737.793848,191261.899695,5107,8032411.84568,516614325.948168,570762.976316,11415259.52632,-402405.8020069995,619.4782629999972,-5866447.860915005,-12419.455174000002,-76
11,,False,366,01-01-2020,1.0,1154532.0713789999,38019.286959,525580896.391938,179613.656743,4975,11817436.29958,513763460.092358,823277.284141,16465545.68282,-534043.7060429999,-3480.828379000006,-8717313.716724992,-24067.698126000003,-208
12,,False,366,01-01-2020,1.0,1032873.950264,36058.20115,527229575.068842,177367.197347,4837,14900348.841839999,512329226.227002,1034896.250258,20697925.00516,-655701.8271579997,-5441.9141880000025,-10151547.58208096,-26314.157521999994,-346
13,,False,366,01-01-2020,1.0,940398.0182110002,33187.883902,528379832.887601,168904.284673,4646,17323142.77618,511056690.111421,1231092.188951,24621843.779020004,-748177.7592109995,-8312.231436000002,-11424083.697661996,-34777.070196000015,-537
14,,False,366,01-01-2020,1.0,845745.946152,34148.494952,529519473.269298,163986.878211,4701,19641485.43484,509877987.834458,1392267.076858,27845341.537159998,-842829.8312699997,-7351.620386000002,-12602785.974624991,-39694.476658,-482
15,,False,366,01-01-2020,1.0,778008.2934429998,29390.819993,530571765.812844,157661.681322,4574,21711793.47264,508859972.340204,1524608.566428,30492171.328560002,-910567.4839789999,-12109.295345000002,-13620801.468878984,-46019.67354700001,-609
16,,False,366,01-01-2020,1.0,715876.583693,34988.418054,531284496.558464,167918.607661,4713,23268739.24898,508015757.309484,1641494.153651,32829883.07302,-972699.1937289997,-6511.697284000002,-14465016.49959898,-35762.747208000015,-470
17,,False,366,01-01-2020,1.0,676979.2527109998,31106.077894,532031370.458108,155445.581733,4493,24576838.80962,507454531.648488,1720454.896278,34409097.92556,-1011596.5247109999,-10394.037444000005,-15026242.160595,-48235.773136,-690
18,,False,366,01-01-2020,1.0,651269.4573080002,32174.670074,532750299.487721,163760.682202,4573,25321906.25636,507428393.23136103,1755479.9807819999,35109599.61564,-1037306.3201139995,-9325.445264000002,-15052380.577721953,-39920.672667000006,-610
19,,False,366,01-01-2020,1.0,1105464.5403640005,38855.501484,525084932.406782,181404.778327,5034,10361657.27834,514723275.128442,797547.4735829999,15950949.471659997,-583111.2370579992,-2644.613854000003,-7757498.6806409955,-22276.576541999995,-149
