index,site,kind,pem_capacity_mw,pem_bid,h2_mwh,h2_kg,pem_grid_sales_mwh,site_market_revenue_usd,uplift_usd
1,303_WIND_1,renewable,42.35,20.0,152263.327092,3045266.54184,119024.122908,-4265464.107978,0.0
1,317_WIND_1,renewable,39.955000000000005,20.0,131849.677341,2636993.54682,120998.797659,-5166713.441168,0.0
2,303_WIND_1,renewable,42.35,20.0,150077.648021,3001552.96042,121209.801979,-903329.9694989994,0.0
2,317_WIND_1,renewable,134.88808,20.0,395085.85141,7901717.0282000005,299528.15411,-316463.6391190011,0.0
3,303_WIND_1,renewable,42.35,20.0,148078.050177,2961561.00354,123209.399823,-549282.4389619995,0.0
3,317_WIND_1,renewable,229.74124999999998,20.0,621956.964638,12439139.29276,438421.634112,2012655.508366,0.0
4,303_WIND_1,renewable,42.35,20.0,147618.440061,2952368.80122,123669.009939,-831722.8351299996,0.0
4,317_WIND_1,renewable,324.59442,20.0,824015.4524320001,16480309.048640002,553698.781728,4153032.018099999,0.0
5,303_WIND_1,renewable,42.35,20.0,145223.973004,2904479.46008,126063.476996,-988264.2074699998,0.0
5,317_WIND_1,renewable,419.52750000000003,20.0,993117.016141,19862340.32282,661689.238859,5597243.738854,0.0
6,303_WIND_1,renewable,42.35,20.0,143563.788377,2871275.76754,127723.661623,-652544.6011960004,0.0
6,317_WIND_1,renewable,514.46058,20.0,1134875.747932,22697514.95864,755787.39853,6950369.943319,0.0
7,303_WIND_1,renewable,42.35,20.0,143086.453881,2861729.0776199996,128200.996119,-328841.1601229999,0.0
7,317_WIND_1,renewable,609.31375,20.0,1252168.08087,25043361.617399998,833227.94163,5227189.001671,0.0
8,303_WIND_1,renewable,42.35,20.0,142391.794423,2847835.88846,128895.655577,-499888.2172969999,0.0
8,317_WIND_1,renewable,704.16692,20.0,1340904.473844,26818089.47688,888857.269316,4840557.170332,0.0
9,303_WIND_1,renewable,42.35,20.0,141736.449269,2834728.98538,129551.00073100001,360527.3207350001,0.0
9,317_WIND_1,renewable,799.1,20.0,1398178.140275,27963562.805499997,903862.0597249999,4707585.883308,0.0
10,303_WIND_1,renewable,142.9736,20.0,441526.82108900003,8830536.421780001,278008.272511,1764524.0193130001,0.0
10,317_WIND_1,renewable,39.955000000000005,20.0,129236.155227,2584723.1045399997,123612.319773,-6011318.925938,0.0
11,303_WIND_1,renewable,142.9736,20.0,439118.845332,8782376.90664,280416.248268,2187807.120403001,0.0
11,317_WIND_1,renewable,134.88808,20.0,384158.438809,7683168.77618,310455.566711,-901827.5378029998,0.0
12,303_WIND_1,renewable,142.9736,20.0,427606.938784,8552138.77568,291928.154816,2352592.6141540008,0.0
12,317_WIND_1,renewable,229.74124999999998,20.0,607289.311474,12145786.22948,453089.287276,1740880.1038410012,0.0
13,303_WIND_1,renewable,142.9736,20.0,423909.149972,8478182.99944,295625.943628,3685607.527384,0.0
13,317_WIND_1,renewable,324.59442,20.0,807183.0389790001,16143660.77958,570531.195181,4195259.300378,0.0
14,303_WIND_1,renewable,142.9736,20.0,418310.223506,8366204.47012,301224.870094,3880098.2548869997,0.0
14,317_WIND_1,renewable,419.52750000000003,20.0,973956.853352,19479137.06704,680849.401648,4755257.340147,0.0
15,303_WIND_1,renewable,142.9736,20.0,415648.688539,8312973.77078,303886.405061,4113672.2926860005,0.0
15,317_WIND_1,renewable,514.46058,20.0,1108959.877889,22179197.55778,781703.268571,8540768.764965,0.0
16,303_WIND_1,renewable,142.9736,20.0,412877.436938,8257548.73876,306657.656662,2946476.6980959997,0.0
16,317_WIND_1,renewable,609.31375,20.0,1228616.716713,24572334.33426,856779.305787,4173432.942848,0.0
17,303_WIND_1,renewable,142.9736,20.0,405558.293609,8111165.87218,313976.799991,5184028.904579,0.0
17,317_WIND_1,renewable,704.16692,20.0,1314896.602669,26297932.053379998,914865.14049,6345566.905695001,0.0
18,303_WIND_1,renewable,142.9736,20.0,403838.972532,8076779.4506399995,315696.121068,3718919.8565880004,0.0
18,317_WIND_1,renewable,799.1,20.0,1351641.00825,27032820.165,950399.19175,5219333.266601,0.0
19,303_WIND_1,renewable,243.5125,20.0,672061.7246259999,13441234.492519999,390720.137874,5255405.802752,0.0
19,317_WIND_1,renewable,39.955000000000005,20.0,125485.74895699999,2509714.97914,127362.726043,-2660961.2071520006,0.0
20,303_WIND_1,renewable,243.5125,20.0,668424.402652,13368488.05304,394357.45984799997,6578010.189225,0.0
20,317_WIND_1,renewable,134.88808,20.0,372968.743897,7459374.877939999,321645.261623,-173308.0236149989,0.0
21,303_WIND_1,renewable,243.5125,20.0,661301.133687,13226022.67374,401480.72881299997,7853517.277959,0.0
21,317_WIND_1,renewable,229.74124999999998,20.0,585075.140991,11701502.81982,475303.457758,2515652.0761329997,0.0
22,303_WIND_1,renewable,243.5125,20.0,639790.660397,12795813.207940001,422991.202102,8050796.998416001,0.0
22,317_WIND_1,renewable,324.59442,20.0,784867.555441,15697351.10882,592846.678719,4815922.323744,0.0
23,303_WIND_1,renewable,243.5125,20.0,634940.969309,12698819.386179999,427840.89319,7240264.456172,0.0
23,317_WIND_1,renewable,419.52750000000003,20.0,953463.3057789999,19069266.11558,701342.949221,5759173.186542,0.0
24,303_WIND_1,renewable,243.5125,20.0,622267.678249,12445353.56498,440514.184251,6362729.4639260005,0.0
24,317_WIND_1,renewable,514.46058,20.0,1085070.0909270002,21701401.818540003,805593.055533,4841744.613701,0.0
25,303_WIND_1,renewable,243.5125,20.0,616127.789547,12322555.79094,446654.07295299997,8464033.420946,0.0
25,317_WIND_1,renewable,609.31375,20.0,1188606.69798,23772133.959599998,896789.32452,5720823.205988,0.0
26,303_WIND_1,renewable,243.5125,20.0,613282.330339,12265646.60678,449499.532161,7508339.735887,0.0
26,317_WIND_1,renewable,704.16692,20.0,1275433.582512,25508671.650240004,954328.160647,5119029.192952001,0.0
27,303_WIND_1,renewable,243.5125,20.0,614708.531815,12294170.6363,448073.330685,7816359.7584649995,0.0
27,317_WIND_1,renewable,799.1,20.0,1313042.215081,26260844.30162,988997.984919,7135094.96057,0.0
28,303_WIND_1,renewable,344.0514,20.0,859453.512329,17189070.24658,477788.508272,10477892.469746,0.0
28,317_WIND_1,renewable,39.955000000000005,20.0,123298.68538699999,2465973.70774,129549.789613,725335.2274469999,0.0
29,303_WIND_1,renewable,344.0514,20.0,849890.334697,16997806.69394,487351.685903,9660399.159769,0.0
29,317_WIND_1,renewable,134.88808,20.0,361164.14841100003,7223282.968220001,333449.857109,2696390.420240001,0.0
30,303_WIND_1,renewable,344.0514,20.0,844458.423853,16889168.47706,492783.596747,11473234.823158,0.0
30,317_WIND_1,renewable,229.74124999999998,20.0,559099.402946,11181988.05892,501279.195804,5455725.593529,0.0
31,303_WIND_1,renewable,344.0514,20.0,831341.428524,16626828.57048,505900.592076,11614803.953097,0.0
31,317_WIND_1,renewable,324.59442,20.0,738751.301691,14775026.03382,638962.932469,4755608.528255999,0.0
32,303_WIND_1,renewable,344.0514,20.0,794800.791831,15896015.83662,542441.228769,10920155.327562999,0.0
32,317_WIND_1,renewable,419.52750000000003,20.0,916317.76893,18326355.3786,738488.48607,3588635.4116700003,0.0
33,303_WIND_1,renewable,344.0514,20.0,789156.077894,15783121.55788,548085.942706,11927391.451571,0.0
33,317_WIND_1,renewable,514.46058,20.0,1045066.088952,20901321.77904,845597.057508,3600160.718386,0.0
34,303_WIND_1,renewable,344.0514,20.0,771701.966861,15434039.337220002,565540.053739,11766311.934478,0.0
34,317_WIND_1,renewable,609.31375,20.0,1148016.647799,22960332.95598,937379.374701,5661210.238535,0.0
35,303_WIND_1,renewable,344.0514,20.0,756941.489929,15138829.79858,580300.530671,13271379.8608,0.0
