index,site,pem_bid,pem_fraction,pem_sales_mwh,pem_withheld_mwh,fleet_committed_mwh,committed_mwh_top5
1,303_WIND_1,30.0,0.05,21964.402373,249323.047627,32051622.0,2770440.0
1,317_WIND_1,30.0,0.05,26444.108285,226404.36671499998,32051622.0,2770440.0
2,303_WIND_1,30.0,0.05,21297.801996000002,249989.64800400002,32334900.0,2774849.0
2,317_WIND_1,30.0,0.1688,65588.470503,629025.535017,32334900.0,2774849.0
3,303_WIND_1,30.0,0.05,19999.896681000002,251287.553319,32619424.0,2771767.0
3,317_WIND_1,30.0,0.2875,90682.204593,969696.394157,32619424.0,2771767.0
4,303_WIND_1,30.0,0.05,20802.796711,250484.653289,32753828.0,2773027.0
4,317_WIND_1,30.0,0.4062,115475.648339,1262238.585821,32753828.0,2773027.0
5,303_WIND_1,30.0,0.05,21166.977663,250120.472337,32889181.0,2771420.0
5,317_WIND_1,30.0,0.525,129009.073131,1525797.181869,32889181.0,2771420.0
6,303_WIND_1,30.0,0.05,20127.719387,251159.730613,33105041.0,2769023.0
6,317_WIND_1,30.0,0.6438,137785.05704,1752878.08942,33105041.0,2769023.0
7,303_WIND_1,30.0,0.05,19748.763491,251538.68650900002,33257334.0,2771126.0
7,317_WIND_1,30.0,0.7625,142002.929355,1943393.093145,33257334.0,2771126.0
8,303_WIND_1,30.0,0.05,19623.802477,251663.64752300002,33414574.0,2776137.0
8,317_WIND_1,30.0,0.8812,146905.599461,2082856.143699,33414574.0,2776137.0
9,303_WIND_1,30.0,0.05,20155.543344,251131.906656,33440295.0,2772493.0
9,317_WIND_1,30.0,1.0,142500.502047,2159539.697953,33440295.0,2772493.0
10,303_WIND_1,30.0,0.1688,54921.853983,664613.239617,32277089.0,2772827.0
10,317_WIND_1,30.0,0.05,26068.729606999997,226779.745393,32277089.0,2772827.0
11,303_WIND_1,30.0,0.1688,53377.124187,666157.969413,32605363.0,2775356.0
11,317_WIND_1,30.0,0.1688,65921.965597,628692.039923,32605363.0,2775356.0
12,303_WIND_1,30.0,0.1688,55979.949087,663555.144513,32833564.0,2773714.0
12,317_WIND_1,30.0,0.2875,89859.407232,970519.191518,32833564.0,2773714.0
13,303_WIND_1,30.0,0.1688,55012.455378,664522.638222,33063660.0,2774581.0
13,317_WIND_1,30.0,0.4062,114595.724851,1263118.509309,33063660.0,2774581.0
14,303_WIND_1,30.0,0.1688,54086.457739,665448.635861,33206788.0,2778215.0
14,317_WIND_1,30.0,0.525,120801.384918,1534004.870082,33206788.0,2778215.0
15,303_WIND_1,30.0,0.1688,51729.470245000004,667805.623355,33384767.0,2778033.0
15,317_WIND_1,30.0,0.6438,130148.74623,1760514.40023,33384767.0,2778033.0
16,303_WIND_1,30.0,0.1688,57465.509969,662069.583631,33470886.0,2777702.0
16,317_WIND_1,30.0,0.7625,142403.556496,1942992.466004,33470886.0,2777702.0
17,303_WIND_1,30.0,0.1688,53754.758735,665780.334865,33602214.0,2779463.0
17,317_WIND_1,30.0,0.8812,143398.77464,2086362.96852,33602214.0,2779463.0
18,303_WIND_1,30.0,0.1688,53030.689714,666504.403886,33657436.0,2776203.0
18,317_WIND_1,30.0,1.0,140058.809045,2161981.390955,33657436.0,2776203.0
19,303_WIND_1,30.0,0.2875,78026.805654,984755.056846,32511313.0,2778635.0
19,317_WIND_1,30.0,0.05,25472.143982999998,227376.331017,32511313.0,2778635.0
20,303_WIND_1,30.0,0.2875,74654.314396,988127.5481039999,32773938.0,2775231.0
20,317_WIND_1,30.0,0.1688,61403.203973,633210.801547,32773938.0,2775231.0
21,303_WIND_1,30.0,0.2875,77508.255853,985273.606647,32986997.0,2777849.0
21,317_WIND_1,30.0,0.2875,94298.656285,966079.942465,32986997.0,2777849.0
22,303_WIND_1,30.0,0.2875,79992.049103,982789.813397,33264195.0,2776414.0
22,317_WIND_1,30.0,0.4062,111579.882205,1266134.351956,33264195.0,2776414.0
23,303_WIND_1,30.0,0.2875,79279.875723,983501.986777,33472079.0,2779520.0
23,317_WIND_1,30.0,0.525,117560.85173,1537245.40327,33472079.0,2779520.0
24,303_WIND_1,30.0,0.2875,77473.708813,985308.1536869999,33624031.0,2779148.0
24,317_WIND_1,30.0,0.6438,129553.565833,1761109.5806270002,33624031.0,2779148.0
25,303_WIND_1,30.0,0.2875,80059.739086,982722.1234139999,33699847.0,2777920.0
25,317_WIND_1,30.0,0.7625,136623.899893,1948772.122608,33699847.0,2777920.0
26,303_WIND_1,30.0,0.2875,76841.694187,985940.168313,33840078.0,2777140.0
26,317_WIND_1,30.0,0.8812,133980.292696,2095781.450464,33840078.0,2777140.0
