index,oat_site,anchor,num_days,start_date,rho_h2,true_curtailment_mwh,load_shed_mwh,total_cost_raw_usd,reserve_shortfall_mwh,thermal_starts,synthetic_bid_cost_usd,total_cost_less_synthetic_usd,pem_withheld_mwh_total,h2_kg_total,delta_curtailment_mwh,delta_load_shed_mwh,delta_cost_less_synthetic_usd_APPROX,delta_reserve_shortfall_mwh,delta_thermal_starts
1,,False,366,01-01-2020,1.5,1499465.9287549998,41267.484538,528384143.794182,190982.626173,4921,1452255.31974,526931888.474442,475727.414342,9514548.28684,-189109.84866699995,-232.63080000000627,4451114.66535902,-12698.728696000006,-262
2,,False,366,01-01-2020,1.5,1378959.9612099996,35395.238958,532469043.638097,161596.831941,4734,2606588.17497,529862455.463127,879015.1830210001,17580303.66042,-309615.8162120001,-6104.8763800000015,7381681.654044032,-42084.52292799999,-449
3,,False,366,01-01-2020,1.5,1255169.0506900002,31845.809004,536119299.179157,139383.238189,4503,3320463.03822,532798836.14093703,1220983.947476,24419678.94952,-433406.72673199954,-9654.306334000004,10318062.331854045,-64298.11668000001,-680
4,,False,366,01-01-2020,1.5,1152996.7642279996,27208.119572,539383387.965217,127087.388973,4371,4088353.3515,535295034.613717,1512723.23911,30254464.7822,-535579.0131940001,-14291.995766000004,12814260.804634035,-76593.96589600001,-812
5,,False,366,01-01-2020,1.5,1067320.5641980004,21333.472016,542829695.556765,122953.977849,4312,4505281.52382,538324414.0329449,1775917.654206,35518353.08412,-621255.2132239994,-20166.643322000004,15843640.223861933,-80727.37702,-871
6,,False,366,01-01-2020,1.5,1002808.5906450001,16676.250975,545353586.160542,107547.988716,4083,4737383.2928100005,540616202.867732,2004037.820033,40080756.40066,-685767.1867769996,-24823.864363000004,18135429.058649063,-96133.366153,-1100
7,,False,366,01-01-2020,1.5,940725.2477929997,16602.412585,547678299.690472,102050.378348,4039,4852550.78538,542825748.905092,2194931.779654,43898635.59308,-747850.529629,-24897.702753000005,20344975.096009016,-101630.976521,-1144
8,,False,366,01-01-2020,1.5,915551.1886450001,16037.874673,549473342.529899,99731.621013,3878,4995882.05814,544477460.471759,2334519.791222,46690395.82444,-773024.5887769996,-25462.240665000005,21996686.662675977,-103949.733856,-1305
9,,False,366,01-01-2020,1.5,883555.8318959997,16824.266392,550213392.607335,100140.235853,3925,4879681.36173,545333711.245605,2410671.604609,48213432.09218,-805019.945526,-24675.848946000002,22852937.436522007,-103541.119016,-1258
10,,False,366,01-01-2020,1.5,1297341.425542,35756.277161,531687382.146673,173891.174824,4896,2429717.5077,529257664.638973,891392.98501,17827859.7002,-391234.35187999974,-5743.838177000005,6776890.829890013,-29790.180045000016,-287
11,,False,366,01-01-2020,1.5,1172381.4714139993,31561.88602,536278314.337025,151312.053719,4617,3578972.69352,532699341.643505,1294850.009336,25897000.186720002,-516194.3060080004,-9938.229318000002,10218567.834421992,-52369.301150000014,-566
12,,False,366,01-01-2020,1.5,1062352.7086040003,28373.108994,540341717.187485,128795.52336,4328,4375180.68957,535966536.49791497,1634074.3360310001,32681486.720620003,-626223.0688179994,-13127.006344000005,13485762.688831985,-74885.831509,-855
13,,False,366,01-01-2020,1.5,977621.3079030002,22902.43507,543863633.055182,119956.11265,4185,5088245.40687,538775387.648312,1927641.147531,38552822.950619996,-710954.4695189996,-18597.680268000004,16294613.839228988,-83725.242219,-998
14,,False,366,01-01-2020,1.5,885403.2641740001,20034.488967,546887375.005897,104786.074797,4145,5246635.279709999,541640739.726187,2199453.5059430003,43989070.11886001,-803172.5132479996,-21465.626371000002,19159965.917104006,-98895.28007200001,-1038
15,,False,366,01-01-2020,1.5,813927.0012860004,19095.201097,550215923.009729,96745.357348,3945,5456346.49425,544759576.515479,2428320.023585,48566400.4717,-874648.7761359994,-22404.914241000002,22278802.706395984,-106935.997521,-1238
16,,False,366,01-01-2020,1.5,757371.3157870001,15832.110363,552114536.832821,93165.804537,4025,5996071.99395,546118464.838871,2605062.049635,52101240.9927,-931204.4616349996,-25668.004975000003,23637691.029788017,-110515.550332,-1158
17,,False,366,01-01-2020,1.5,721106.697454,14491.807197,553989238.345867,85111.361916,3943,5914606.00125,548074632.344617,2752143.303385,55042866.067700006,-967469.0799679997,-27008.308141,25593858.535534024,-118569.99295300001,-1240
18,,False,366,01-01-2020,1.5,708849.2763219997,13998.061942,554861583.919577,82951.835626,3847,5792684.96277,549068898.956807,2828485.7948410003,56569715.89682001,-979726.5011,-27502.053396000003,26588125.147724032,-120729.519243,-1336
19,,False,366,01-01-2020,1.5,1129042.3764,34126.291262,534645930.991751,163515.380786,4722,3104968.4891099995,531540962.502641,1212131.387863,24242627.75726,-559533.4010219998,-7373.824076000004,9060188.693558037,-40165.97408300001,-461
20,,False,366,01-01-2020,1.5,1021187.368238,28798.317397,539098295.567529,133707.489961,4492,4081725.55107,535016570.016459,1621338.349651,32426766.993019998,-667388.4091839998,-12701.797941000004,12535796.207376003,-69973.86490799999,-691
21,,False,366,01-01-2020,1.5,905103.1520660004,26599.88356,543223100.079625,127144.265142,4387,5154207.36414,538068892.715485,1951353.549112,39027070.98224,-783472.6253559993,-14900.231778000005,15588118.906401992,-76537.089727,-796
22,,False,366,01-01-2020,1.5,817099.0262810002,23098.194937,546939783.565107,106577.647439,4149,5747157.93924,541192625.625867,2248924.165353,44978483.30706,-871476.7511409995,-18401.920401000003,18711851.816784024,-97103.70743000001,-1034
23,,False,366,01-01-2020,1.5,747357.119562,20630.061127,550315150.921112,98144.055182,4026,5905221.82359,544409929.0975219,2520747.390047,50414947.80093999,-941218.6578599997,-20870.054211000002,21929155.288438916,-105537.299687,-1157
24,,False,366,01-01-2020,1.5,690648.3502190002,17774.673926,553223935.811619,86057.14827,3989,6210818.23938,547013117.572239,2746417.7343140002,54928354.686280005,-997927.4272029995,-23725.441412000004,24532343.763156056,-117624.206599,-1194
25,,False,366,01-01-2020,1.5,640160.241353,15271.501422,555766488.880181,85593.518487,3901,6500509.169369999,549265979.7108109,2931494.246022,58629884.92044,-1048415.5360689997,-26228.613916000002,26785205.901727915,-118087.83638200001,-1282
26,,False,366,01-01-2020,1.5,598322.9613020002,11949.853386,557347695.575409,76556.542151,3838,6324659.606489999,551023035.968919,3081721.618777,61634432.375539996,-1090252.8161199996,-29550.261952,28542262.159836054,-127124.812718,-1345
27,,False,366,01-01-2020,1.5,591699.2031350002,11675.668452,558474310.154487,77608.065848,3814,6396492.22545,552077817.929037,3151605.6549850004,63032113.099700004,-1096876.5742869996,-29824.446886000005,29597044.11995399,-126073.289021,-1369
28,,False,366,01-01-2020,1.5,1041288.0503020005,31782.442085,536335635.489709,143365.487949,4515,3396961.30758,532938674.182129,1476858.452014,29537169.04028,-647287.7271199992,-9717.673253000004,10457900.37304604,-60315.86692,-668
29,,False,366,01-01-2020,1.5,927225.8657580003,27292.62553,541937459.29287,133335.763675,4390,4761707.66535,537175751.6275201,1873132.437275,37462648.7455,-761349.9116639994,-14207.489808000002,14694977.8184371,-70345.59119400001,-793
30,,False,366,01-01-2020,1.5,816533.3535860004,25102.180742,546205801.49122,114725.798849,4199,5530589.44755,540675212.0436699,2213267.637765,44265352.7553,-872042.4238359993,-16397.934596000003,18194438.234586954,-88955.55602,-984
31,,False,366,01-01-2020,1.5,744509.1052769995,20156.051401,549401004.486954,99931.651728,4121,6114967.9288800005,543286036.558074,2511123.990464,50222479.80928,-944066.6721450002,-21344.063937000003,20805262.748991013,-103749.703141,-1062
32,,False,366,01-01-2020,1.5,675828.981785,19343.874599,552913651.215159,90022.270845,4126,6598013.6052,546315637.609959,2772114.488759,55442289.77518,-1012746.7956369998,-22156.240739000004,23834863.80087602,-113659.084024,-1057
33,,False,366,01-01-2020,1.5,623374.750257,13633.088045,555778181.842808,83967.155847,3939,6946208.87853,548831972.964278,2996364.871108,59927297.42216,-1065201.0271649999,-27867.027293000003,26351199.155194998,-119714.199022,-1244
34,,False,366,01-01-2020,1.5,592115.2016319998,12216.516593,558329772.968318,77359.934546,3856,6999234.2709,551330538.697418,3189330.2340700002,63786604.6814,-1096460.57579,-29283.598745000003,28849764.88833499,-126321.420323,-1327
35,,False,366,01-01-2020,1.5,560857.236362,12784.345551,560218360.344375,77589.232224,3787,7016309.22993,553202051.114445,3333126.7894289996,66662535.78857999,-1127718.5410599997,-28715.769787000005,30721277.305361986,-126092.122645,-1396
36,,False,366,01-01-2020,1.5,553547.5756909999,14295.155386,561167833.380224,75290.73061,3804,7271034.22008,553896799.160144,3396914.413264,67938288.26528,-1135028.2017309999,-27204.959952000005,31416025.351060987,-128390.624259,-1379
37,,False,366,01-01-2020,1.5,957606.806409,31960.256497,538751017.930014,138435.31482,4503,3910647.52548,534840370.40453404,1688662.2074830001,33773244.149660006,-730968.9710129998,-9539.858841000005,12359596.595451057,-65246.040049,-680
