index,site,kind,pem_capacity_mw,pem_bid,h2_mwh,h2_kg,pem_grid_sales_mwh,site_market_revenue_usd,uplift_usd
1,303_WIND_1,renewable,42.35,30.0,249323.047627,4986460.95254,21964.402373,-4568094.610772,0.0
1,317_WIND_1,renewable,39.955000000000005,30.0,226404.36671499998,4528087.334299999,26444.108285,-6850050.592310999,0.0
2,303_WIND_1,renewable,42.35,30.0,249989.64800400002,4999792.960080001,21297.801996000002,-2551974.127596,0.0
2,317_WIND_1,renewable,134.88808,30.0,629025.535017,12580510.70034,65588.470503,-1850809.589194999,0.0
3,303_WIND_1,renewable,42.35,30.0,251287.553319,5025751.06638,19999.896681000002,-1507936.21611,0.0
3,317_WIND_1,renewable,229.74124999999998,30.0,969696.394157,19393927.88314,90682.204593,3611978.9414109997,0.0
4,303_WIND_1,renewable,42.35,30.0,250484.653289,5009693.06578,20802.796711,198391.912275,0.0
4,317_WIND_1,renewable,324.59442,30.0,1262238.585821,25244771.71642,115475.648339,5842241.344159,0.0
5,303_WIND_1,renewable,42.35,30.0,250120.472337,5002409.4467400005,21166.977663,-659225.3762480002,0.0
5,317_WIND_1,renewable,419.52750000000003,30.0,1525797.181869,30515943.63738,129009.073131,6163095.199727,0.0
6,303_WIND_1,renewable,42.35,30.0,251159.730613,5023194.61226,20127.719387,2435340.699301,0.0
6,317_WIND_1,renewable,514.46058,30.0,1752878.08942,35057561.7884,137785.05704,7539198.420290001,0.0
7,303_WIND_1,renewable,42.35,30.0,251538.68650900002,5030773.730180001,19748.763491,3146631.393188,0.0
7,317_WIND_1,renewable,609.31375,30.0,1943393.093145,38867861.862900004,142002.929355,6755424.634833,0.0
8,303_WIND_1,renewable,42.35,30.0,251663.64752300002,5033272.95046,19623.802477,3509066.7077989997,0.0
8,317_WIND_1,renewable,704.16692,30.0,2082856.143699,41657122.87398,146905.599461,4460218.387751,0.0
9,303_WIND_1,renewable,42.35,30.0,251131.906656,5022638.13312,20155.543344,3283538.581914,0.0
9,317_WIND_1,renewable,799.1,30.0,2159539.697953,43190793.959060006,142500.502047,2763723.495787,0.0
10,303_WIND_1,renewable,142.9736,30.0,664613.239617,13292264.79234,54921.853983,461327.5196559997,0.0
10,317_WIND_1,renewable,39.955000000000005,30.0,226779.745393,4535594.90786,26068.729606999997,-3730824.706766,0.0
11,303_WIND_1,renewable,142.9736,30.0,666157.969413,13323159.388260001,53377.124187,421968.6651329994,0.0
11,317_WIND_1,renewable,134.88808,30.0,628692.039923,12573840.798460001,65921.965597,1328157.4814869994,0.0
12,303_WIND_1,renewable,142.9736,30.0,663555.144513,13271102.89026,55979.949087,1322696.8360449998,0.0
12,317_WIND_1,renewable,229.74124999999998,30.0,970519.191518,19410383.83036,89859.407232,4865689.872920999,0.0
13,303_WIND_1,renewable,142.9736,30.0,664522.638222,13290452.76444,55012.455378,1925011.1239629993,0.0
13,317_WIND_1,renewable,324.59442,30.0,1263118.509309,25262370.186180003,114595.724851,6143394.793315,0.0
14,303_WIND_1,renewable,142.9736,30.0,665448.635861,13308972.71722,54086.457739,1702497.2709830003,0.0
