index,site,pem_bid,pem_fraction,pem_sales_mwh,pem_withheld_mwh,fleet_committed_mwh,committed_mwh_top5
1,303_WIND_1,40.0,0.05,20504.19493,250783.25507,32066898.0,2774589.0
1,317_WIND_1,40.0,0.05,25567.801112999998,227280.67388699998,32066898.0,2774589.0
2,303_WIND_1,40.0,0.05,19805.209039,251482.240961,32331742.0,2775543.0
2,317_WIND_1,40.0,0.1688,60928.882982,633685.122538,32331742.0,2775543.0
3,303_WIND_1,40.0,0.05,18935.574458,252351.875542,32719180.0,2776498.0
3,317_WIND_1,40.0,0.2875,83329.03600000001,977049.56275,32719180.0,2776498.0
4,303_WIND_1,40.0,0.05,18769.545708,252517.90429200002,32987739.0,2781459.0
4,317_WIND_1,40.0,0.4062,99429.89206500001,1278284.342095,32987739.0,2781459.0
5,303_WIND_1,40.0,0.05,17844.952912,253442.497088,33162944.0,2781230.0
5,317_WIND_1,40.0,0.525,105058.559863,1549747.695137,33162944.0,2781230.0
6,303_WIND_1,40.0,0.05,18161.264272,253126.185728,33292634.0,2780571.0
6,317_WIND_1,40.0,0.6438,113208.409911,1777454.736549,33292634.0,2780571.0
7,303_WIND_1,40.0,0.05,16783.289118,254504.160882,33520391.0,2777916.0
7,317_WIND_1,40.0,0.7625,110880.600727,1974515.4217730002,33520391.0,2777916.0
8,303_WIND_1,40.0,0.05,17918.3265,253369.12350000002,33605391.0,2779365.0
8,317_WIND_1,40.0,0.8812,101860.439497,2127901.303663,33605391.0,2779365.0
9,303_WIND_1,40.0,0.05,16805.134979,254482.31502100002,33663314.0,2779161.0
9,317_WIND_1,40.0,1.0,100039.371782,2202000.828218,33663314.0,2779161.0
10,303_WIND_1,40.0,0.1688,50557.992149,668977.101451,32447009.0,2778082.0
10,317_WIND_1,40.0,0.05,24354.088799999998,228494.38619999998,32447009.0,2778082.0
11,303_WIND_1,40.0,0.1688,47586.255246,671948.838354,32706392.0,2782363.0
11,317_WIND_1,40.0,0.1688,59682.618982,634931.386538,32706392.0,2782363.0
12,303_WIND_1,40.0,0.1688,49889.987831,669645.105769,33004860.0,2784398.0
12,317_WIND_1,40.0,0.2875,78544.090895,981834.507855,33004860.0,2784398.0
13,303_WIND_1,40.0,0.1688,49237.918175,670297.175425,33199762.0,2784138.0
13,317_WIND_1,40.0,0.4062,99503.563539,1278210.670621,33199762.0,2784138.0
14,303_WIND_1,40.0,0.1688,45425.799745000004,674109.293855,33438502.0,2782108.0
14,317_WIND_1,40.0,0.525,100207.050919,1554599.2040809998,33438502.0,2782108.0
15,303_WIND_1,40.0,0.1688,43090.909301,676444.1842990001,33682224.0,2781055.0
15,317_WIND_1,40.0,0.6438,97486.819563,1793176.3268970002,33682224.0,2781055.0
16,303_WIND_1,40.0,0.1688,44722.973834000004,674812.119766,33861612.0,2782187.0
16,317_WIND_1,40.0,0.7625,96462.753135,1988933.269365,33861612.0,2782187.0
17,303_WIND_1,40.0,0.1688,44072.359547,675462.734053,33964579.0,2783620.0
17,317_WIND_1,40.0,0.8812,92459.46132,2137302.28184,33964579.0,2783620.0
18,303_WIND_1,40.0,0.1688,45955.192950000004,673579.90065,33985465.0,2781404.0
18,317_WIND_1,40.0,1.0,95580.248766,2206459.951234,33985465.0,2781404.0
19,303_WIND_1,40.0,0.2875,69472.176591,993309.685909,32613317.0,2781433.0
19,317_WIND_1,40.0,0.05,24053.065347,228795.40965299998,32613317.0,2781433.0
20,303_WIND_1,40.0,0.2875,69470.258691,993311.603809,32997180.0,2785981.0
20,317_WIND_1,40.0,0.1688,58069.05466,636544.95086,32997180.0,2785981.0
21,303_WIND_1,40.0,0.2875,67537.411488,995244.451012,33347894.0,2782903.0
21,317_WIND_1,40.0,0.2875,81297.870391,979080.7283590001,33347894.0,2782903.0
22,303_WIND_1,40.0,0.2875,68766.423144,994015.4393559999,33514720.0,2785108.0
22,317_WIND_1,40.0,0.4062,93800.914199,1283913.319961,33514720.0,2785108.0
23,303_WIND_1,40.0,0.2875,66257.368716,996524.4937839999,33783310.0,2782475.0
23,317_WIND_1,40.0,0.525,92880.51130299999,1561925.743697,33783310.0,2782475.0
24,303_WIND_1,40.0,0.2875,60294.210015,1002487.652485,34034355.0,2789672.0
24,317_WIND_1,40.0,0.6438,92865.727013,1797797.4194470001,34034355.0,2789672.0
25,303_WIND_1,40.0,0.2875,62424.326563,1000357.535937,34208190.0,2786359.0
25,317_WIND_1,40.0,0.7625,92991.416173,1992404.606328,34208190.0,2786359.0
26,303_WIND_1,40.0,0.2875,59792.680015,1002989.182485,34352753.0,2784670.0
26,317_WIND_1,40.0,0.8812,85519.390603,2144242.352558,34352753.0,2784670.0
27,303_WIND_1,40.0,0.2875,60298.244345,1002483.6181549999,34355447.0,2782197.0
27,317_WIND_1,40.0,1.0,92172.876768,2209867.323233,34355447.0,2782197.0
28,303_WIND_1,40.0,0.4062,80134.850315,1257107.170285,32839237.0,2785025.0
28,317_WIND_1,40.0,0.05,21916.795416,230931.679584,32839237.0,2785025.0
29,303_WIND_1,40.0,0.4062,77107.88222099999,1260134.138379,33284541.0,2788630.0
29,317_WIND_1,40.0,0.1688,56615.681095,637998.324425,33284541.0,2788630.0
30,303_WIND_1,40.0,0.4062,74559.460734,1262682.559866,33548101.0,2788070.0
30,317_WIND_1,40.0,0.2875,75682.104106,984696.4946440001,33548101.0,2788070.0
31,303_WIND_1,40.0,0.4062,74762.743173,1262479.277427,33783718.0,2788547.0
