index,oat_site,anchor,num_days,start_date,rho_h2,true_curtailment_mwh,load_shed_mwh,total_cost_raw_usd,reserve_shortfall_mwh,thermal_starts,synthetic_bid_cost_usd,total_cost_less_synthetic_usd,pem_withheld_mwh_total,h2_kg_total,delta_curtailment_mwh,delta_load_shed_mwh,delta_cost_less_synthetic_usd_APPROX,delta_reserve_shortfall_mwh,delta_thermal_starts
1,,False,366,01-01-2020,2.0,1494291.658006,40102.474285,528327810.653031,190437.386529,5000,1842879.84172,526484930.811311,478063.928957,9561278.57914,-194284.11941599962,-1397.6410530000067,4004157.0022280216,-13243.968339999992,-183
2,,False,366,01-01-2020,2.0,1373725.2488139998,32536.84377,533238480.09468,156564.70648,4576,3229363.68084,530009116.41384,885167.363499,17703347.26998,-314850.5286079999,-8963.271568000004,7528342.604757011,-47116.64838900001,-607
3,,False,366,01-01-2020,2.0,1264513.6423759996,28549.135935,536905336.874896,129461.469389,4274,4090584.41832,532814752.45657605,1229401.438292,24588028.76584,-424062.1350460001,-12950.979403000005,10333978.647493064,-74219.88548,-909
4,,False,366,01-01-2020,2.0,1176842.7308929998,21239.674873,540346871.01607,118473.342172,4029,4727977.51092,535618893.50515,1530802.246387,30616044.92774,-511733.0465289999,-20260.440465000003,13138119.696067035,-85208.012697,-1154
5,,False,366,01-01-2020,2.0,1081437.8190280003,18127.721435,543769905.024952,106022.170548,3895,4916140.511,538853764.513952,1803190.192225,36063803.8445,-607137.9583939994,-23372.393903000004,16372990.704869032,-97659.18432100001,-1288
6,,False,366,01-01-2020,2.0,1005653.943862,14896.89503,546888842.251818,96614.72569,3773,5254786.967319999,541634055.284498,2030580.922277,40611618.44554,-682921.8335599997,-26603.220308000004,19153281.47541499,-107066.629179,-1410
7,,False,366,01-01-2020,2.0,954698.8894569998,13093.723102,549192624.097752,86901.979509,3677,5106555.5938,544086068.503952,2229019.582655,44580391.6531,-733876.8879649999,-28406.392236000003,21605294.69486904,-116779.37536,-1506
8,,False,366,01-01-2020,2.0,918998.1243570002,12170.137058,551662168.428268,89612.01885,3665,4791150.63988,546871017.788388,2381270.427163,47625408.54326001,-769577.6530649995,-29329.978280000003,24390243.97930503,-114069.33601900001,-1518
9,,False,366,01-01-2020,2.0,899359.824919,12431.131545,552903917.159107,85759.591851,3575,4673780.27044,548230136.888667,2456483.143239,49129662.864779994,-789215.9525029997,-29068.983793000003,25749363.079584002,-117921.763018,-1608
10,,False,366,01-01-2020,2.0,1305021.5377270007,36020.735499,532222222.446656,168127.872121,4713,2996483.2379599996,529225739.208696,897471.4876509999,17949429.75302,-383554.23969499907,-5479.379839000001,6744965.399613023,-35553.48274800001,-470
11,,False,366,01-01-2020,2.0,1182171.2225559999,30415.91503,537238264.181777,140484.461557,4428,4290754.96912,532947509.212657,1306880.224892,26137604.49784,-506404.55486599985,-11084.200308000003,10466735.40357399,-63196.893312,-755
12,,False,366,01-01-2020,2.0,1076847.0152470006,24633.787592,541707284.567236,114400.218617,4103,5137363.1490400005,536569921.41819596,1651479.613624,33029592.27248,-611728.7621749991,-16866.327746000003,14089147.609112978,-89281.136252,-1080
13,,False,366,01-01-2020,2.0,978861.7027959999,18382.574197,545198676.465638,107643.507206,3935,5949659.26856,539249017.197078,1948507.846046,38970156.92092,-709714.0746259998,-23117.541141,16768243.387995005,-96037.84766300001,-1248
14,,False,366,01-01-2020,2.0,914978.8354619999,16748.879922,548964822.471272,94243.905182,3673,5825314.02656,543139508.444712,2228708.497936,44574169.95872,-773596.9419599999,-24751.235416000003,20658734.635629058,-109437.449687,-1510
15,,False,366,01-01-2020,2.0,843742.662831,13029.910849,552235557.533633,79989.692553,3588,5623109.15456,546612448.379073,2469620.5111960005,49392410.22392001,-844833.1145909997,-28470.204489000003,24131674.56999004,-123691.662316,-1595
16,,False,366,01-01-2020,2.0,793325.1664330001,12153.813639,554879441.425909,78213.005267,3550,5647429.07876,549232012.347149,2663745.3891310003,53274907.782620005,-895250.6109889996,-29346.301699000003,26751238.53806603,-125468.349602,-1633
17,,False,366,01-01-2020,2.0,747600.1973489999,11017.843598,557180760.267003,74517.626445,3472,5461272.83468,551719487.4323231,2812765.0158929997,56255300.31785999,-940975.5800729998,-30482.271740000004,29238713.623240113,-129163.728424,-1711
18,,False,366,01-01-2020,2.0,729663.561233,10147.258123,557776666.964814,69397.046086,3480,5661417.668640001,552115249.2961739,2880039.851884,57600797.03768,-958912.2161889997,-31352.857215000004,29634475.487090945,-134284.308783,-1703
19,,False,366,01-01-2020,2.0,1137684.927876,33065.287505,534963287.330807,153668.895548,4490,3741009.67752,531222277.653287,1222105.095562,24442101.91124,-550890.8495459997,-8434.827833000003,8741503.844204009,-50012.459321,-693
20,,False,366,01-01-2020,2.0,1039917.211025,26258.23932,540220083.702914,125086.091685,4168,5101572.53404,535118511.168874,1629856.554669,32597131.09338,-648658.5663969998,-15241.876018000003,12637737.35979104,-78595.263184,-1015
21,,False,366,01-01-2020,2.0,937983.836099,22975.946676,544760510.66052,109729.848936,3910,5953411.27516,538807099.38536,1974325.179371,39486503.58742,-750591.9413229998,-18524.168662000004,16326325.576277018,-93951.50593300001,-1273
22,,False,366,01-01-2020,2.0,840912.5886569999,19824.617743,548997755.654812,98688.083323,3767,6502693.493720001,542495062.1610919,2277928.759317,45558575.18634,-847663.1887649999,-21675.497595000004,20014288.35200894,-104993.271546,-1416
