index,site,kind,pem_capacity_mw,pem_bid,h2_mwh,h2_kg,pem_grid_sales_mwh,site_market_revenue_usd,uplift_usd
1,303_WIND_1,renewable,42.35,40.0,250783.25507,5015665.1014,20504.19493,-3776085.207418,0.0
1,317_WIND_1,renewable,39.955000000000005,40.0,227280.67388699998,4545613.47774,25567.801112999998,-7780313.887819,0.0
2,303_WIND_1,renewable,42.35,40.0,251482.240961,5029644.81922,19805.209039,-2306334.9693569997,0.0
2,317_WIND_1,renewable,134.88808,40.0,633685.122538,12673702.45076,60928.882982,503797.25413300004,0.0
3,303_WIND_1,renewable,42.35,40.0,252351.875542,5047037.51084,18935.574458,-1123407.581084,0.0
3,317_WIND_1,renewable,229.74124999999998,40.0,977049.56275,19540991.255000003,83329.03600000001,3894982.9535809997,0.0
4,303_WIND_1,renewable,42.35,40.0,252517.90429200002,5050358.085840001,18769.545708,985709.192572,0.0
4,317_WIND_1,renewable,324.59442,40.0,1278284.342095,25565686.8419,99429.89206500001,6794516.363515999,0.0
5,303_WIND_1,renewable,42.35,40.0,253442.497088,5068849.94176,17844.952912,1923342.067879,0.0
5,317_WIND_1,renewable,419.52750000000003,40.0,1549747.695137,30994953.902739998,105058.559863,7755274.546584,0.0
6,303_WIND_1,renewable,42.35,40.0,253126.185728,5062523.71456,18161.264272,2607337.253529,0.0
6,317_WIND_1,renewable,514.46058,40.0,1777454.736549,35549094.73098,113208.409911,8053503.283699,0.0
7,303_WIND_1,renewable,42.35,40.0,254504.160882,5090083.217639999,16783.289118,3133945.578132,0.0
7,317_WIND_1,renewable,609.31375,40.0,1974515.4217730002,39490308.43546,110880.600727,7191683.435498,0.0
8,303_WIND_1,renewable,42.35,40.0,253369.12350000002,5067382.470000001,17918.3265,2909653.9143899996,0.0
8,317_WIND_1,renewable,704.16692,40.0,2127901.303663,42558026.07326,101860.439497,4725828.452047,0.0
9,303_WIND_1,renewable,42.35,40.0,254482.31502100002,5089646.30042,16805.134979,2435413.3168360004,0.0
9,317_WIND_1,renewable,799.1,40.0,2202000.828218,44040016.56436,100039.371782,4443582.275639,0.0
10,303_WIND_1,renewable,142.9736,40.0,668977.101451,13379542.02902,50557.992149,-613765.0644449992,0.0
10,317_WIND_1,renewable,39.955000000000005,40.0,228494.38619999998,4569887.723999999,24354.088799999998,-3836123.845353,0.0
11,303_WIND_1,renewable,142.9736,40.0,671948.838354,13438976.76708,47586.255246,393470.6153210001,0.0
11,317_WIND_1,renewable,134.88808,40.0,634931.386538,12698627.730759999,59682.618982,2068460.765451,0.0
12,303_WIND_1,renewable,142.9736,40.0,669645.105769,13392902.11538,49889.987831,1796652.522804,0.0
12,317_WIND_1,renewable,229.74124999999998,40.0,981834.507855,19636690.1571,78544.090895,6395117.086715,0.0
13,303_WIND_1,renewable,142.9736,40.0,670297.175425,13405943.5085,49237.918175,2342605.4387999997,0.0
13,317_WIND_1,renewable,324.59442,40.0,1278210.670621,25564213.41242,99503.563539,8629620.723852,0.0
