index,oat_site,anchor,num_days,start_date,rho_h2,true_curtailment_mwh,load_shed_mwh,total_cost_raw_usd,reserve_shortfall_mwh,thermal_starts,synthetic_bid_cost_usd,total_cost_less_synthetic_usd,pem_withheld_mwh_total,h2_kg_total,delta_curtailment_mwh,delta_load_shed_mwh,delta_cost_less_synthetic_usd_APPROX,delta_reserve_shortfall_mwh,delta_thermal_starts
1,,False,366,01-01-2020,2.0,1643558.513437,45349.116318,497616764.66841,205290.219724,5218,417425.55304800003,497199339.115362,234584.53615299988,4691690.723059998,-45017.26398499962,3849.000979999997,-25281434.693720996,1608.8648549999925,35
2,,False,366,01-01-2020,2.0,1591658.492009,44695.824287,499094553.357851,196582.548823,5176,624798.652552,498469754.705299,389582.8619100001,7791657.238200001,-96917.2854129998,3195.708949,-24011019.103783965,-7098.806046000012,-7
3,,False,366,01-01-2020,2.0,1548049.8486200003,40595.848164,500776504.451745,194368.928696,5113,819141.543929,499957362.907816,535283.6976369999,10705673.952739999,-140525.92880199943,-904.2671740000005,-22523410.901266992,-9312.426173000014,-70
4,,False,366,01-01-2020,2.0,1490238.6726680002,43396.995546,502773515.072721,194586.26136,5091,920101.5575959999,501853413.515125,671259.5316450001,13425190.632900001,-198337.1047539995,1896.880207999995,-20627360.29395801,-9095.093508999998,-92
5,,False,366,01-01-2020,2.0,1452722.830165,43412.714267,504511731.931053,194431.284486,5102,1071039.660069,503440692.270984,793329.4534800001,15866589.069600003,-235852.9472569998,1912.5989289999998,-19040081.53809899,-9250.070383000013,-81
6,,False,366,01-01-2020,2.0,1415888.651459,40148.36931,505795669.536139,193492.135995,5077,1179660.442052,504616009.094087,895403.8451919998,17908076.903839998,-272687.12596299965,-1351.7460280000014,-17864764.71499598,-10189.218874000013,-106
7,,False,366,01-01-2020,2.0,1397663.17878,43628.962103,506335853.973502,195711.44143,4974,1182683.778572,505153170.19492996,954060.5042700002,19081210.085400004,-290912.59864199976,2128.846764999995,-17327603.614153028,-7969.913438999996,-209
8,,False,366,01-01-2020,2.0,1407839.120013,42584.066746,506725134.413236,196360.422805,4956,1238640.855416,505486493.55782,963249.7408820002,19264994.817640003,-280736.65740899974,1083.9514079999935,-16994280.251262963,-7320.932063999993,-227
9,,False,366,01-01-2020,2.0,1407361.906885,42063.844441,506869773.450133,194770.457028,4981,1232361.173209,505637412.276924,963810.8706529997,19276217.413059995,-281213.8705369998,563.7291029999978,-16843361.53215897,-8910.897840999998,-202
10,,False,366,01-01-2020,2.0,1546738.695746,45611.716848,504516852.90989,196643.332218,5139,1028321.3844750001,503488531.525415,636727.8203659997,12734556.407319995,-141837.0816759998,4111.601509999993,-18992242.28366798,-7038.022651000007,-44
11,,False,366,01-01-2020,2.0,1496283.9784839998,44262.04158,506621016.014893,202640.51281,5042,1264149.401409,505356866.613484,791014.7731789998,15820295.463579996,-192291.79893799988,2761.926241999994,-17123907.19559896,-1040.842059000017,-141
12,,False,366,01-01-2020,2.0,1443473.2619500002,43392.270494,508248530.190599,196793.183434,4994,1431563.9154500002,506816966.27514905,937388.8183369999,18747776.366739996,-245102.51547199953,1892.1551559999934,-15663807.533933938,-6888.171434999997,-189
13,,False,366,01-01-2020,2.0,1405011.879689,43626.79947,510271218.000306,188393.038434,4960,1511154.7182550002,508760063.282051,1073898.8826179998,21477977.652359996,-283563.89773299964,2126.684131999995,-13720710.527031958,-15288.316435000015,-223
14,,False,366,01-01-2020,2.0,1366459.0417070002,42727.83051,511980506.257963,190053.78383,4840,1669653.675455,510310852.582508,1195779.783087,23915595.66174,-322116.7357149995,1227.7151719999965,-12169921.226574957,-13627.571039000002,-343
15,,False,366,01-01-2020,2.0,1329600.9188760002,43569.696131,512931988.149488,186364.245524,4981,1642214.245739,511289773.903749,1301255.680093,26025113.601859998,-358974.8585459995,2069.5807929999937,-11190999.905333996,-17317.109345000004,-202
16,,False,366,01-01-2020,2.0,1303187.804974,42234.157439,513774920.469425,185035.614969,4841,1786468.570851,511988451.898574,1356381.564458,27127631.28916,-385387.97244799975,734.0421009999991,-10492321.91050899,-18645.739900000015,-342
17,,False,366,01-01-2020,2.0,1298222.069976,41596.622409,514095076.49353,179526.25907,4875,1697719.143624,512397357.34990597,1369188.463667,27383769.273339998,-390353.7074459996,96.507071,-10083416.459177017,-24155.095799000002,-308
18,,False,366,01-01-2020,2.0,1297513.2433810001,40730.248912,514113908.997873,181011.962588,4853,1711297.3101750002,512402611.687698,1369253.147222,27385062.94444,-391062.5340409996,-769.8664260000005,-10078162.121384978,-22669.392281000008,-330
19,,False,366,01-01-2020,2.0,1436779.270798,41585.89654,512040011.055842,195811.389222,4945,1752680.8762770002,510287330.17956495,1035683.1531229999,20713663.062459998,-251796.50662399968,85.7812019999983,-12193443.629518032,-7869.9656470000045,-238
20,,False,366,01-01-2020,2.0,1401376.0749070002,41693.686906,513859312.561094,184554.545694,4949,1895502.5803250002,511963809.980769,1192295.2637540002,23845905.275080003,-287199.70251499955,193.5715679999994,-10516963.828314006,-19126.809175000002,-234
21,,False,366,01-01-2020,2.0,1365134.599989,41227.2611,515932684.971157,180818.715514,4881,2009372.445117,513923312.52604,1340007.925152,26800158.50304,-323441.1774329997,-272.8542379999999,-8557461.283042967,-22862.639354999992,-302
22,,False,366,01-01-2020,2.0,1313961.6602669999,45284.06902,517708114.522265,190186.167523,4889,2295725.4708229997,515412389.051442,1471348.933858,29426978.67716,-374614.11715499987,3783.9536819999994,-7068384.757640958,-13495.187345999992,-294
23,,False,366,01-01-2020,2.0,1272708.0023229998,42181.345825,519720841.679978,184276.662789,4795,2239713.4849190004,517481128.195059,1598592.6079050002,31971852.158100005,-415867.77509899996,681.2304869999934,-4999645.6140239835,-19404.692080000008,-388
24,,False,366,01-01-2020,2.0,1245102.225086,45238.643194,521184495.027285,185977.114298,4753,2464147.3624299997,518720347.664855,1697771.6722240003,33955433.44448001,-443473.5523359997,3738.5278559999933,-3760426.1442279816,-17704.240571000002,-430
25,,False,366,01-01-2020,2.0,1232496.791228,39623.25422,521416627.836409,180760.588033,4671,2395464.2711459994,519021163.565263,1758220.9919959998,35164419.83992,-456078.98619399965,-1876.8611180000007,-3459610.2438200116,-22920.766835999995,-512
26,,False,366,01-01-2020,2.0,1218827.019693,38958.780342,521605548.432048,176555.341259,4685,2261574.9331170004,519343973.49893105,1772156.3889739998,35443127.779479995,-469748.7577289997,-2541.334996000005,-3136800.3101519346,-27126.013609999995,-498
27,,False,366,01-01-2020,2.0,1220827.532209,40175.273696,521545662.133749,178012.958613,4703,2327570.3836540002,519218091.750095,1770910.6404300001,35418212.8086,-467748.24521299964,-1324.8416420000067,-3262682.058987975,-25668.396256000007,-480
28,,False,366,01-01-2020,2.0,1359346.9175739998,40308.093239,519536882.096747,188674.231651,4954,2418258.697632,517118623.39911497,1436108.027561,28722160.55122,-329228.8598479999,-1192.0220990000016,-5362150.4099680185,-15007.123217999993,-229
29,,False,366,01-01-2020,2.0,1314650.9692620002,40885.313886,521887663.372688,182957.287364,4822,2542859.4921189994,519344803.880569,1593175.6609349998,31863513.218699995,-373924.80815999955,-614.8014519999997,-3135969.9285140038,-20724.067505000014,-361
30,,False,366,01-01-2020,2.0,1271952.5051779998,41072.840807,523704679.470537,182527.042819,4841,2710246.6977569996,520994432.77278,1739550.388806,34791007.77612,-416623.2722439999,-427.27453100000275,-1486341.0363029838,-21154.312050000008,-342
31,,False,366,01-01-2020,2.0,1240926.458146,40185.699326,525791090.240657,183685.541358,4739,2864458.238214,522926632.00244296,1874194.9346460002,37483898.69292,-447649.3192759997,-1314.4160120000015,445858.19335997105,-19995.813511000015,-444
