index,site,kind,pem_capacity_mw,pem_bid,h2_mwh,h2_kg,pem_grid_sales_mwh,site_market_revenue_usd,uplift_usd
1,121_NUCLEAR_1,thermal,20.0,40.0,167797.04988399986,3355940.9976799972,,76971964.178285,0.0
1,319_PV_1,renewable,9.41,40.0,36929.903896,738598.0779200001,1472.526104,4160159.927401,0.0
1,324_PV_1,renewable,2.4850000000000003,40.0,9746.845,194936.9,346.35999999999996,1203191.151122,0.0
1,324_PV_2,renewable,2.58,40.0,10097.637373,201952.74745999998,358.702627,1190805.448829,0.0
1,324_PV_3,renewable,2.5500000000000003,40.0,10013.099999999999,200261.99999999997,375.09999999999997,1216488.1190570001,0.0
2,121_NUCLEAR_1,thermal,20.0,40.0,168053.3172220001,3361066.344440002,,77117149.203097,0.0
2,319_PV_1,renewable,31.768159999999998,40.0,122293.49444600001,2445869.8889200003,4706.689714,3871149.98421,0.0
2,324_PV_1,renewable,8.38936,40.0,32480.427940999998,649608.5588199999,1033.120779,1096806.371787,0.0
2,324_PV_2,renewable,8.710080000000001,40.0,33531.498215,670629.9643,1106.578745,1066442.518907,0.0
2,324_PV_3,renewable,8.6088,40.0,33224.124086,664482.48172,1146.8943140000001,1100563.992381,0.0
3,121_NUCLEAR_1,thermal,20.0,40.0,168205.7914189999,3364115.828379998,,77417639.170586,0.0
3,319_PV_1,renewable,54.107499999999995,40.0,202485.745059,4049714.90118,7680.274941,3432633.193783,0.0
3,324_PV_1,renewable,14.28875,40.0,54032.846006,1080656.92012,1657.2527440000001,971713.4276999999,0.0
3,324_PV_2,renewable,14.834999999999999,40.0,55494.45915,1109889.183,1819.07085,951442.612023,0.0
3,324_PV_3,renewable,14.6625,40.0,55064.856003,1101297.12006,1847.731497,980466.255936,0.0
4,121_NUCLEAR_1,thermal,20.0,40.0,168145.74979700008,3362914.9959400017,,77882195.086065,0.0
4,319_PV_1,renewable,76.44684,40.0,277413.995205,5548279.9041,9385.376795,2765285.4422000004,0.0
4,324_PV_1,renewable,20.18814,40.0,74148.125539,1482962.5107800001,1880.275541,744974.837313,0.0
4,324_PV_2,renewable,20.95992,40.0,75973.313439,1519466.26878,2110.086081,736652.340462,0.0
4,324_PV_3,renewable,20.7162,40.0,75578.34766500001,1511566.9533000002,2092.550335,751785.573634,0.0
5,121_NUCLEAR_1,thermal,20.0,40.0,167987.5352210002,3359750.704420004,,78388902.829223,0.0
5,319_PV_1,renewable,98.80499999999999,40.0,344859.468788,6897189.37576,11545.181212,2289072.472003,0.0
5,324_PV_1,renewable,26.0925,40.0,92343.641029,1846872.82058,2338.183971,610333.888602,0.0
5,324_PV_2,renewable,27.090000000000003,40.0,94253.743301,1885074.8660199998,2622.276699,582562.259876,0.0
5,324_PV_3,renewable,26.775000000000002,40.0,93885.065141,1877701.3028199999,2577.884859,611670.697371,0.0
6,121_NUCLEAR_1,thermal,20.0,40.0,167856.86589499982,3357137.3178999964,,78784695.850671,0.0
6,319_PV_1,renewable,121.16316,40.0,401536.52900700003,8030730.58014,13341.807313000001,1724834.3474579998,0.0
6,324_PV_1,renewable,31.996860000000005,40.0,107712.72294400001,2154254.4588800003,2630.633076,424561.46687500004,0.0
6,324_PV_2,renewable,33.22008,40.0,109148.57147000001,2182971.4294000003,2910.56885,402616.196201,0.0
6,324_PV_3,renewable,32.833800000000004,40.0,109149.15587599999,2182983.11752,2785.3677239999997,423393.32142600004,0.0
7,121_NUCLEAR_1,thermal,20.0,40.0,167989.04020200018,3359780.8040400036,,78852261.991212,0.0
7,319_PV_1,renewable,143.50249999999997,40.0,435883.663405,8717673.2681,12859.436595,1324737.796185,0.0
7,324_PV_1,renewable,37.89625,40.0,116635.242528,2332704.85056,2959.776222,336377.81187100004,0.0
7,324_PV_2,renewable,39.345,40.0,116221.271937,2324425.43874,3288.958063,335407.975877,0.0
7,324_PV_3,renewable,38.887499999999996,40.0,117331.286198,2346625.72396,2767.963802,325333.786501,0.0
8,121_NUCLEAR_1,thermal,20.0,40.0,167868.31795200007,3357366.3590400014,,79018711.258863,0.0
8,319_PV_1,renewable,165.84184,40.0,441708.995907,8834179.91814,12977.819533,1265918.539571,0.0
8,324_PV_1,renewable,43.79564,40.0,118182.436999,2363648.73998,3382.744721,330451.07283799996,0.0
8,324_PV_2,renewable,45.46992,40.0,117029.785607,2340595.71214,3640.231513,332815.607252,0.0
8,324_PV_3,renewable,44.9412,40.0,118460.204417,2369204.0883400002,3153.543583,324154.671695,0.0
9,121_NUCLEAR_1,thermal,20.0,40.0,167945.17948899977,3358903.5897799954,,78988590.524646,0.0
9,319_PV_1,renewable,188.2,40.0,442185.291523,8843705.83046,12702.708477,1236813.334335,0.0
9,324_PV_1,renewable,49.7,40.0,118137.945082,2362758.9016400003,3517.254918,339031.629378,0.0
9,324_PV_2,renewable,51.6,40.0,117043.324512,2340866.49024,3678.675488,333581.766303,0.0
9,324_PV_3,renewable,51.0,40.0,118499.130047,2369982.60094,3175.569953,327131.43124299997,0.0
10,121_NUCLEAR_1,thermal,67.52,40.0,569852.4456929998,11397048.913859995,,72881968.168679,0.0
10,319_PV_1,renewable,9.41,40.0,36994.927009,739898.54018,1407.502991,4428945.920228,0.0
10,324_PV_1,renewable,2.4850000000000003,40.0,9758.585,195171.69999999998,334.62,1294008.373692,0.0
10,324_PV_2,renewable,2.58,40.0,10098.062664000001,201961.25328,358.277336,1292315.0776489999,0.0
10,324_PV_3,renewable,2.5500000000000003,40.0,10023.8,200476.0,364.4,1308865.829745,0.0
11,121_NUCLEAR_1,thermal,67.52,40.0,569408.8914119997,11388177.828239994,,73077351.478018,0.0
11,319_PV_1,renewable,31.768159999999998,40.0,122376.746933,2447534.93866,4623.437227,3880287.588873,0.0
11,324_PV_1,renewable,8.38936,40.0,32475.417906,649508.35812,1038.130814,1113786.713126,0.0
11,324_PV_2,renewable,8.710080000000001,40.0,33527.521464,670550.4292799999,1110.555496,1104932.788387,0.0
11,324_PV_3,renewable,8.6088,40.0,33226.195464000004,664523.90928,1144.822936,1125326.286644,0.0
12,121_NUCLEAR_1,thermal,67.52,40.0,569095.2809819998,11381905.619639996,,73236886.921264,0.0
12,319_PV_1,renewable,54.107499999999995,40.0,203176.912285,4063538.2457,6989.107715,3439636.16988,0.0
12,324_PV_1,renewable,14.28875,40.0,54185.670304,1083713.40608,1504.4284460000001,963968.025592,0.0
12,324_PV_2,renewable,14.834999999999999,40.0,55645.97722,1112919.5444,1667.55278,950815.429291,0.0
12,324_PV_3,renewable,14.6625,40.0,55284.977546,1105699.55092,1627.609954,973748.450284,0.0
13,121_NUCLEAR_1,thermal,67.52,40.0,569854.1284349998,11397082.568699997,,73565634.870646,0.0
13,319_PV_1,renewable,76.44684,40.0,278297.761188,5565955.2237599995,8501.610811999999,2799188.20331,0.0
13,324_PV_1,renewable,20.18814,40.0,74114.526889,1482290.53778,1913.874191,792203.4836329999,0.0
13,324_PV_2,renewable,20.95992,40.0,76039.820462,1520796.40924,2043.579058,758247.56774,0.0
13,324_PV_3,renewable,20.7162,40.0,75592.645644,1511852.9128800002,2078.252356,795489.25743,0.0
14,121_NUCLEAR_1,thermal,67.52,40.0,569163.7758559999,11383275.517119998,,74189537.41236,0.0
14,319_PV_1,renewable,98.80499999999999,40.0,345391.466006,6907829.32012,11013.183994,2262470.5589070003,0.0
14,324_PV_1,renewable,26.0925,40.0,92568.271616,1851365.43232,2113.553384,597395.253047,0.0
14,324_PV_2,renewable,27.090000000000003,40.0,94597.448145,1891948.9629000002,2278.571855,558836.894168,0.0
14,324_PV_3,renewable,26.775000000000002,40.0,94058.821464,1881176.4292799998,2404.1285359999997,587257.342094,0.0
15,121_NUCLEAR_1,thermal,67.52,40.0,571003.5507089999,11420071.014179997,,74078687.918911,0.0
15,319_PV_1,renewable,121.16316,40.0,403190.299199,8063805.98398,11688.037121,1639601.104328,0.0
15,324_PV_1,renewable,31.996860000000005,40.0,108167.96905,2163359.381,2175.38697,409941.13558500004,0.0
15,324_PV_2,renewable,33.22008,40.0,109412.046271,2188240.92542,2647.0940490000003,390981.47398999997,0.0
15,324_PV_3,renewable,32.833800000000004,40.0,109481.814864,2189636.29728,2452.708736,404879.85664500005,0.0
16,121_NUCLEAR_1,thermal,67.52,40.0,569910.0582059999,11398201.164119998,,74523992.406407,0.0
16,319_PV_1,renewable,143.50249999999997,40.0,436030.829868,8720616.59736,12712.270132,1291708.7436719998,0.0
16,324_PV_1,renewable,37.89625,40.0,116497.642879,2329952.85758,3097.375871,330613.866362,0.0
16,324_PV_2,renewable,39.345,40.0,116483.277502,2329665.55004,3026.952498,315853.041853,0.0
16,324_PV_3,renewable,38.887499999999996,40.0,117459.756003,2349195.12006,2639.493997,314766.160989,0.0
17,121_NUCLEAR_1,thermal,67.52,40.0,570876.667649,11417533.352979999,,74105897.718256,0.0
17,319_PV_1,renewable,165.84184,40.0,443440.076641,8868801.53282,11246.738799,1209149.9559890002,0.0
17,324_PV_1,renewable,43.79564,40.0,118389.302307,2367786.04614,3175.879413,325623.969631,0.0
17,324_PV_2,renewable,45.46992,40.0,117549.235169,2350984.7033800003,3120.781951,335372.30848,0.0
17,324_PV_3,renewable,44.9412,40.0,118933.181901,2378663.63802,2680.566099,307431.933386,0.0
18,121_NUCLEAR_1,thermal,67.52,40.0,570518.51149,11410370.229799999,,74253467.297424,0.0
18,319_PV_1,renewable,188.2,40.0,443970.136192,8879402.72384,10917.863808,1193241.6775480001,0.0
18,324_PV_1,renewable,49.7,40.0,118520.620122,2370412.40244,3134.579878,318057.591439,0.0
18,324_PV_2,renewable,51.6,40.0,117397.618049,2347952.36098,3324.381951,332466.27784,0.0
18,324_PV_3,renewable,51.0,40.0,118846.261369,2376925.22738,2828.438631,308216.882657,0.0
19,121_NUCLEAR_1,thermal,114.99999999999999,40.0,968689.6770339999,19373793.54068,,67692668.833748,0.0
19,319_PV_1,renewable,9.41,40.0,37056.699138,741133.98276,1345.7308620000001,4796857.326882,0.0
19,324_PV_1,renewable,2.4850000000000003,40.0,9775.98,195519.59999999998,317.22499999999997,1328070.614662,0.0
19,324_PV_2,renewable,2.58,40.0,10119.796951,202395.93902,336.543049,1311335.9472689999,0.0
19,324_PV_3,renewable,2.5500000000000003,40.0,10041.0,200820.0,347.2,1344225.228802,0.0
20,121_NUCLEAR_1,thermal,114.99999999999999,40.0,970351.3151690001,19407026.30338,,67877724.664137,0.0
20,319_PV_1,renewable,31.768159999999998,40.0,122584.798622,2451695.97244,4415.385538,3967488.589389,0.0
20,324_PV_1,renewable,8.38936,40.0,32505.819435999998,650116.3887199999,1007.729284,1142086.3701,0.0
20,324_PV_2,renewable,8.710080000000001,40.0,33566.044926999995,671320.89854,1072.032033,1106336.114977,0.0
20,324_PV_3,renewable,8.6088,40.0,33287.2856,665745.712,1083.7328,1153186.0007739998,0.0
21,121_NUCLEAR_1,thermal,114.99999999999999,40.0,971771.7575639999,19435435.151279997,,68040203.078901,0.0
21,319_PV_1,renewable,54.107499999999995,40.0,203262.561313,4065251.2262600004,6903.458687,3629048.305004,0.0
21,324_PV_1,renewable,14.28875,40.0,54124.402469,1082488.04938,1565.696281,1023216.558518,0.0
21,324_PV_2,renewable,14.834999999999999,40.0,55654.147113000006,1113082.9422600002,1659.382887,985288.552283,0.0
21,324_PV_3,renewable,14.6625,40.0,55195.056693,1103901.13386,1717.5308069999999,1026979.002299,0.0
22,121_NUCLEAR_1,thermal,114.99999999999999,40.0,968569.0927019999,19371381.854039997,,68540279.608179,0.0
22,319_PV_1,renewable,76.44684,40.0,277277.061041,5545541.22082,9522.310959,2982331.03913,0.0
22,324_PV_1,renewable,20.18814,40.0,74084.857559,1481697.15118,1943.543521,817930.121401,0.0
22,324_PV_2,renewable,20.95992,40.0,75886.765508,1517735.3101599999,2196.634012,792477.478074,0.0
22,324_PV_3,renewable,20.7162,40.0,75531.15704800001,1510623.1409600002,2139.740952,814164.9357650001,0.0
23,121_NUCLEAR_1,thermal,114.99999999999999,40.0,970550.278587,19411005.57174,,69154945.115993,0.0
23,319_PV_1,renewable,98.80499999999999,40.0,346515.695648,6930313.91296,9888.954352,2221000.275518,0.0
23,324_PV_1,renewable,26.0925,40.0,92682.981508,1853659.63016,1998.843492,599494.443888,0.0
23,324_PV_2,renewable,27.090000000000003,40.0,94575.557379,1891511.14758,2300.462621,566254.9735,0.0
23,324_PV_3,renewable,26.775000000000002,40.0,94268.094783,1885361.89566,2194.855217,587312.32608,0.0
24,121_NUCLEAR_1,thermal,114.99999999999999,40.0,968387.3980490002,19367747.960980006,,69294954.267214,0.0
24,319_PV_1,renewable,121.16316,40.0,402956.805107,8059136.10214,11921.531213,1634682.706527,0.0
24,324_PV_1,renewable,31.996860000000005,40.0,107870.75043700001,2157415.0087400004,2472.605583,433677.29888600006,0.0
24,324_PV_2,renewable,33.22008,40.0,109247.03992400001,2184940.7984800003,2812.1003960000003,408893.387931,0.0
24,324_PV_3,renewable,32.833800000000004,40.0,109309.678707,2186193.57414,2624.844893,419742.777564,0.0
25,121_NUCLEAR_1,thermal,114.99999999999999,40.0,970994.9465879998,19419898.93176,,69225939.007277,0.0
25,319_PV_1,renewable,143.50249999999997,40.0,436642.941036,8732858.82072,12100.158964,1311800.862314,0.0
25,324_PV_1,renewable,37.89625,40.0,116536.702462,2330734.04924,3058.316288,336452.685292,0.0
25,324_PV_2,renewable,39.345,40.0,116525.621384,2330512.4276799997,2984.608616,319223.729612,0.0
25,324_PV_3,renewable,38.887499999999996,40.0,117520.780526,2350415.61052,2578.469474,316276.551355,0.0
26,121_NUCLEAR_1,thermal,114.99999999999999,40.0,972325.1180110001,19446502.36022,,68378759.957154,0.0
26,319_PV_1,renewable,165.84184,40.0,443750.340984,8875006.81968,10936.474456,1061267.372029,0.0
26,324_PV_1,renewable,43.79564,40.0,118781.150401,2375623.00802,2784.031319,269849.970524,0.0
26,324_PV_2,renewable,45.46992,40.0,117999.5472,2359990.944,2670.46992,261964.36912299998,0.0
26,324_PV_3,renewable,44.9412,40.0,119300.232378,2386004.64756,2313.515622,263569.71820400003,0.0
27,121_NUCLEAR_1,thermal,114.99999999999999,40.0,971569.8913440001,19431397.82688,,68543668.032732,0.0
27,319_PV_1,renewable,188.2,40.0,444034.427999,8880688.55998,10853.572001,1128765.689813,0.0
27,324_PV_1,renewable,49.7,40.0,118679.772633,2373595.45266,2975.427367,293408.806122,0.0
27,324_PV_2,renewable,51.6,40.0,117635.119129,2352702.38258,3086.880871,290183.316864,0.0
27,324_PV_3,renewable,51.0,40.0,118991.429325,2379828.5865,2683.270675,294174.223613,0.0
28,121_NUCLEAR_1,thermal,162.48,40.0,1369069.479435,27381389.588700004,,60895512.325936,0.0
28,319_PV_1,renewable,9.41,40.0,37081.105349,741622.1069799999,1321.324651,4979429.861553,0.0
28,324_PV_1,renewable,2.4850000000000003,40.0,9782.621696999999,195652.43393999996,310.583303,1426064.817447,0.0
28,324_PV_2,renewable,2.58,40.0,10124.92108,202498.4216,331.41892,1393760.1173100001,0.0
28,324_PV_3,renewable,2.5500000000000003,40.0,10049.9,200998.0,338.29999999999995,1429938.3368779998,0.0
29,121_NUCLEAR_1,thermal,162.48,40.0,1370796.6809919998,27415933.619839996,,61731763.303605,0.0
29,319_PV_1,renewable,31.768159999999998,40.0,122888.43561,2457768.7122,4111.74855,4224851.269753,0.0
29,324_PV_1,renewable,8.38936,40.0,32543.998156,650879.96312,969.550564,1219626.11714,0.0
29,324_PV_2,renewable,8.710080000000001,40.0,33617.141671,672342.8334199999,1020.9352889999999,1195504.635028,0.0
29,324_PV_3,renewable,8.6088,40.0,33329.404506,666588.09012,1041.613894,1232538.7741999999,0.0
30,121_NUCLEAR_1,thermal,162.48,40.0,1370589.8257260001,27411796.514520004,,61216828.143182,0.0
30,319_PV_1,renewable,54.107499999999995,40.0,203730.129022,4074602.58044,6435.890978,3609358.048865,0.0
30,324_PV_1,renewable,14.28875,40.0,54199.097899,1083981.95798,1491.000851,1019262.08147,0.0
30,324_PV_2,renewable,14.834999999999999,40.0,55710.411159,1114208.22318,1603.118841,986136.02929,0.0
30,324_PV_3,renewable,14.6625,40.0,55320.924999999996,1106418.5,1591.6625,1021053.044364,0.0
31,121_NUCLEAR_1,thermal,162.48,40.0,1370440.4689520001,27408809.379040003,,61748613.215681,0.0
31,319_PV_1,renewable,76.44684,40.0,278109.595329,5562191.906579999,8689.776671,2932701.977141,0.0
31,324_PV_1,renewable,20.18814,40.0,74068.566907,1481371.3381400001,1959.834173,827286.234994,0.0
31,324_PV_2,renewable,20.95992,40.0,75990.043215,1519800.8643,2093.3563050000002,789353.162602,0.0
31,324_PV_3,renewable,20.7162,40.0,75586.260243,1511725.20486,2084.637757,818480.8276,0.0
32,121_NUCLEAR_1,thermal,162.48,40.0,1369853.2068349998,27397064.136699997,,61738182.629143,0.0
32,319_PV_1,renewable,98.80499999999999,40.0,346462.372128,6929247.44256,9942.277872,2369034.265765,0.0
32,324_PV_1,renewable,26.0925,40.0,92426.31072000001,1848526.2144000002,2255.51428,656569.437057,0.0
32,324_PV_2,renewable,27.090000000000003,40.0,94469.20522,1889384.1044,2406.81478,607886.741892,0.0
32,324_PV_3,renewable,26.775000000000002,40.0,94125.509608,1882510.1921599999,2337.440392,636639.13758,0.0
33,121_NUCLEAR_1,thermal,162.48,40.0,1369345.898523,27386917.97046,,61921803.467465,0.0
33,319_PV_1,renewable,121.16316,40.0,402968.784852,8059375.69704,11909.551468,1637120.07502,0.0
33,324_PV_1,renewable,31.996860000000005,40.0,108058.416196,2161168.3239200003,2284.939824,418230.582719,0.0
33,324_PV_2,renewable,33.22008,40.0,109407.86486900001,2188157.2973800004,2651.275451,391207.849416,0.0
33,324_PV_3,renewable,32.833800000000004,40.0,109535.467448,2190709.34896,2399.056152,402684.598248,0.0
34,121_NUCLEAR_1,thermal,162.48,40.0,1368702.079341,27374041.58682,,62456451.155092,0.0
34,319_PV_1,renewable,143.50249999999997,40.0,438953.422813,8779068.45626,9789.677187,1089358.213984,0.0
34,324_PV_1,renewable,37.89625,40.0,117108.175694,2342163.51388,2486.843056,295460.40690299997,0.0
34,324_PV_2,renewable,39.345,40.0,117101.35,2342027.0,2408.88,270479.915906,0.0
