index,oat_site,anchor,num_days,start_date,rho_h2,true_curtailment_mwh,load_shed_mwh,total_cost_raw_usd,reserve_shortfall_mwh,thermal_starts,synthetic_bid_cost_usd,total_cost_less_synthetic_usd,pem_withheld_mwh_total,h2_kg_total,delta_curtailment_mwh,delta_load_shed_mwh,delta_cost_less_synthetic_usd_APPROX,delta_reserve_shortfall_mwh,delta_thermal_starts
1,,False,366,01-01-2020,2.0,1651857.782116,45112.119493,497474250.599297,205920.005187,5190,519830.79062299995,496954419.808674,226420.41521599988,4528408.304319997,-36717.99530599965,3612.004154999995,-25526354.000409007,2238.650318,7
2,,False,366,01-01-2020,2.0,1604214.731324,42857.800729,498620402.973995,191144.571082,5154,795386.109579,497825016.86441594,337144.42612299987,6742888.522459997,-84361.04609799967,1357.685390999999,-24655756.94466704,-12536.783786999993,-29
3,,False,366,01-01-2020,2.0,1586370.807236,38964.854499,499585922.633671,192504.58759,4973,1032449.812904,498553472.820767,429595.34966299986,8591906.993259996,-102204.97018599976,-2535.2608390000023,-23927300.988316,-11176.767278999992,-210
4,,False,366,01-01-2020,2.0,1558129.595601,41767.310271,500664411.838441,184930.635831,4922,1153612.815605,499510799.022836,512537.674577,10250753.49154,-130446.18182099983,267.19493299999885,-22969974.786246955,-18750.71903800001,-261
5,,False,366,01-01-2020,2.0,1521753.2441850002,40415.792668,501334930.407082,187696.234703,4960,1327801.43902,500007128.96806204,583902.0015069998,11678040.030139998,-166822.53323699953,-1084.3226700000014,-22473644.84102094,-15985.120166000008,-223
6,,False,366,01-01-2020,2.0,1503773.395332,37931.795572,502517696.093434,183696.506046,4903,1390547.5527470002,501127148.54068696,645803.5411140003,12916070.822280005,-184802.38208999974,-3568.3197660000005,-21353625.26839602,-19984.848823000008,-280
7,,False,366,01-01-2020,2.0,1493952.775692,41749.080857,502823297.235132,185645.761345,4937,1448150.9017079999,501375146.333424,687838.1761919998,13756763.523839995,-194623.00172999967,248.96551899999758,-21105627.475659013,-18035.593523999996,-246
8,,False,366,01-01-2020,2.0,1490041.5629019998,41337.928859,503346801.978781,182500.461826,4911,1519148.750032,501827653.228749,712106.9465509999,14242138.931019997,-198534.21451999992,-162.1864790000036,-20653120.580334008,-21180.89304299999,-272
9,,False,366,01-01-2020,2.0,1473616.9726510001,40249.100652,503358982.772695,181351.178168,4871,1532970.5832780001,501826012.189417,726794.6354059998,14535892.708119996,-214958.8047709996,-1251.0146860000023,-20654761.61966598,-22330.17670099999,-312
10,,False,366,01-01-2020,2.0,1552778.746557,42854.369826,504643733.230266,196483.514666,4992,1106262.742212,503537470.488054,629175.296423,12583505.928460002,-135797.03086499963,1354.2544879999987,-18943303.321029007,-7197.840203,-191
