index,site,kind,pem_capacity_mw,pem_bid,h2_mwh,h2_kg,pem_grid_sales_mwh,site_market_revenue_usd,uplift_usd
1,121_NUCLEAR_1,thermal,20.0,40.0,167779.72567499988,3355594.5134999976,,76819321.739576,0.0
1,309_WIND_1,renewable,7.415000000000001,40.0,38395.730014,767914.60028,4370.394986,2827309.886832,0.0
1,310_PV_2,renewable,2.58,40.0,10102.284877,202045.69754,362.275123,1183455.647241,0.0
1,320_PV_1,renewable,2.58,40.0,10142.67465,202853.49300000002,362.82535,1185341.5776560002,0.0
2,121_NUCLEAR_1,thermal,20.0,40.0,168328.6673659999,3366573.347319998,,77218996.756175,0.0
2,309_WIND_1,renewable,25.033040000000003,40.0,101598.050308,2031961.00616,10366.026652,2948811.188726,0.0
2,310_PV_2,renewable,8.710080000000001,40.0,33573.559831,671471.19662,1073.665929,1027371.476509,0.0
2,320_PV_1,renewable,8.710080000000001,40.0,33644.148618,672882.97236,1093.627542,1031685.207423,0.0
3,121_NUCLEAR_1,thermal,20.0,40.0,168291.12534599984,3365822.506919997,,77234382.192859,0.0
3,309_WIND_1,renewable,42.63625,40.0,150376.907342,3007538.1468399996,14915.472657999999,3177719.569917,0.0
3,310_PV_2,renewable,14.834999999999999,40.0,55423.94384,1108478.8768,1750.89616,857508.515437,0.0
3,320_PV_1,renewable,14.834999999999999,40.0,55503.373135,1110067.4627,1756.0018650000002,856409.072199,0.0
4,121_NUCLEAR_1,thermal,20.0,40.0,168823.668788,3376473.37576,,77688596.959453,0.0
4,309_WIND_1,renewable,60.23946000000001,40.0,192123.8428,3842476.856,17864.04874,3404085.2804039996,0.0
4,310_PV_2,renewable,20.95992,40.0,75762.152616,1515243.0523200002,2032.548904,705962.70905,0.0
4,320_PV_1,renewable,20.95992,40.0,75828.010373,1516560.20746,2087.391547,686862.697911,0.0
5,121_NUCLEAR_1,thermal,20.0,40.0,168442.55242899992,3368851.0485799983,,78027015.962012,0.0
5,309_WIND_1,renewable,77.85750000000002,40.0,227888.090551,4557761.81102,20665.076949,3488283.653718,0.0
5,310_PV_2,renewable,27.090000000000003,40.0,93727.037218,1874540.74436,2625.902782,559380.279318,0.0
5,320_PV_1,renewable,27.090000000000003,40.0,93844.321309,1876886.4261800002,2666.608691,538740.241188,0.0
6,121_NUCLEAR_1,thermal,20.0,40.0,168713.97685200023,3374279.5370400045,,78126664.616894,0.0
