index,oat_site,anchor,num_days,start_date,rho_h2,true_curtailment_mwh,load_shed_mwh,total_cost_raw_usd,reserve_shortfall_mwh,thermal_starts,synthetic_bid_cost_usd,total_cost_less_synthetic_usd,pem_withheld_mwh_total,h2_kg_total,delta_curtailment_mwh,delta_load_shed_mwh,delta_cost_less_synthetic_usd_APPROX,delta_reserve_shortfall_mwh,delta_thermal_starts
1,,False,366,01-01-2020,2.0,1610315.0492419999,41161.733982,499757532.113917,190995.770112,5108,1251929.4000269999,498505602.71389,384064.31498300005,7681286.299660001,-78260.72817999986,-338.3813560000053,-23975171.09519297,-12685.584757000004,-75
2,,False,366,01-01-2020,2.0,1476412.2710359998,37468.240671,504170518.471547,170468.124909,4778,2686538.773443,501483979.698104,760020.035049,15200400.70098,-212163.50638599996,-4031.8746670000037,-20996794.11097896,-33213.22996,-405
3,,False,366,01-01-2020,2.0,1393053.0215460001,28739.516203,508117630.98773,141167.699868,4416,3604039.5754609997,504513591.41226906,1067096.573099,21341931.46198,-295522.7558759996,-12760.599135000004,-17967182.39681393,-62513.65500100001,-767
4,,False,366,01-01-2020,2.0,1301932.367817,25728.377856,511368990.565033,125376.057708,4191,4446025.398955,506922965.16607803,1327582.8055170001,26551656.110340003,-386643.4096049997,-15771.737482000004,-15557808.643004954,-78305.29716100001,-992
5,,False,366,01-01-2020,2.0,1223521.671468,22557.887237,514707697.63881,115776.554876,4046,4815085.794988001,509892611.843822,1558909.730116,31178194.60232,-465054.1059539998,-18942.228101000004,-12588161.965260983,-87904.79999300001,-1137
6,,False,366,01-01-2020,2.0,1173084.421422,17783.298266,516991483.555558,97801.114486,3861,5167467.109901,511824016.445657,1754613.977745,35092279.5549,-515491.3559999997,-23716.817072,-10656757.36342597,-105880.240383,-1322
7,,False,366,01-01-2020,2.0,1132381.5817190001,16190.157172,519076976.215737,96312.897187,3838,5340654.438597,513736321.77713996,1923800.2327780002,38476004.65556,-556194.1957029996,-25309.958166000004,-8744452.031943023,-107368.45768200001,-1345
8,,False,366,01-01-2020,2.0,1093396.598819,13649.198571,521015230.970376,92672.226658,3711,5165866.638223,515849364.332153,2068110.62764,41362212.5528,-595179.1786029998,-27850.916767000002,-6631409.476929963,-111009.128211,-1472
9,,False,366,01-01-2020,2.0,1081768.282464,9055.540181,522166472.966359,91324.949805,3684,5201394.299447999,516965078.666911,2147401.3425120004,42948026.85024001,-606807.4949579998,-32444.575157000003,-5515695.142171979,-112356.405064,-1499
10,,False,366,01-01-2020,2.0,1503969.928942,40737.690437,506613804.991536,189432.618477,4874,1809896.1303639999,504803908.861172,787530.826715,15750616.5343,-184605.8484799997,-762.4249010000058,-17676864.947910964,-14248.736391999992,-309
11,,False,366,01-01-2020,2.0,1388970.443518,32835.473685,511569174.086857,155704.774376,4573,3035992.212351,508533181.874506,1168699.3790739998,23373987.581479996,-299605.33390399977,-8664.641653000006,-13947591.934576988,-47976.580493000016,-610
12,,False,366,01-01-2020,2.0,1308762.841367,28764.138177,515293359.553483,136948.319506,4246,3944636.044263,511348723.50922,1475997.341376,29519946.82752,-379812.9360549997,-12735.977161000003,-11132050.29986298,-66733.035363,-937
