index,site,kind,pem_capacity_mw,pem_bid,h2_mwh,h2_kg,pem_grid_sales_mwh,site_market_revenue_usd,uplift_usd
1,121_NUCLEAR_1,thermal,20.0,40.0,168009.81136999978,3360196.2273999956,,77149919.047378,0.0
1,317_WIND_1,renewable,39.955000000000005,40.0,227209.878949,4544197.57898,25638.596051,-6962692.2552350005,0.0
2,121_NUCLEAR_1,thermal,20.0,40.0,169202.0788870002,3384041.5777400043,,78208286.631396,0.0
2,317_WIND_1,renewable,134.88808,40.0,629859.000826,12597180.016520001,64755.004694,530377.3457629997,0.0
3,121_NUCLEAR_1,thermal,20.0,40.0,170353.7263059998,3407074.526119996,,78710820.059397,0.0
3,317_WIND_1,renewable,229.74124999999998,40.0,973436.7311590001,19468734.623180002,86941.867591,4592491.24962,0.0
4,121_NUCLEAR_1,thermal,20.0,40.0,171086.00637499988,3421720.1274999976,,79542641.302815,0.0
4,317_WIND_1,renewable,324.59442,40.0,1279178.888736,25583577.774720002,98535.345424,6351627.157561,0.0
5,121_NUCLEAR_1,thermal,20.0,40.0,171811.87831200007,3436237.5662400015,,80285100.938885,0.0
5,317_WIND_1,renewable,419.52750000000003,40.0,1546338.404071,30926768.081419997,108467.850931,8083313.577734,0.0
6,121_NUCLEAR_1,thermal,20.0,40.0,172103.083567,3442061.67134,,80592649.313246,0.0
6,317_WIND_1,renewable,514.46058,40.0,1775160.738412,35503214.76824,115502.408048,8537146.556109,0.0
7,121_NUCLEAR_1,thermal,20.0,40.0,172340.5276589999,3446810.553179998,,81203886.205727,0.0
7,317_WIND_1,renewable,609.31375,40.0,1971156.650481,39423133.00962,114239.372019,7430900.985571,0.0
8,121_NUCLEAR_1,thermal,20.0,40.0,172896.13222200004,3457922.644440001,,81274343.329183,0.0
8,317_WIND_1,renewable,704.16692,40.0,2131611.715873,42632234.31746,98150.027287,5391826.907609,0.0
9,121_NUCLEAR_1,thermal,20.0,40.0,172919.37089100014,3458387.417820003,,81344759.354551,0.0
9,317_WIND_1,renewable,799.1,40.0,2198204.85568,43964097.1136,103835.34432,4438057.117517,0.0
10,121_NUCLEAR_1,thermal,67.52,40.0,570946.44484,11418928.8968,,72890420.847025,0.0
