index,oat_site,anchor,num_days,start_date,rho_h2,true_curtailment_mwh,load_shed_mwh,total_cost_raw_usd,reserve_shortfall_mwh,thermal_starts,synthetic_bid_cost_usd,total_cost_less_synthetic_usd,pem_withheld_mwh_total,h2_kg_total,delta_curtailment_mwh,delta_load_shed_mwh,delta_cost_less_synthetic_usd_APPROX,delta_reserve_shortfall_mwh,delta_thermal_starts
1,,False,366,01-01-2020,2.0,1649325.570123,42299.547808,524241712.349558,200357.328205,5071,303114.41475999996,523938597.934798,125498.499631,2509969.99262,-39250.20729899965,799.4324699999997,1457824.1257150173,-3324.0266640000045,-112
2,,False,366,01-01-2020,2.0,1612871.5980820002,43140.826763,525602119.118011,201264.162071,5018,622782.99384,524979336.124171,235119.67903400003,4702393.580680001,-75704.17933999957,1640.711424999994,2498562.3150880337,-2417.1927980000037,-165
3,,False,366,01-01-2020,2.0,1585456.723745,40882.011156,526729388.300281,194559.697977,4948,841788.1762799999,525887600.12400097,328022.065593,6560441.31186,-103119.05367699964,-618.1041820000028,3406826.3149179816,-9121.656891999999,-235
4,,False,366,01-01-2020,2.0,1554025.029659,40054.0144,527295584.768402,190775.21331,5016,989766.8398399999,526305817.928562,410293.99898400006,8205879.979680002,-134550.74776299973,-1446.1009380000032,3825044.1194790006,-12906.14155900001,-167
5,,False,366,01-01-2020,2.0,1534921.104367,40111.45184,528120200.820954,191246.72072,4921,1109849.56908,527010351.251874,483010.973273,9660219.465459999,-153654.67305499967,-1388.6634980000017,4529577.442791045,-12434.63414899999,-262
6,,False,366,01-01-2020,2.0,1524948.012658,40710.398283,528750290.538051,185397.284113,4888,1178143.6178000001,527572146.920251,544773.8144949999,10895476.2899,-163627.76476399973,-789.717055000001,5091373.111168027,-18284.070756,-295
7,,False,366,01-01-2020,2.0,1518024.326244,39822.615556,529182824.412579,176371.732075,4865,1227274.2219599998,527955550.190619,587020.268201,11740405.364020001,-170551.4511779996,-1677.4997820000062,5474776.381536007,-27309.622793999995,-318
8,,False,366,01-01-2020,2.0,1494057.801382,39694.336245,529533004.0682,178456.117294,4827,1245791.6237599999,528287212.44444,612601.049726,12252020.994520001,-194517.97603999963,-1805.7790930000047,5806438.635357022,-25225.237575000006,-356
9,,False,366,01-01-2020,2.0,1483765.229057,39503.795576,529768003.381135,179553.74563,4934,1382079.5302,528385923.850935,624227.0867450001,12484541.734900001,-204810.5483649997,-1996.3197620000064,5905150.041851997,-24127.609239000012,-249
10,,False,366,01-01-2020,2.0,1589300.773338,43101.643602,526179449.135489,194677.394787,5085,507092.20504000003,525672356.930449,280581.708114,5611634.16228,-99275.00408399967,1601.5282639999932,3191583.121366024,-9003.960082000005,-98
11,,False,366,01-01-2020,2.0,1563867.947998,39989.336379,527318103.197531,192890.65665,5024,859526.84004,526458576.35749096,389383.736119,7787674.72238,-124707.82942399965,-1510.778959000003,3977802.548407972,-10790.698219000013,-159
12,,False,366,01-01-2020,2.0,1529752.9077629999,39793.234234,528408849.530625,190376.308935,5057,1059753.53908,527349095.99154496,482755.5847630001,9655111.695260001,-158822.86965899984,-1706.881104,4868322.182461977,-13305.045933999994,-126
13,,False,366,01-01-2020,2.0,1511996.2161380001,39670.991008,529620387.201561,192879.085322,4972,1188888.47132,528431498.730241,565498.611437,11309972.22874,-176579.5612839996,-1829.124330000006,5950724.921158016,-10802.269547000004,-211
14,,False,366,01-01-2020,2.0,1488770.1086340002,38794.193314,530090925.154968,183727.379916,4935,1320381.85228,528770543.302688,637930.3194329999,12758606.388659999,-199805.66878799954,-2705.922024000007,6289769.493605018,-19953.974952999997,-248
15,,False,366,01-01-2020,2.0,1481676.1779439999,39639.51875,530918994.378472,182943.842057,4858,1449611.69332,529469382.685152,698169.765847,13963395.316939998,-206899.59947799984,-1860.5965880000003,6988608.876069009,-20737.512812,-325
16,,False,366,01-01-2020,2.0,1461422.2804049999,38745.747058,531304870.804032,176176.740192,4816,1486581.61828,529818289.18575203,740720.236533,14814404.73066,-227153.49701699987,-2754.3682800000024,7337515.376669049,-27504.614677000005,-367
17,,False,366,01-01-2020,2.0,1457830.703493,37924.690863,531652438.729658,185548.42324,4858,1519905.5668,530132533.162858,765930.8543900001,15318617.087800002,-230745.07392899971,-3575.424475,7651759.353775024,-18132.931629,-325
18,,False,366,01-01-2020,2.0,1453112.0292949998,38679.971137,531309096.892413,183294.441693,4753,1604277.51884,529704819.373573,778854.7902689999,15577095.805379998,-235463.74812699994,-2820.144201000003,7224045.56449002,-20386.913176000002,-430
19,,False,366,01-01-2020,2.0,1546034.905179,41637.151928,527904851.438726,194434.993559,5071,712054.4512,527192796.987526,426017.05997000006,8520341.1994,-142540.87224299973,137.03658999999607,4712023.178443015,-9246.361310000008,-112
20,,False,366,01-01-2020,2.0,1509941.542061,40319.910883,529185610.533692,189299.666655,5024,1044850.1531199999,528140760.380572,535310.061302,10706201.226039998,-178634.23536099982,-1180.2044550000064,5659986.571489036,-14381.688213999994,-159
21,,False,366,01-01-2020,2.0,1486768.50809,39735.893384,530504624.261848,191742.236599,5010,1223132.3438,529281491.91804796,629230.522655,12584610.4531,-201807.26933199982,-1764.2219540000006,6800718.10896498,-11939.118270000006,-173
22,,False,366,01-01-2020,2.0,1468933.89561,39331.358817,530804088.028363,180913.627382,4825,1271065.87876,529533022.149603,714003.5842609999,14280071.68522,-219641.88181199972,-2168.756521000003,7052248.340520024,-22767.727486999996,-358
23,,False,366,01-01-2020,2.0,1449530.797137,40006.546548,532167710.549198,180048.58399,4907,1468523.5284799999,530699187.020718,784786.1855380002,15695723.710760005,-239044.98028499982,-1493.5687900000048,8218413.211634994,-23632.77087899999,-276
24,,False,366,01-01-2020,2.0,1434506.8230070001,38905.393445,532473742.297512,175542.878686,4804,1558994.22284,530914748.074672,845994.610619,16919892.21238,-254068.95441499958,-2594.7218930000017,8433974.265588999,-28138.47618299999,-379
25,,False,366,01-01-2020,2.0,1414622.505164,38378.297177,532919653.880342,172502.523794,4812,1648297.1576399999,531271356.722702,887236.756059,17744735.12118,-273953.27225799975,-3121.818161000003,8790582.913619041,-31178.831074999995,-371
26,,False,366,01-01-2020,2.0,1410450.466004,39130.726489,533667689.723083,176399.373734,4764,1657112.43976,532010577.283323,913060.090576,18261201.811520003,-278125.3114179997,-2369.3888490000027,9529803.474240005,-27281.98113500001,-419
27,,False,366,01-01-2020,2.0,1401536.2061019999,37799.374176,533620384.699935,173296.851171,4760,1646857.9482399998,531973526.75169504,928349.687544,18566993.75088,-287039.5713199999,-3700.7411620000057,9492752.942612052,-30384.503698000015,-423
28,,False,366,01-01-2020,2.0,1493778.488346,40339.270981,529857253.422049,192877.571217,5032,795275.1844799999,529061978.237569,562436.375988,11248727.51976,-194797.28907599975,-1160.8443570000018,6581204.42848599,-10803.783652000013,-151
29,,False,366,01-01-2020,2.0,1463178.174293,39980.800997,531530421.413136,186964.960261,4952,1182563.1704000002,530347858.242736,670367.07022,13407341.4044,-225397.6031289997,-1519.3143410000048,7867084.433652997,-16716.394608000002,-231
30,,False,366,01-01-2020,2.0,1462400.637929,40111.459418,531759631.844122,180732.408389,4932,1291494.6420799997,530468137.202042,766021.299548,15320425.99096,-226175.13949299976,-1388.6559200000047,7987363.392958999,-22948.946480000013,-251
31,,False,366,01-01-2020,2.0,1424685.167537,40090.131274,532867754.325368,176620.367412,4795,1413549.3329999999,531454204.992368,848941.332255,16978826.6451,-263890.6098849997,-1409.9840640000039,8973431.183284998,-27060.98745700001,-388
32,,False,366,01-01-2020,2.0,1402542.1653840002,40578.449962,533854989.364737,174157.729639,4864,1580765.5548399999,532274223.80989695,920479.9692289999,18409599.384579998,-286033.61203799956,-921.6653760000045,9793450.000813961,-29523.625230000005,-319
33,,False,366,01-01-2020,2.0,1397188.8975550001,40060.176254,534465399.103499,178901.635283,4764,1715646.28164,532749752.821859,980578.1434989998,19611562.869979996,-291386.8798669996,-1439.939084000005,10268979.012776017,-24779.719585999992,-419
34,,False,366,01-01-2020,2.0,1381752.1396980002,38885.020603,534985946.722372,174442.823627,4672,1712798.12624,533273148.596132,1024124.066194,20482481.32388,-306823.63772399956,-2615.094735000006,10792374.787048995,-29238.531241999997,-511
35,,False,366,01-01-2020,2.0,1370020.727687,38870.106469,535353077.851885,172770.057063,4632,1791148.76396,533561929.087925,1048209.016821,20964180.33642,-318555.04973499966,-2630.008869000005,11081155.278842032,-30911.297806000017,-551
36,,False,366,01-01-2020,2.0,1365752.5409370002,40093.406797,535126420.628262,168699.050416,4704,1811362.7028799998,533315057.92538196,1062736.903028,21254738.06056,-322823.23648499954,-1406.708541,10834284.116298974,-34982.30445299999,-479
37,,False,366,01-01-2020,2.0,1463375.554775,42104.00799,531308820.321494,184746.236507,4892,948195.2402800001,530360625.081214,684456.7489930001,13689134.979860002,-225200.22264699964,603.892651999995,7879851.272131026,-18935.11836200001,-291
38,,False,366,01-01-2020,2.0,1427064.96611,43159.513336,532306320.084424,185094.851229,5058,1226949.4214,531079370.663024,795100.788345,15902015.7669,-261510.8113119998,1659.3979980000004,8598596.853941023,-18586.50364000001,-125
39,,False,366,01-01-2020,2.0,1407322.869454,40381.971913,533982450.546619,177613.477338,4816,1441381.3276399998,532541069.218979,888117.506809,17762350.136180002,-281252.9079679998,-1118.143425000002,10060295.409896016,-26067.877531000006,-367
40,,False,366,01-01-2020,2.0,1378467.107744,39221.559631,534890301.677106,178037.222806,4735,1623978.5100399998,533266323.16706604,969523.977229,19390479.544579998,-310108.6696779998,-2278.555707000007,10785549.357983053,-25644.132062999997,-448
41,,False,366,01-01-2020,2.0,1373202.4353009998,39221.811743,535589301.986591,177635.579006,4680,1705854.6481599999,533883447.338431,1043196.116296,20863922.32592,-315373.34212099994,-2278.303595000005,11402673.529348016,-26045.775862999988,-503
42,,False,366,01-01-2020,2.0,1350335.796132,37219.804748,536131101.029707,170856.204576,4677,1699789.674,534431311.355707,1106817.93309,22136358.661799997,-338239.9812899998,-4280.310590000001,11950537.546624005,-32825.15029300001,-506
43,,False,366,01-01-2020,2.0,1342720.979603,37481.095931,536508243.408221,174086.584195,4630,1736792.4156000002,534771450.992621,1149367.58336,22987351.6672,-345854.79781899974,-4019.019407,12290677.18353802,-29594.770674,-553
44,,False,366,01-01-2020,2.0,1333836.40416,37832.539639,536592796.101552,168769.883533,4627,1915825.9800800001,534676970.121472,1170935.460818,23418709.21636,-354739.3732619998,-3667.575699000001,12196196.312389016,-34911.47133600002,-556
45,,False,366,01-01-2020,2.0,1335043.469875,41350.52032,536499218.208386,171481.182424,4579,1911546.1222,534587672.086186,1186075.691945,23721513.8389,-353532.3075469998,-149.59501799999998,12106898.277103007,-32200.172445000004,-604
46,,False,366,01-01-2020,2.0,1423917.508716,41062.06958,532938820.989502,191959.632872,4964,1049649.2502000001,531889171.73930204,786710.310005,15734206.2001,-264658.2687059997,-438.0457580000002,9408397.930219054,-11721.721997000015,-219
47,,False,366,01-01-2020,2.0,1411108.729426,41574.84759,533789838.189299,183960.620177,4825,1290703.0648800002,532499135.124419,898296.858518,17965937.17036,-277467.0479959997,74.73225199999433,10018361.315335989,-19720.734691999998,-358
48,,False,366,01-01-2020,2.0,1369887.348739,41345.576032,535215977.347047,175106.374284,4790,1504747.29052,533711230.05652696,991323.2689970001,19826465.379940003,-318688.4286829997,-154.53930600000604,11230456.247443974,-28574.980585000012,-393
49,,False,366,01-01-2020,2.0,1359815.276539,39086.84361,535789654.503949,174426.941697,4708,1571004.44812,534218650.055829,1075638.240037,21512764.80074,-328760.50088299974,-2413.2717279999997,11737876.246746004,-29254.413172,-475
50,,False,366,01-01-2020,2.0,1334910.319708,39561.601024,536674070.806126,174680.886386,4698,1767933.82008,534906136.986046,1146434.048258,22928680.96516,-353665.4577139998,-1938.514314,12425363.176963031,-29000.468483000004,-485
51,,False,366,01-01-2020,2.0,1329431.8128860001,41804.984825,537262397.470136,173067.559148,4569,1815672.1041599999,535446725.36597604,1208710.783596,24174215.671919998,-359143.9645359996,304.8694869999963,12965951.55689305,-30613.795721000002,-614
52,,False,366,01-01-2020,2.0,1306801.3631000002,37373.307157,537728615.404783,168254.035925,4671,1862190.34264,535866425.062143,1251022.546444,25020450.92888,-381774.41432199953,-4126.808181,13385651.253060043,-35427.318944,-512
53,,False,366,01-01-2020,2.0,1298952.091083,39440.675515,538242225.509261,165455.811584,4517,1896796.98004,536345428.529221,1276201.0970789997,25524021.941579994,-389623.6863389998,-2059.4398230000006,13864654.720138013,-38225.54328499999,-666
54,,False,366,01-01-2020,2.0,1302161.28044,38335.408949,537837193.702121,166659.471132,4625,1933179.6120799999,535904014.09004104,1290324.7659580002,25806495.319160003,-386414.49698199984,-3164.7063890000063,13423240.280958056,-37021.883737,-558
55,,False,366,01-01-2020,2.0,1410342.808268,39474.58982,533209042.492165,185973.889846,4914,1043997.4860800001,532165045.00608504,845583.846598,16911676.93196,-278232.9691539998,-2025.5255180000022,9684271.197002053,-17707.465022999997,-269
56,,False,366,01-01-2020,2.0,1374437.495963,40361.533187,534875999.764625,181861.9274,4926,1284557.62848,533591442.136145,957182.7369179999,19143654.73836,-314138.2814589997,-1138.5821510000023,11110668.32706201,-21819.427469000017,-257
57,,False,366,01-01-2020,2.0,1373296.491903,38098.50255,535212733.339089,170285.398114,4666,1506718.80968,533706014.529409,1050006.223508,21000124.47016,-315279.2855189997,-3401.612788000006,11225240.720326006,-33395.95675499999,-517
58,,False,366,01-01-2020,2.0,1346113.376822,40058.06683,536557849.495435,172444.50013,4734,1703647.9097599997,534854201.585675,1131054.395986,22621087.91972,-342462.4005999998,-1442.0485079999999,12373427.776592016,-31236.854739000002,-449
59,,False,366,01-01-2020,2.0,1310264.37385,40808.345366,537693537.030523,171947.034812,4690,1742128.9347200003,535951408.09580296,1205811.412882,24116228.25764,-378311.40357199963,-691.7699720000019,13470634.286719978,-31734.320057000004,-493
60,,False,366,01-01-2020,2.0,1304659.2381530001,38812.497331,538506481.916299,169296.501353,4626,1819268.40176,536687213.514539,1267353.118646,25347062.37292,-383916.5392689996,-2687.6180070000046,14206439.705456018,-34384.853516,-557
61,,False,366,01-01-2020,2.0,1294984.3529150002,38184.238539,538831441.636764,174784.235697,4593,1912275.91184,536919165.7249241,1308502.649704,26170052.99408,-393591.42450699955,-3315.876799000005,14438391.915841103,-28897.119172000006,-590
62,,False,366,01-01-2020,2.0,1287300.448288,36122.433068,538925554.555434,168415.987031,4528,1952839.9398,536972714.615634,1333532.265575,26670645.3115,-401275.32913399977,-5377.682270000005,14491940.80655098,-35265.367838000006,-655
63,,False,366,01-01-2020,2.0,1281519.633122,37969.426258,538575966.291724,172225.445812,4492,2072883.3439199997,536503082.947804,1345564.415152,26911288.30304,-407056.1442999998,-3530.6890800000037,14022309.13872099,-31455.90905700001,-691
64,,False,366,01-01-2020,2.0,1412586.0524940002,40157.69121,533035078.82455,183759.239415,4835,1093832.3884800002,531941246.43606997,854926.137568,17098522.75136,-275989.72492799954,-1342.424128000006,9460472.62698698,-19922.115454000013,-348
65,,False,366,01-01-2020,2.0,1375932.987925,40394.892807,535085443.967785,182742.620153,4776,1370369.5671600003,533715074.400625,965625.6019809999,19312512.039619997,-312642.7894969997,-1105.2225310000067,11234300.591542006,-20938.734716000006,-407
66,,False,366,01-01-2020,2.0,1353682.647915,40908.040307,535732655.247637,184781.212596,4833,1508593.99864,534224061.248997,1060547.507314,21210950.14628,-334893.1295069996,-592.0750310000003,11743287.439913988,-18900.142273000005,-350
67,,False,366,01-01-2020,2.0,1327296.999913,40216.292367,536824026.607337,173378.015164,4695,1633132.78604,535190893.821297,1143405.4376090001,22868108.752180003,-361278.7775089997,-1283.8229710000014,12710120.012214005,-30303.33970499999,-488
68,,False,366,01-01-2020,2.0,1315232.871347,40678.190512,537694069.610213,174465.52808,4616,1769585.8916800001,535924483.71853304,1215713.152488,24314263.04976,-373342.90607499983,-821.9248260000022,13443709.909450054,-29215.826789000013,-567
69,,False,366,01-01-2020,2.0,1303858.9191410001,39104.721961,538420721.849907,165110.411956,4596,1824167.94012,536596553.90978706,1277818.793717,25556375.874339998,-384716.8582809996,-2395.3933770000003,14115780.100704074,-38570.942913000006,-587
70,,False,366,01-01-2020,2.0,1284440.205511,40174.224462,538851694.389709,171183.236834,4619,1902195.37692,536949499.012789,1319342.8266069998,26386856.532139998,-404135.5719109997,-1325.890876000005,14468725.203706026,-32498.118034999992,-564
71,,False,366,01-01-2020,2.0,1276373.29796,40169.539983,539072029.550389,169381.911321,4584,1940926.779,537131102.771389,1344418.258125,26888365.162499998,-412202.4794619996,-1330.5753550000009,14650328.962306023,-34299.44354800001,-599
72,,False,366,01-01-2020,2.0,1274450.0268780002,38069.307677,538938433.044186,164950.636903,4562,1981702.3217599997,536956730.7224259,1358432.104236,27168642.08472,-414125.7505439995,-3430.807661000006,14475956.913342953,-38730.717966,-621
