index,site,kind,pem_capacity_mw,pem_bid,h2_mwh,h2_kg,pem_grid_sales_mwh,site_market_revenue_usd,uplift_usd
1,309_WIND_1,renewable,7.415000000000001,40.0,38564.549855,771290.9970999999,4201.575145,2326838.090237,0.0
1,310_PV_2,renewable,2.58,40.0,10073.54,201470.80000000002,391.02000000000004,1106827.0811,0.0
1,319_PV_1,renewable,9.41,40.0,36903.922856,738078.4571199999,1498.507144,4165473.264416,0.0
1,320_PV_1,renewable,2.58,40.0,10122.154628,202443.09256000002,383.345372,1072573.288319,0.0
1,324_PV_1,renewable,2.4850000000000003,40.0,9745.685946,194913.71891999998,347.519054,1134835.429855,0.0
1,324_PV_2,renewable,2.58,40.0,10087.596346,201751.92692,368.743654,1105689.781985,0.0
1,324_PV_3,renewable,2.5500000000000003,40.0,10001.05,200021.0,387.15,1139948.8286970002,0.0
2,309_WIND_1,renewable,25.033040000000003,40.0,101329.475573,2026589.5114600002,10634.601387,2579391.958791,0.0
2,310_PV_2,renewable,8.710080000000001,40.0,33426.403045,668528.0608999999,1220.822715,978959.008531,0.0
2,319_PV_1,renewable,9.41,40.0,36921.918554,738438.3710800001,1480.511446,4217374.5326580005,0.0
2,320_PV_1,renewable,8.710080000000001,40.0,33579.971303,671599.42606,1157.8048569999999,939164.52376,0.0
2,324_PV_1,renewable,2.4850000000000003,40.0,9754.9,195098.0,338.305,1177743.463196,0.0
2,324_PV_2,renewable,2.58,40.0,10090.181443,201803.62886,366.15855700000003,1154590.546091,0.0
2,324_PV_3,renewable,2.5500000000000003,40.0,10016.829115999999,200336.58232,371.370884,1185004.7157120002,0.0
3,309_WIND_1,renewable,42.63625,40.0,150617.196596,3012343.93192,14675.183404,3166429.70546,0.0
3,310_PV_2,renewable,14.834999999999999,40.0,55255.597701000006,1105111.95402,1919.242299,823446.492656,0.0
3,319_PV_1,renewable,9.41,40.0,36905.339058,738106.78116,1497.090942,4267509.167457,0.0
3,320_PV_1,renewable,14.834999999999999,40.0,55411.892935,1108237.8587,1847.4820650000001,814206.399006,0.0
3,324_PV_1,renewable,2.4850000000000003,40.0,9740.39,194807.8,352.815,1216560.362444,0.0
3,324_PV_2,renewable,2.58,40.0,10084.949614000001,201698.99228,371.39038600000003,1188914.347359,0.0
3,324_PV_3,renewable,2.5500000000000003,40.0,10006.699689,200133.99378,381.50031099999995,1234301.297348,0.0
4,309_WIND_1,renewable,60.23946000000001,40.0,192025.944813,3840518.8962600003,17961.946727,3306968.0101110004,0.0
4,310_PV_2,renewable,20.95992,40.0,75544.183926,1510883.67852,2250.517594,682047.027352,0.0
4,319_PV_1,renewable,9.41,40.0,36993.653727,739873.07454,1408.776273,4329419.724373,0.0
4,320_PV_1,renewable,20.95992,40.0,75785.526518,1515710.53036,2129.875402,674593.235825,0.0
4,324_PV_1,renewable,2.4850000000000003,40.0,9779.65,195593.0,313.555,1271022.868502,0.0
4,324_PV_2,renewable,2.58,40.0,10123.14,202462.8,333.2,1231470.444164,0.0
4,324_PV_3,renewable,2.5500000000000003,40.0,10041.9,200838.0,346.29999999999995,1278560.64844,0.0
5,309_WIND_1,renewable,77.85750000000002,40.0,228464.142051,4569282.84102,20089.025449,3440243.29822,0.0
5,310_PV_2,renewable,27.090000000000003,40.0,93702.428675,1874048.5735,2650.511325,557696.406801,0.0
5,319_PV_1,renewable,9.41,40.0,36993.708873,739874.17746,1408.721127,4299657.400155,0.0
5,320_PV_1,renewable,27.090000000000003,40.0,93906.883674,1878137.6734799999,2604.046326,551112.636565,0.0
5,324_PV_1,renewable,2.4850000000000003,40.0,9779.25,195585.0,313.955,1235501.052313,0.0
5,324_PV_2,renewable,2.58,40.0,10120.460000000001,202409.2,335.88,1210620.650761,0.0
5,324_PV_3,renewable,2.5500000000000003,40.0,10044.099999999999,200881.99999999997,344.09999999999997,1253401.128285,0.0
6,309_WIND_1,renewable,95.47554000000001,40.0,260537.81509999998,5210756.301999999,21444.81732,3528422.725411,0.0
6,310_PV_2,renewable,33.22008,40.0,108490.102839,2169802.05678,2947.620201,407824.341147,0.0
6,319_PV_1,renewable,9.41,40.0,37081.961471,741639.22942,1320.468529,4321056.477893,0.0
6,320_PV_1,renewable,33.22008,40.0,108668.296707,2173365.93414,2798.577773,389391.65328,0.0
6,324_PV_1,renewable,2.4850000000000003,40.0,9791.09,195821.8,302.115,1240511.82049,0.0
6,324_PV_2,renewable,2.58,40.0,10141.300000000001,202826.00000000003,315.04,1217703.6582870001,0.0
6,324_PV_3,renewable,2.5500000000000003,40.0,10063.248377999998,201264.96755999996,324.951622,1253619.38771,0.0
7,309_WIND_1,renewable,113.07875,40.0,288268.528855,5765370.577099999,22916.879895,3162837.378192,0.0
7,310_PV_2,renewable,39.345,40.0,116045.915363,2320918.3072599997,2790.139637,313171.217298,0.0
7,319_PV_1,renewable,9.41,40.0,37116.951825000004,742339.0365,1285.478175,4394631.8546130005,0.0
7,320_PV_1,renewable,39.345,40.0,115530.282158,2310605.64316,2810.202842,291797.53176499996,0.0
7,324_PV_1,renewable,2.4850000000000003,40.0,9806.8,196136.0,286.405,1261643.992717,0.0
7,324_PV_2,renewable,2.58,40.0,10164.54,203290.80000000002,291.8,1241056.853182,0.0
7,324_PV_3,renewable,2.5500000000000003,40.0,10087.25,201745.0,300.95,1274610.6022700001,0.0
8,309_WIND_1,renewable,130.68196,40.0,311943.773699,6238875.47398,23373.404581,2982460.609675,0.0
8,310_PV_2,renewable,45.46992,40.0,117143.076636,2342861.53272,2739.042084,316278.332007,0.0
8,319_PV_1,renewable,9.41,40.0,37137.291548,742745.83096,1265.138452,4511900.172685999,0.0
8,320_PV_1,renewable,45.46992,40.0,116331.633567,2326632.67134,2874.734753,311189.98613900004,0.0
8,324_PV_1,renewable,2.4850000000000003,40.0,9806.0,196120.0,287.205,1261871.478808,0.0
8,324_PV_2,renewable,2.58,40.0,10161.674276,203233.48552,294.665724,1233229.17449,0.0
8,324_PV_3,renewable,2.5500000000000003,40.0,10077.599999999999,201551.99999999997,310.59999999999997,1272637.995426,0.0
9,309_WIND_1,renewable,148.3,40.0,324714.020823,6494280.41646,25588.879177,3055484.82716,0.0
9,310_PV_2,renewable,51.6,40.0,116560.365896,2331207.3179200003,3335.134104,365779.177189,0.0
9,319_PV_1,renewable,9.41,40.0,36997.884287,739957.68574,1404.545713,4583012.57336,0.0
9,320_PV_1,renewable,51.6,40.0,115992.370739,2319847.41478,3248.129261,365545.411027,0.0
9,324_PV_1,renewable,2.4850000000000003,40.0,9778.865,195577.3,314.34,1351429.974831,0.0
9,324_PV_2,renewable,2.58,40.0,10131.78,202635.6,324.56,1325973.845769,0.0
9,324_PV_3,renewable,2.5500000000000003,40.0,10051.8,201036.0,336.4,1355751.971467,0.0
10,309_WIND_1,renewable,7.415000000000001,40.0,38557.900053,771158.0010599999,4208.224947,2531096.26761,0.0
10,310_PV_2,renewable,2.58,40.0,10096.289661,201925.79322000002,368.27033900000004,1188747.336142,0.0
10,319_PV_1,renewable,31.768159999999998,40.0,122449.71963200001,2448994.39264,4550.464528,3701102.720517,0.0
10,320_PV_1,renewable,2.58,40.0,10157.86,203157.2,347.64,1201253.188027,0.0
10,324_PV_1,renewable,8.38936,40.0,32468.984095,649379.6819,1044.564625,1039981.7020729999,0.0
10,324_PV_2,renewable,8.710080000000001,40.0,33549.629574,670992.59148,1088.447386,1014856.5248700001,0.0
10,324_PV_3,renewable,8.6088,40.0,33301.325099,666026.5019800001,1069.693301,1051766.566393,0.0
11,309_WIND_1,renewable,25.033040000000003,40.0,101171.901681,2023438.0336200001,10792.175279,2925275.702626,0.0
11,310_PV_2,renewable,8.710080000000001,40.0,33369.025661,667380.51322,1278.200099,1008935.4238740001,0.0
11,319_PV_1,renewable,31.768159999999998,40.0,122169.630082,2443392.60164,4830.554078,3812148.816203,0.0
11,320_PV_1,renewable,8.710080000000001,40.0,33589.408531,671788.17062,1148.3676289999999,1035243.310114,0.0
11,324_PV_1,renewable,8.38936,40.0,32411.056084,648221.12168,1102.492636,1068343.609778,0.0
11,324_PV_2,renewable,8.710080000000001,40.0,33469.30768,669386.1536,1168.76928,1067946.569313,0.0
11,324_PV_3,renewable,8.6088,40.0,33203.4064,664068.128,1167.612,1091929.236847,0.0
12,309_WIND_1,renewable,42.63625,40.0,150526.992345,3010539.8469000002,14765.387654999999,3160102.519972,0.0
12,310_PV_2,renewable,14.834999999999999,40.0,55218.046001,1104360.92002,1956.793999,886846.028147,0.0
12,319_PV_1,renewable,31.768159999999998,40.0,122281.34494800001,2445626.8989600004,4718.839212,3916382.4103409997,0.0
12,320_PV_1,renewable,14.834999999999999,40.0,55536.773803000004,1110735.47606,1722.6011970000002,849453.7938809999,0.0
12,324_PV_1,renewable,8.38936,40.0,32417.181701,648343.63402,1096.367019,1146050.675832,0.0
12,324_PV_2,renewable,8.710080000000001,40.0,33519.971907,670399.43814,1118.105053,1106436.714669,0.0
12,324_PV_3,renewable,8.6088,40.0,33255.274058,665105.4811600001,1115.744342,1134482.081668,0.0
13,309_WIND_1,renewable,60.23946000000001,40.0,192435.484661,3848709.69322,17552.406879000002,3244622.845225,0.0
13,310_PV_2,renewable,20.95992,40.0,75505.173949,1510103.4789800001,2289.527571,674977.987268,0.0
13,319_PV_1,renewable,31.768159999999998,40.0,122379.65423900001,2447593.08478,4620.529921,3794902.158512,0.0
13,320_PV_1,renewable,20.95992,40.0,75784.799225,1515695.9844999998,2130.602695,673681.5383039999,0.0
13,324_PV_1,renewable,8.38936,40.0,32491.99784,649839.9568,1021.55088,1091604.983078,0.0
13,324_PV_2,renewable,8.710080000000001,40.0,33575.249279999996,671504.9855999999,1062.8276799999999,1060337.864155,0.0
13,324_PV_3,renewable,8.6088,40.0,33326.252243,666525.04486,1044.766157,1098144.85607,0.0
14,309_WIND_1,renewable,77.85750000000002,40.0,228575.182191,4571503.64382,19977.985309,3560301.486177,0.0
14,310_PV_2,renewable,27.090000000000003,40.0,93538.945036,1870778.90072,2813.994964,571242.3676829999,0.0
14,319_PV_1,renewable,31.768159999999998,40.0,122391.490346,2447829.8069200004,4608.693814,3914412.230117,0.0
14,320_PV_1,renewable,27.090000000000003,40.0,94085.676326,1881713.52652,2425.253674,550121.017795,0.0
14,324_PV_1,renewable,8.38936,40.0,32470.827925,649416.5585,1042.720795,1142730.036239,0.0
14,324_PV_2,renewable,8.710080000000001,40.0,33525.578946,670511.57892,1112.498014,1121728.570112,0.0
14,324_PV_3,renewable,8.6088,40.0,33342.618663,666852.37326,1028.399737,1145696.682054,0.0
15,309_WIND_1,renewable,95.47554000000001,40.0,260081.128867,5201622.577339999,21901.503553,3345061.5318259997,0.0
15,310_PV_2,renewable,33.22008,40.0,108086.556958,2161731.13916,3351.166082,439237.068746,0.0
15,319_PV_1,renewable,31.768159999999998,40.0,122246.996409,2444939.92818,4753.187751,3985081.8573040003,0.0
15,320_PV_1,renewable,33.22008,40.0,108574.026562,2171480.53124,2892.847918,418055.913812,0.0
15,324_PV_1,renewable,8.38936,40.0,32397.786786,647955.73572,1115.7619339999999,1164493.567807,0.0
15,324_PV_2,renewable,8.710080000000001,40.0,33512.407746,670248.1549199999,1125.669214,1132418.412457,0.0
15,324_PV_3,renewable,8.6088,40.0,33270.862519,665417.2503800001,1100.1558810000001,1181580.848514,0.0
16,309_WIND_1,renewable,113.07875,40.0,287842.518004,5756850.36008,23342.890746,3168389.7321490003,0.0
16,310_PV_2,renewable,39.345,40.0,115773.000143,2315460.00286,3063.054857,340533.305928,0.0
16,319_PV_1,renewable,31.768159999999998,40.0,122260.184831,2445203.69662,4739.999329,3938067.190404,0.0
16,320_PV_1,renewable,39.345,40.0,115343.98723299999,2306879.74466,2996.497767,335970.154461,0.0
16,324_PV_1,renewable,8.38936,40.0,32546.789967,650935.79934,966.758753,1158117.81993,0.0
16,324_PV_2,renewable,8.710080000000001,40.0,33614.72864,672294.5728,1023.34832,1126506.713497,0.0
16,324_PV_3,renewable,8.6088,40.0,33339.027715000004,666780.5543000001,1031.990685,1158748.167619,0.0
17,309_WIND_1,renewable,130.68196,40.0,310698.043963,6213960.87926,24619.134317,3081960.191758,0.0
17,310_PV_2,renewable,45.46992,40.0,117063.890992,2341277.81984,2818.227728,309340.632078,0.0
17,319_PV_1,renewable,31.768159999999998,40.0,122511.18338,2450223.6676000003,4489.00078,3988980.5001259996,0.0
17,320_PV_1,renewable,45.46992,40.0,116072.200126,2321444.00252,3134.168194,328322.862046,0.0
17,324_PV_1,renewable,8.38936,40.0,32551.32336,651026.4672,962.22536,1154120.342033,0.0
17,324_PV_2,renewable,8.710080000000001,40.0,33635.668959999995,672713.3791999999,1002.4079999999999,1119935.300495,0.0
17,324_PV_3,renewable,8.6088,40.0,33398.543609,667970.87218,972.4747910000001,1147961.072711,0.0
18,309_WIND_1,renewable,148.3,40.0,324165.758988,6483315.17976,26137.141012,2980341.111068,0.0
18,310_PV_2,renewable,51.6,40.0,116941.290367,2338825.80734,2954.209633,333316.624949,0.0
18,319_PV_1,renewable,31.768159999999998,40.0,122266.62424100001,2445332.4848200004,4733.559919,3823980.582904,0.0
18,320_PV_1,renewable,51.6,40.0,116014.308654,2320286.17308,3226.191346,339377.402528,0.0
