index,site,kind,pem_capacity_mw,pem_bid,h2_mwh,h2_kg,pem_grid_sales_mwh,site_market_revenue_usd,uplift_usd
1,122_WIND_1,renewable,35.675000000000004,40.0,216836.44140699998,4336728.82814,22846.108592999997,-2472209.08755,0.0
1,319_PV_1,renewable,9.41,40.0,36960.047464,739200.9492800001,1442.382536,4316804.512737,0.0
1,324_PV_1,renewable,2.4850000000000003,40.0,9759.369999999999,195187.39999999997,333.835,1245556.275067,0.0
1,324_PV_2,renewable,2.58,40.0,10099.62,201992.40000000002,356.72,1222532.6798770002,0.0
1,324_PV_3,renewable,2.5500000000000003,40.0,10032.15,200643.0,356.04999999999995,1266934.401789,0.0
2,122_WIND_1,renewable,120.4388,40.0,589785.00138,11795700.027600002,61718.503020000004,2387474.923998,0.0
2,319_PV_1,renewable,9.41,40.0,37137.870607,742757.4121399999,1264.559393,4100916.486052,0.0
2,324_PV_1,renewable,2.4850000000000003,40.0,9805.199999999999,196103.99999999997,288.005,1149313.684713,0.0
2,324_PV_2,renewable,2.58,40.0,10147.58,202951.6,308.76,1144023.826531,0.0
2,324_PV_3,renewable,2.5500000000000003,40.0,10073.9,201478.0,314.29999999999995,1189271.627813,0.0
3,122_WIND_1,renewable,205.13125,40.0,895903.865368,17918077.30736,85613.697132,8554948.029591,0.0
3,319_PV_1,renewable,9.41,40.0,37207.943373,744158.8674600001,1194.486627,4155677.5790489996,0.0
3,324_PV_1,renewable,2.4850000000000003,40.0,9806.9,196138.0,286.305,1283006.1786540002,0.0
3,324_PV_2,renewable,2.58,40.0,10159.380000000001,203187.60000000003,296.96,1248172.002939,0.0
3,324_PV_3,renewable,2.5500000000000003,40.0,10087.001443,201740.02886,301.198557,1266158.241566,0.0
4,122_WIND_1,renewable,289.82370000000003,40.0,1158924.5940679999,23178491.881359998,104128.84643199999,9616138.773237001,0.0
4,319_PV_1,renewable,9.41,40.0,37515.078869,750301.5773799999,887.351131,4464295.365250001,0.0
4,324_PV_1,renewable,2.4850000000000003,40.0,9874.894999999999,197497.89999999997,218.31,1261297.839965,0.0
4,324_PV_2,renewable,2.58,40.0,10234.42,204688.4,221.92000000000002,1252724.000971,0.0
4,324_PV_3,renewable,2.5500000000000003,40.0,10156.699999999999,203133.99999999997,231.49999999999997,1262594.718233,0.0
5,122_WIND_1,renewable,374.58750000000003,40.0,1389786.803784,27795736.07568,113820.071216,11028772.101408,0.0
5,319_PV_1,renewable,9.41,40.0,37440.904796,748818.09592,961.525204,4391093.177557,0.0
5,324_PV_1,renewable,2.4850000000000003,40.0,9867.824999999999,197356.49999999997,225.38,1263024.1703310001,0.0
5,324_PV_2,renewable,2.58,40.0,10221.58,204431.6,234.76000000000002,1259161.561387,0.0
5,324_PV_3,renewable,2.5500000000000003,40.0,10142.099999999999,202841.99999999997,246.1,1283327.754709,0.0
6,122_WIND_1,renewable,459.35130000000004,40.0,1585592.091496,31711841.82992,122528.564004,11296811.080314001,0.0
6,319_PV_1,renewable,9.41,40.0,37499.344336,749986.8867200001,903.0856640000001,4511248.327122999,0.0
6,324_PV_1,renewable,2.4850000000000003,40.0,9881.65,197633.0,211.55499999999998,1282829.6734179999,0.0
6,324_PV_2,renewable,2.58,40.0,10237.0,204740.0,219.34,1258215.3674660001,0.0
6,324_PV_3,renewable,2.5500000000000003,40.0,10158.4,203168.0,229.79999999999998,1295837.682663,0.0
7,122_WIND_1,renewable,544.0437499999999,40.0,1754768.87226,35095377.4452,126867.72149,10564304.397459999,0.0
7,319_PV_1,renewable,9.41,40.0,37533.917553,750678.35106,868.5124470000001,4547550.197333,0.0
7,324_PV_1,renewable,2.4850000000000003,40.0,9901.33,198026.6,191.875,1293968.8808910002,0.0
7,324_PV_2,renewable,2.58,40.0,10253.36,205067.2,202.98000000000002,1265683.222535,0.0
7,324_PV_3,renewable,2.5500000000000003,40.0,10175.099999999999,203501.99999999997,213.1,1283633.576309,0.0
8,122_WIND_1,renewable,628.7361999999999,40.0,1896560.180251,37931203.60502,125017.113348,8791170.591576999,0.0
8,319_PV_1,renewable,9.41,40.0,37526.196292,750523.92584,876.233708,4635690.897268,0.0
8,324_PV_1,renewable,2.4850000000000003,40.0,9899.186964999999,197983.7393,194.018035,1286704.3848,0.0
8,324_PV_2,renewable,2.58,40.0,10246.52,204930.40000000002,209.82,1277065.843252,0.0
8,324_PV_3,renewable,2.5500000000000003,40.0,10166.05,203321.0,222.14999999999998,1313611.693602,0.0
9,122_WIND_1,renewable,713.5,40.0,1982213.329433,39644266.58866,119542.870567,7353120.556723,0.0
9,319_PV_1,renewable,9.41,40.0,37612.787197,752255.74394,789.642803,4617787.472299,0.0
9,324_PV_1,renewable,2.4850000000000003,40.0,9923.494999999999,198469.89999999997,169.70999999999998,1311083.214069,0.0
9,324_PV_2,renewable,2.58,40.0,10273.7,205474.0,182.64000000000001,1287263.430928,0.0
9,324_PV_3,renewable,2.5500000000000003,40.0,10197.949999999999,203958.99999999997,190.25,1320175.142487,0.0
10,122_WIND_1,renewable,35.675000000000004,40.0,216500.674962,4330013.49924,23181.875038,-2033869.1378239999,0.0
10,319_PV_1,renewable,31.768159999999998,40.0,122043.03700000001,2440860.74,4957.14716,3669859.413646,0.0
