index,oat_site,anchor,num_days,start_date,rho_h2,true_curtailment_mwh,load_shed_mwh,total_cost_raw_usd,reserve_shortfall_mwh,thermal_starts,synthetic_bid_cost_usd,total_cost_less_synthetic_usd,pem_withheld_mwh_total,h2_kg_total,delta_curtailment_mwh,delta_load_shed_mwh,delta_cost_less_synthetic_usd_APPROX,delta_reserve_shortfall_mwh,delta_thermal_starts
1,,False,366,01-01-2020,2.0,1560257.6349809999,41487.758854,525877482.707044,190748.35249,5036,905935.7988000001,524971546.908244,317979.23003,6359584.6006,-128318.14244099986,-12.356484000003547,2490773.099161029,-12933.002379000012,-147
2,,False,366,01-01-2020,2.0,1337316.568496,37382.809881,530322686.277924,170529.582645,4747,2128417.8874,528194268.390524,735664.821415,14713296.4283,-351259.2089259997,-4117.305457000002,5713494.581441045,-33151.772224000015,-436
3,,False,366,01-01-2020,2.0,1182679.02926,36610.58448,532842196.626666,165290.954333,4631,3062830.3408399997,529779366.285826,1055551.278979,21111025.579579998,-505896.74816199974,-4889.5308580000055,7298592.4767430425,-38390.400536,-552
4,,False,366,01-01-2020,2.0,1065043.727695,33817.865315,535012048.529271,145081.497473,4481,3404623.5294800005,531607424.999791,1321466.6073639998,26429332.147279996,-623532.0497269998,-7682.2500230000005,9126651.190708041,-58599.85739600001,-702
5,,False,366,01-01-2020,2.0,1000784.6988039999,29286.648532,536783011.796686,136833.311419,4274,3870525.11808,532912486.678606,1538745.697049,30774913.940980002,-687791.0786179998,-12213.466806000004,10431712.869522989,-66848.04345,-909
6,,False,366,01-01-2020,2.0,930788.3652550001,27585.457465,538887901.843668,136528.534783,4223,4278814.78196,534609087.061708,1718274.7016519997,34365494.033039995,-757787.4121669997,-13914.657873000004,12128313.252624989,-67152.82008599999,-960
7,,False,366,01-01-2020,2.0,890671.3289890001,26842.613592,540524202.360418,125299.64579,4128,4395785.78992,536128416.570498,1870292.792752,37405855.85504,-797904.4484329997,-14657.501746000002,13647642.761415005,-78381.70907900001,-1055
8,,False,366,01-01-2020,2.0,853553.139743,23647.916243,541866532.000017,118309.442866,3995,4583092.00076,537283439.9992571,1982647.031381,39652940.627620004,-835022.6376789997,-17852.199095000004,14802666.190174103,-85371.912003,-1188
9,,False,366,01-01-2020,2.0,841275.663003,23908.596773,542525995.588933,122986.893569,4071,4595140.028880001,537930855.560053,2044219.074279,40884381.48558,-847300.1144189998,-17591.518565000002,15450081.750970006,-80694.4613,-1112
10,,False,366,01-01-2020,2.0,1509487.819061,40273.774181,528074065.343702,190207.98227,5127,1146646.5068400002,526927418.836862,472144.11556899996,9442882.311379999,-179087.95836099982,-1226.3411570000026,4446645.027779043,-13473.372598999995,-56
11,,False,366,01-01-2020,2.0,1299146.9906620001,35610.887121,531953678.818634,172931.239402,4866,2383640.42292,529570038.395714,889466.9112670001,17789338.22534,-389428.7867599996,-5889.2282170000035,7089264.586631,-30750.115466999996,-317
12,,False,366,01-01-2020,2.0,1125991.235529,32179.102336,534941128.353379,160113.114298,4646,3137773.49648,531803354.856899,1213860.353328,24277207.06656,-562584.5418929998,-9321.013002000003,9322581.047816038,-43568.240571,-537
13,,False,366,01-01-2020,2.0,1041607.4676900001,32201.69581,536904298.72361,145938.444467,4499,3614257.48132,533290041.24229,1476408.4118070002,29528168.236140005,-646968.3097319996,-9298.419528000002,10809267.433207035,-57742.91040200001,-684
14,,False,366,01-01-2020,2.0,956279.377978,30866.556518,539025238.163539,134410.573564,4256,3938403.6328799995,535086834.5306591,1697231.387418,33944627.74836,-732296.3994439997,-10633.558820000002,12606060.721576095,-69270.78130500001,-927
15,,False,366,01-01-2020,2.0,892586.9846770001,25979.148527,541079065.34891,126355.030762,4172,4294897.85876,536784167.49015,1878055.277971,37561105.55942,-795988.7927449996,-15520.966811000002,14303393.68106699,-77326.32410700001,-1011
16,,False,366,01-01-2020,2.0,854259.2627890001,25410.219845,542454642.173631,121338.056308,4044,4502913.7423600005,537951728.431271,2027797.247181,40555944.94362,-834316.5146329997,-16089.895493000004,15470954.622187972,-82343.298561,-1139
17,,False,366,01-01-2020,2.0,806485.0235000001,22160.40853,544089851.33801,118397.975141,4014,4686005.7617999995,539403845.5762099,2140256.8405950004,42805136.811900005,-882090.7539219996,-19339.706808000003,16923071.767126918,-85283.379728,-1169
18,,False,366,01-01-2020,2.0,798034.7313290001,23590.724921,544457746.965819,118496.620924,3957,5044577.12696,539413169.838859,2193165.800066,43863316.00132,-890541.0460929996,-17909.390417000002,16932396.029775977,-85184.733945,-1226
19,,False,366,01-01-2020,2.0,1459114.0512450002,39131.2785,530134278.465536,186603.014162,5014,1329886.9237199998,528804391.541816,618122.513157,12362450.263139999,-229461.7261769995,-2368.836838000003,6323617.732733011,-17078.340706999996,-169
20,,False,366,01-01-2020,2.0,1247686.007022,37036.3267,534541465.564978,178474.088828,4805,2533542.6462,532007922.918778,1036278.763695,20725575.2739,-440889.7703999998,-4463.788638000005,9527149.109695017,-25207.266040999995,-378
21,,False,366,01-01-2020,2.0,1092842.145486,32620.619268,536604776.778179,158594.065572,4661,3343619.71228,533261157.065899,1359273.605944,27185472.11888,-595733.6319359997,-8879.496070000005,10780383.25681603,-45087.28929700001,-522
