index,nuclear_omega,nuclear_bid,wind_303_omega,wind_303_bid,wind_317_omega,wind_317_bid,wind_122_omega,wind_122_bid,pv_319_omega,pv_319_bid,pv_324_omega,pv_324_bid,tail_omega,tail_bid,oat_site,anchor,start_date,num_days,provisional
1,0.275,27.5,0.525,25.0,0.525,25.0,0.525,25.0,0.41000000000000003,25.0,0.41000000000000003,25.0,0.51,25.0,,False,01-01-2020,366,False
2,0.275,27.5,0.525,25.0,0.525,25.0,0.525,25.0,0.41000000000000003,25.0,0.41000000000000003,25.0,0.51,25.0,,False,01-01-2020,366,False
3,0.275,27.5,0.525,25.0,0.525,25.0,0.525,25.0,0.41000000000000003,25.0,0.41000000000000003,25.0,0.51,25.0,,False,01-01-2020,366,False
4,0.275,27.5,0.525,25.0,0.525,25.0,0.525,25.0,0.41000000000000003,25.0,0.41000000000000003,25.0,0.51,25.0,,False,01-01-2020,7,False
5,0.275,27.5,0.525,25.0,0.525,25.0,0.525,25.0,0.41000000000000003,25.0,0.41000000000000003,25.0,0.51,25.0,,False,01-01-2020,7,False
6,0.275,27.5,0.525,25.0,0.525,25.0,0.525,25.0,0.41000000000000003,25.0,0.41000000000000003,25.0,0.51,25.0,,False,01-01-2020,7,False
7,0.275,27.5,0.525,25.0,0.525,25.0,0.525,25.0,0.41000000000000003,25.0,0.41000000000000003,25.0,0.51,25.0,,False,01-01-2020,7,False
8,0.275,27.5,0.525,25.0,0.525,25.0,0.525,25.0,0.41000000000000003,25.0,0.41000000000000003,25.0,0.51,25.0,,False,01-01-2020,7,False
9,0.275,27.5,0.525,25.0,0.525,25.0,0.525,25.0,0.41000000000000003,25.0,0.41000000000000003,25.0,0.51,25.0,,False,01-01-2020,7,False
10,0.275,27.5,0.525,25.0,0.525,25.0,0.525,25.0,0.41000000000000003,25.0,0.41000000000000003,25.0,0.51,25.0,,False,01-01-2020,7,False
11,0.275,27.5,0.525,25.0,0.525,25.0,0.525,25.0,0.41000000000000003,25.0,0.41000000000000003,25.0,0.51,25.0,,False,01-01-2020,7,False
12,0.275,27.5,0.525,25.0,0.525,25.0,0.525,25.0,0.41000000000000003,25.0,0.41000000000000003,25.0,0.51,25.0,,False,01-01-2020,7,False
