Date,Demand,Renewables available,Renewables used,Renewables penetration rate,Average price,Fixed costs,Generation costs,Load shedding,Over generation,Reserve shortfall,Renewables curtailment,Number on/offs,Sum on/off ramps,Sum nominal ramps,Renewables energy payments,Renewables uplift payments,Thermal energy payments,Thermal uplift payments,Total energy payments,Total uplift payments,Total reserve payments,Total payments,Average payments
2020-01-01,90585.467641,52389.242,30199.474739,50.010728,14.777144,1033916.884928,304677.606065,0.0,0.0,0.0,22189.767261,62,186.0,3318.440839,628477.053599,0.0,1622035.647621,0.0,2250512.70122,0.0,68481.016962,2318993.718183,25.600063
2020-01-02,90067.902568,53901.0,31851.951844,54.713444,13.611424,766949.469307,459002.908621,0.0,0.0,0.0,22049.048156,5,170.0,2815.580938,618534.298819,0.0,1449404.173707,0.0,2067938.472527,0.0,69535.181707,2137473.654234,23.731802
2020-01-03,89194.793369,56087.15,29724.978382,49.983304,15.102946,923057.665667,424046.508174,0.0,0.0,0.0,26362.171618,18,620.0,4115.689233,645077.039963,0.0,1676246.400015,0.0,2321323.439978,0.0,62581.671142,2383905.11112,26.726954
2020-01-04,82881.47828,43310.114,25366.949636,44.10529,14.515047,779127.111245,423901.474293,0.0,0.0,41.298856,17943.164364,14,76.0,3449.408358,555196.373401,0.0,1526745.985977,0.0,2081942.359378,0.0,8184.328295,2090126.687673,25.21826
2020-01-05,81389.598907,71139.742,33844.675362,71.184625,13.30784,823176.050006,259943.677395,0.0,0.0,0.0,37295.066638,16,734.0,2820.140456,513552.754281,0.0,1371216.088973,0.0,1884768.843254,0.0,49580.573386,1934349.41664,23.766543
2020-01-06,89936.899382,67450.008,39379.989637,77.892399,11.247976,646322.358941,365285.725515,0.0,0.0,116.173394,28070.018363,6,16.0,4662.45282,730049.85387,0.0,1224283.571398,0.0,1954333.425268,0.0,6255.611726,1960589.036994,21.799607
2020-01-07,90663.851682,75694.278,46747.850678,106.448332,9.486098,559803.506467,300242.716278,0.0,0.0,524.022998,28946.427322,8,46.0,4118.514968,780413.729787,0.0,1042346.65765,0.0,1822760.387437,0.0,-18781.376359,1803979.011077,19.897445
2020-01-08,92123.677206,74660.34,43459.710896,89.305731,11.317412,721530.717249,321070.861987,0.0,0.0,0.0,31200.629104,35,460.0,3010.401553,862924.830248,0.0,1387901.867483,0.0,2250826.697731,0.0,103297.910328,2354124.608059,25.553958
2020-01-09,91490.714298,59604.1,33105.5806,56.702072,14.626244,884894.206735,453271.278663,0.0,0.0,0.0,26498.5194,32,838.0,2640.241004,819334.156043,0.0,1724113.601253,0.0,2543447.757296,0.0,58731.754267,2602179.511563,28.442007
2020-01-10,89777.991653,59812.05,31175.667947,53.198689,13.485869,761593.040844,449141.182038,0.0,0.0,0.0,28636.382053,14,56.0,3129.357834,623397.524413,0.0,1442538.764165,0.0,2065936.288578,0.0,63143.592319,2129079.880898,23.714942
2020-01-11,83722.664226,41880.014,19514.439757,30.39243,16.355478,853329.836983,515994.36333,0.0,0.0,0.0,22365.574243,9,202.0,3403.174863,549484.222451,0.0,1854012.555253,0.0,2403496.777704,0.0,62459.496628,2465956.274332,29.453868
2020-01-12,82541.369447,54438.842,30618.692397,58.969788,13.073201,717849.724031,361230.207869,0.0,0.0,726.943732,23820.149603,3,170.0,3786.206328,532396.734092,0.0,1357413.965791,0.0,1889810.699883,0.0,-30167.488926,1859643.210957,22.529832
2020-01-13,92064.511456,45639.884,28994.287779,45.971436,14.383614,771668.108596,552552.304166,0.0,0.0,884.826527,16645.596221,39,152.0,3827.957579,707010.333167,0.0,1872957.258812,0.0,2579967.591979,0.0,-9327.436964,2570640.155015,27.922161
2020-01-14,94761.049884,60044.678,34754.728014,57.918444,14.891993,985409.450461,425771.422864,0.0,0.0,0.0,25289.949986,10,888.0,3685.588145,620801.176228,0.0,1711115.503611,0.0,2331916.679839,0.0,61916.310745,2393832.990584,25.261782
2020-01-15,93439.494449,42214.738,18228.954504,24.237234,18.63932,1260423.250022,481225.393859,0.0,0.0,0.0,23985.783496,11,416.0,4381.803061,393879.494869,0.0,2245190.950632,0.0,2639070.445501,0.0,41008.245111,2680078.690612,28.682504
