Date,Hour,Minute,Type,Solve Time
2020-01-01,0,0,SCED,0.005617
2020-01-01,1,0,SCED,0.003349
2020-01-01,2,0,SCED,0.003112
2020-01-01,3,0,SCED,0.002913
2020-01-01,4,0,SCED,0.002928
2020-01-01,5,0,SCED,0.002922
2020-01-01,6,0,SCED,0.002883
2020-01-01,7,0,SCED,0.002878
2020-01-01,8,0,SCED,0.003038
2020-01-01,9,0,SCED,0.003014
2020-01-01,10,0,SCED,0.003132
2020-01-01,11,0,SCED,0.00303
2020-01-01,12,0,SCED,0.002927
2020-01-01,13,0,SCED,0.002997
2020-01-01,14,0,SCED,0.002937
2020-01-01,15,0,SCED,0.002943
2020-01-01,16,0,SCED,0.003458
2020-01-01,17,0,SCED,0.003361
2020-01-01,18,0,SCED,0.003169
2020-01-01,19,0,SCED,0.003192
2020-01-01,20,0,SCED,0.003035
2020-01-01,21,0,SCED,0.003175
2020-01-01,22,0,SCED,0.003067
2020-01-01,23,0,SCED,0.002976
2020-01-02,0,0,SCED,0.003063
2020-01-02,1,0,SCED,0.002874
2020-01-02,2,0,SCED,0.002762
2020-01-02,3,0,SCED,0.002795
2020-01-02,4,0,SCED,0.002724
2020-01-02,5,0,SCED,0.002857
2020-01-02,6,0,SCED,0.002762
2020-01-02,7,0,SCED,0.0028
2020-01-02,8,0,SCED,0.002871
2020-01-02,9,0,SCED,0.00277
2020-01-02,10,0,SCED,0.002834
2020-01-02,11,0,SCED,0.002882
2020-01-02,12,0,SCED,0.002827
2020-01-02,13,0,SCED,0.002855
2020-01-02,14,0,SCED,0.002796
2020-01-02,15,0,SCED,0.002824
2020-01-02,16,0,SCED,0.003257
2020-01-02,17,0,SCED,0.003152
2020-01-02,18,0,SCED,0.003284
2020-01-02,19,0,SCED,0.003151
2020-01-02,20,0,SCED,0.003128
2020-01-02,21,0,SCED,0.003201
2020-01-02,22,0,SCED,0.003164
2020-01-02,23,0,SCED,0.002948
2020-01-03,0,0,SCED,0.002918
2020-01-03,1,0,SCED,0.0028
2020-01-03,2,0,SCED,0.002855
2020-01-03,3,0,SCED,0.002871
2020-01-03,4,0,SCED,0.002776
2020-01-03,5,0,SCED,0.002879
2020-01-03,6,0,SCED,0.002806
2020-01-03,7,0,SCED,0.002871
2020-01-03,8,0,SCED,0.003197
2020-01-03,9,0,SCED,0.002825
2020-01-03,10,0,SCED,0.002847
2020-01-03,11,0,SCED,0.00281
2020-01-03,12,0,SCED,0.003001
2020-01-03,13,0,SCED,0.002829
2020-01-03,14,0,SCED,0.002833
2020-01-03,15,0,SCED,0.002594
2020-01-03,16,0,SCED,0.0033
2020-01-03,17,0,SCED,0.003258
2020-01-03,18,0,SCED,0.003179
2020-01-03,19,0,SCED,0.003077
2020-01-03,20,0,SCED,0.002969
2020-01-03,21,0,SCED,0.002931
2020-01-03,22,0,SCED,0.002903
2020-01-03,23,0,SCED,0.002866
2020-01-04,0,0,SCED,0.002939
2020-01-04,1,0,SCED,0.002886
2020-01-04,2,0,SCED,0.002864
2020-01-04,3,0,SCED,0.002906
2020-01-04,4,0,SCED,0.00282
2020-01-04,5,0,SCED,0.002908
2020-01-04,6,0,SCED,0.002845
2020-01-04,7,0,SCED,0.0028
2020-01-04,8,0,SCED,0.002859
2020-01-04,9,0,SCED,0.002768
2020-01-04,10,0,SCED,0.002863
2020-01-04,11,0,SCED,0.002891
2020-01-04,12,0,SCED,0.002827
2020-01-04,13,0,SCED,0.002963
2020-01-04,14,0,SCED,0.002795
2020-01-04,15,0,SCED,0.002991
2020-01-04,16,0,SCED,0.003914
2020-01-04,17,0,SCED,0.00386
2020-01-04,18,0,SCED,0.00374
2020-01-04,19,0,SCED,0.003732
2020-01-04,20,0,SCED,0.003172
2020-01-04,21,0,SCED,0.003035
2020-01-04,22,0,SCED,0.002931
2020-01-04,23,0,SCED,0.002857
2020-01-05,0,0,SCED,0.00291
2020-01-05,1,0,SCED,0.002921
2020-01-05,2,0,SCED,0.002813
2020-01-05,3,0,SCED,0.003017
2020-01-05,4,0,SCED,0.002849
2020-01-05,5,0,SCED,0.00281
2020-01-05,6,0,SCED,0.002858
2020-01-05,7,0,SCED,0.002812
2020-01-05,8,0,SCED,0.002842
2020-01-05,9,0,SCED,0.002832
2020-01-05,10,0,SCED,0.002768
2020-01-05,11,0,SCED,0.002812
2020-01-05,12,0,SCED,0.002786
2020-01-05,13,0,SCED,0.002831
2020-01-05,14,0,SCED,0.002832
2020-01-05,15,0,SCED,0.003012
2020-01-05,16,0,SCED,0.003442
2020-01-05,17,0,SCED,0.003307
2020-01-05,18,0,SCED,0.003387
2020-01-05,19,0,SCED,0.003201
2020-01-05,20,0,SCED,0.003015
2020-01-05,21,0,SCED,0.004669
2020-01-05,22,0,SCED,0.003
2020-01-05,23,0,SCED,0.002854
2020-01-06,0,0,SCED,0.003113
2020-01-06,1,0,SCED,0.002821
2020-01-06,2,0,SCED,0.002854
2020-01-06,3,0,SCED,0.002866
2020-01-06,4,0,SCED,0.002793
2020-01-06,5,0,SCED,0.004236
2020-01-06,6,0,SCED,0.004199
2020-01-06,7,0,SCED,0.004195
2020-01-06,8,0,SCED,0.002907
2020-01-06,9,0,SCED,0.002777
2020-01-06,10,0,SCED,0.002839
2020-01-06,11,0,SCED,0.002837
2020-01-06,12,0,SCED,0.002773
2020-01-06,13,0,SCED,0.002852
2020-01-06,14,0,SCED,0.002859
2020-01-06,15,0,SCED,0.002771
2020-01-06,16,0,SCED,0.003215
2020-01-06,17,0,SCED,0.00317
2020-01-06,18,0,SCED,0.00317
2020-01-06,19,0,SCED,0.003119
2020-01-06,20,0,SCED,0.003016
2020-01-06,21,0,SCED,0.003004
2020-01-06,22,0,SCED,0.002895
2020-01-06,23,0,SCED,0.0028
2020-01-07,0,0,SCED,0.002958
2020-01-07,1,0,SCED,0.002844
2020-01-07,2,0,SCED,0.002763
2020-01-07,3,0,SCED,0.002831
2020-01-07,4,0,SCED,0.002797
2020-01-07,5,0,SCED,0.00282
2020-01-07,6,0,SCED,0.004266
2020-01-07,7,0,SCED,0.004226
2020-01-07,8,0,SCED,0.002866
2020-01-07,9,0,SCED,0.002889
2020-01-07,10,0,SCED,0.002834
2020-01-07,11,0,SCED,0.002827
2020-01-07,12,0,SCED,0.002749
2020-01-07,13,0,SCED,0.002812
2020-01-07,14,0,SCED,0.003036
2020-01-07,15,0,SCED,0.00304
2020-01-07,16,0,SCED,0.002929
2020-01-07,17,0,SCED,0.00428
2020-01-07,18,0,SCED,0.004449
2020-01-07,19,0,SCED,0.004697
2020-01-07,20,0,SCED,0.002955
2020-01-07,21,0,SCED,0.00303
2020-01-07,22,0,SCED,0.003069
2020-01-07,23,0,SCED,0.002934
