Date,Hour,Minute,Line,Flow,Violation
2020-01-01,0,0,A1,16.298441,0.0
2020-01-01,0,0,A2,6.90647,0.0
2020-01-01,0,0,A3,46.829312,0.0
2020-01-01,0,0,A4,31.685624,0.0
2020-01-01,0,0,A5,33.699517,0.0
2020-01-01,0,0,A6,30.568273,0.0
2020-01-01,0,0,A7,-81.026691,0.0
2020-01-01,0,0,A8,8.102281,0.0
2020-01-01,0,0,A9,24.202051,0.0
2020-01-01,0,0,A10,-9.642843,0.0
2020-01-01,0,0,A11,25.439796,0.0
2020-01-01,0,0,AB1,104.723476,0.0
2020-01-01,0,0,A12-1,-17.60534,0.0
2020-01-01,0,0,A13-2,-11.451508,0.0
2020-01-01,0,0,A14,-20.8715,0.0
2020-01-01,0,0,A15,-13.834705,0.0
2020-01-01,0,0,A16,-33.089191,0.0
2020-01-01,0,0,A17,-25.948405,0.0
2020-01-01,0,0,A18,24.846572,0.0
2020-01-01,0,0,A19,-78.807263,0.0
2020-01-01,0,0,A20,12.16275,0.0
2020-01-01,0,0,A21,-51.945859,0.0
2020-01-01,0,0,A22,-64.627131,0.0
2020-01-01,0,0,AB2,117.18259,0.0
2020-01-01,0,0,A23,-140.633864,0.0
2020-01-01,0,0,A24,79.190758,0.0
2020-01-01,0,0,A25-1,-99.621695,0.0
2020-01-01,0,0,A25-2,-99.621695,0.0
2020-01-01,0,0,A26,81.026691,0.0
2020-01-01,0,0,A27,-205.651192,0.0
2020-01-01,0,0,A28,174.338704,0.0
2020-01-01,0,0,A29,-63.375904,0.0
2020-01-01,0,0,A30,-142.275289,0.0
2020-01-01,0,0,A31-1,0.249527,0.0
2020-01-01,0,0,A31-2,0.249527,0.0
2020-01-01,0,0,A32-1,58.327561,0.0
2020-01-01,0,0,A32-2,58.327561,0.0
2020-01-01,0,0,A33-1,37.931157,0.0
2020-01-01,0,0,A33-2,37.931157,0.0
2020-01-01,0,0,A34,-206.737211,0.0
2020-01-01,0,0,AB3,161.289323,0.0
2020-01-01,0,0,B1,9.705312,0.0
2020-01-01,0,0,B2,-40.406323,0.0
2020-01-01,0,0,B3,28.073596,0.0
2020-01-01,0,0,B4,10.246203,0.0
2020-01-01,0,0,B5,21.802078,0.0
2020-01-01,0,0,B6,67.569452,0.0
2020-01-01,0,0,B7,-73.131325,0.0
2020-01-01,0,0,B8,-18.481841,0.0
2020-01-01,0,0,B9,0.510202,0.0
2020-01-01,0,0,B10,-30.995408,0.0
2020-01-01,0,0,B11,-48.527101,0.0
2020-01-01,0,0,B12-1,-66.292823,0.0
2020-01-01,0,0,B13-2,-48.619353,0.0
2020-01-01,0,0,B14,-38.581641,0.0
2020-01-01,0,0,B15,-46.561512,0.0
2020-01-01,0,0,B16,-73.354518,0.0
2020-01-01,0,0,B17,-81.452319,0.0
2020-01-01,0,0,B18,-21.329234,0.0
2020-01-01,0,0,B19,-90.606925,0.0
2020-01-01,0,0,B20,-6.945516,0.0
2020-01-01,0,0,B21,-121.068316,0.0
2020-01-01,0,0,B22,-131.152205,0.0
2020-01-01,0,0,B23,-165.920986,0.0
2020-01-01,0,0,B24,67.403408,0.0
2020-01-01,0,0,B25-1,-59.258436,0.0
2020-01-01,0,0,B25-2,-59.258436,0.0
2020-01-01,0,0,B26,73.131325,0.0
2020-01-01,0,0,B27,-139.296254,0.0
2020-01-01,0,0,B28,71.956994,0.0
2020-01-01,0,0,B29,46.398958,0.0
2020-01-01,0,0,B30,-24.405888,0.0
2020-01-01,0,0,B31-1,-41.43862,0.0
2020-01-01,0,0,B31-2,-41.43862,0.0
2020-01-01,0,0,B32-1,0.844876,0.0
2020-01-01,0,0,B32-2,0.844876,0.0
2020-01-01,0,0,B33-1,-24.001,0.0
2020-01-01,0,0,B33-2,-24.001,0.0
2020-01-01,0,0,B34,-31.394112,0.0
