index,site,kind,pem_capacity_mw,pem_bid,h2_mwh,h2_kg,pem_grid_sales_mwh,site_market_revenue_usd,uplift_usd
1,121_NUCLEAR_1,thermal,110.00000000000001,27.5,946676.496568,18933529.93136,,71155530.834455,0.0
1,122_WIND_1,renewable,374.58750000000003,25.0,1174691.01552,23493820.310399998,328915.85948,16836699.874819,0.0
1,303_WIND_1,renewable,444.675,25.0,1305977.032066,26119540.641319998,260191.617934,14434230.388237,0.0
1,309_WIND_1,renewable,75.63300000000001,25.0,183707.999029,3674159.98058,60284.411971,3376466.738434,0.0
1,310_PV_2,renewable,26.316000000000003,25.0,84272.437055,1685448.7411,9899.594945,764680.1806719999,0.0
1,317_WIND_1,renewable,419.52750000000003,25.0,1431520.736722,28630414.73444,223285.518278,12039306.742403999,0.0
1,319_PV_1,renewable,77.16199999999999,25.0,259176.65698400003,5183533.139680001,29980.471016000003,3640058.3231969997,0.0
1,320_PV_1,renewable,26.316000000000003,25.0,86308.510568,1726170.21136,8013.393432,698849.447141,0.0
1,324_PV_1,renewable,20.377,25.0,69247.89513399999,1384957.9026799998,7407.336866,1001192.8186379999,0.0
1,324_PV_2,renewable,21.156,25.0,71388.263272,1427765.26544,7332.300728,944100.359192,0.0
1,324_PV_3,renewable,20.91,25.0,71100.708967,1422014.17934,7207.411033,975160.618097,0.0
2,121_NUCLEAR_1,thermal,110.00000000000001,27.5,946676.496568,18933529.93136,,71155530.834455,0.0
2,122_WIND_1,renewable,374.58750000000003,25.0,1174627.582648,23492551.65296,328979.292352,16838285.696619,0.0
2,303_WIND_1,renewable,444.675,25.0,1305978.156249,26119563.12498,260190.493751,14434202.283661999,0.0
2,309_WIND_1,renewable,75.63300000000001,25.0,183714.399029,3674287.9805799997,60278.011971,3376306.738434,0.0
2,310_PV_2,renewable,26.316000000000003,25.0,84272.437055,1685448.7411,9899.594945,764680.1806719999,0.0
2,317_WIND_1,renewable,419.52750000000003,25.0,1431544.336722,28630886.73444,223261.918278,12038716.742403999,0.0
2,319_PV_1,renewable,77.16199999999999,25.0,259261.71916600002,5185234.38332,29895.408834,3637931.7686469997,0.0
2,320_PV_1,renewable,26.316000000000003,25.0,86271.010568,1725420.21136,8050.893432,699786.947141,0.0
2,324_PV_1,renewable,20.377,25.0,69247.89513399999,1384957.9026799998,7407.336866,1001192.8186379999,0.0
2,324_PV_2,renewable,21.156,25.0,71388.263272,1427765.26544,7332.300728,944100.359192,0.0
2,324_PV_3,renewable,20.91,25.0,71085.455474,1421709.10948,7222.6645260000005,975541.955422,0.0
3,121_NUCLEAR_1,thermal,110.00000000000001,27.5,946676.496568,18933529.93136,,71155530.834455,0.0
3,122_WIND_1,renewable,374.58750000000003,25.0,1174656.0068309999,23493120.136619996,328950.868169,16837575.092044,0.0
3,303_WIND_1,renewable,444.675,25.0,1305949.732066,26118994.64132,260218.917934,14434912.888237,0.0
3,309_WIND_1,renewable,75.63300000000001,25.0,183714.399029,3674287.9805799997,60278.011971,3376306.738434,0.0
3,310_PV_2,renewable,26.316000000000003,25.0,84272.437055,1685448.7411,9899.594945,764680.1806719999,0.0
