index,oat_site,anchor,num_days,start_date,rho_h2,true_curtailment_mwh,load_shed_mwh,total_cost_raw_usd,reserve_shortfall_mwh,thermal_starts,synthetic_bid_cost_usd,total_cost_less_synthetic_usd,pem_withheld_mwh_total,h2_kg_total,delta_curtailment_mwh,delta_load_shed_mwh,delta_cost_less_synthetic_usd_APPROX,delta_reserve_shortfall_mwh,delta_thermal_starts
1,121_NUCLEAR_1,False,366,01-01-2020,,1317435.0392829995,38007.77461,524735984.10192,178342.736309,4760,2810918.130907,521925065.971013,1686527.046712,33730540.93424,-371140.73813900026,-3492.340728000003,-555707.8380699754,-25338.618560000003,-423
2,303_WIND_1,False,366,01-01-2020,,1016974.216279,30155.794595,535365494.912893,140101.244333,4460,3608197.52484,531757297.388053,1431206.861879,28624137.23758,-671601.5611429997,-11344.320743000004,9276523.578970015,-63580.11053599999,-723
3,317_WIND_1,False,366,01-01-2020,,1189863.772381,19530.205378,539976994.352629,117799.622214,4013,4256358.46316,535720635.88946897,1493782.338421,29875646.76842,-498712.00504099973,-21969.909960000005,13239862.080385983,-85881.732655,-1170
4,122_WIND_1,False,366,01-01-2020,,1272019.8543490001,20067.153819,538760444.976865,110651.21344,4119,4509154.81604,534251290.1608251,1343433.629599,26868672.591980003,-416555.9230729996,-21432.961519000004,11770516.351742089,-93030.141429,-1064
5,319_PV_1,False,366,01-01-2020,,1593036.3706230007,41957.516519,525840057.461459,194204.765908,5049,339419.00288,525500638.458579,274454.024928,5489080.49856,-95539.40679899906,457.4011809999938,3019864.649496019,-9476.588961000001,-134
6,324_PV_1,False,366,01-01-2020,,1659551.4761439997,42600.08896,523132103.160632,204386.809099,5196,90479.56412,523041623.596512,72741.910897,1454838.21794,-29024.301278,1099.9736219999977,560849.7874290347,705.454230000003,13
7,324_PV_2,False,366,01-01-2020,,1655761.6000549998,43692.735311,523178084.25431,198854.808117,5228,91674.28264,523086409.97167003,74747.942934,1494958.85868,-32814.17736699991,2192.6199729999935,605636.1625870466,-4826.546751999995,45
8,324_PV_3,False,366,01-01-2020,,1660606.7897190002,39207.323966,523309328.38743,201998.930414,5138,91795.64548,523217532.74195004,74333.508863,1486670.1772599998,-27968.987702999497,-2292.7913719999997,736758.9328670502,-1682.4244550000003,-45
9,310_PV_2,False,366,01-01-2020,,1653273.1733439995,43975.197813,523120268.786676,201440.180679,5249,88162.49299999999,523032106.293676,74554.597675,1491091.9534999998,-35302.60407800018,2475.0824749999956,551332.4845930338,-2241.1741899999906,66
10,320_PV_1,False,366,01-01-2020,,1658046.6585719993,43309.61322,523155685.432883,199598.569208,5275,87300.25540000001,523068385.177483,74697.013615,1493940.2723,-30529.118850000435,1809.497881999996,587611.3684000373,-4082.7856610000017,92
11,309_WIND_1,False,366,01-01-2020,,1624275.0790579994,41115.864244,524879116.001177,189568.286925,5004,769949.34572,524109166.655457,221660.166357,4433203.32714,-64300.6983640003,-384.25109400000656,1628392.8463740349,-14113.06794400001,-179
12,__ALL__,False,366,01-01-2020,,218074.38725499998,2743.487152,604951428.706683,19907.435014,2323,8065629.486848001,596885799.219835,7039083.542826999,140781670.85653996,-1470501.3901669998,-38756.628186,74405025.41075206,-183773.91985500001,-2860
