index,site,kind,pem_capacity_mw,pem_bid,h2_mwh,h2_kg,pem_grid_sales_mwh,site_market_revenue_usd,uplift_usd
1,121_NUCLEAR_1,thermal,200.0,40.0,1686527.046712,33730540.93424,,55987682.931739,0.0
2,303_WIND_1,renewable,423.5,40.0,1431206.861879,28624137.23758,90204.938121,10679504.275359,0.0
3,317_WIND_1,renewable,399.55,40.0,1493782.338421,29875646.76842,106408.961579,6876556.331336,0.0
4,122_WIND_1,renewable,356.75,40.0,1343433.629599,26868672.591980003,112728.87040100001,10808257.287029,0.0
5,319_PV_1,renewable,75.28,40.0,274454.024928,5489080.49856,8485.475072,2625434.717327,0.0
6,324_PV_1,renewable,19.880000000000003,40.0,72741.910897,1454838.21794,2261.989103,770346.424309,0.0
7,324_PV_2,renewable,20.64,40.0,74747.942934,1494958.85868,2291.857066,712042.624527,0.0
8,324_PV_3,renewable,20.400000000000002,40.0,74333.508863,1486670.1772599998,2294.891137,737362.608288,0.0
9,310_PV_2,renewable,20.64,40.0,74554.597675,1491091.9534999998,2204.062325,718587.050407,0.0
10,320_PV_1,renewable,20.64,40.0,74697.013615,1493940.2723,2182.506385,693927.280207,0.0
11,309_WIND_1,renewable,74.15,40.0,221660.166357,4433203.32714,19248.733643,3419068.3843989996,0.0
12,121_NUCLEAR_1,thermal,200.0,40.0,1750394.050901,35007881.01802,,51364664.129401,0.0
12,122_WIND_1,renewable,356.75,40.0,1383090.035804,27661800.71608,73072.464196,14237216.394470999,0.0
12,303_WIND_1,renewable,423.5,40.0,1471101.797141,29422035.942819998,50310.00286,11899290.930585,0.0
12,309_WIND_1,renewable,74.15,40.0,222682.352365,4453647.0473,18226.547635000003,2757893.447077,0.0
12,310_PV_2,renewable,20.64,40.0,75993.822085,1519876.4417,764.8379150000001,766897.892347,0.0
12,317_WIND_1,renewable,399.55,40.0,1552648.958901,31052979.17802,47542.341099,13334745.816234,0.0
12,319_PV_1,renewable,75.28,40.0,280196.617958,5603932.3591599995,2742.882042,2921232.937789,0.0
12,320_PV_1,renewable,20.64,40.0,76147.911354,1522958.2270799999,731.608646,735954.151756,0.0
12,324_PV_1,renewable,19.880000000000003,40.0,74402.14,1488042.8,601.76,825942.167949,0.0
12,324_PV_2,renewable,20.64,40.0,76440.06008,1528801.2015999998,599.73992,772939.418181,0.0
12,324_PV_3,renewable,20.400000000000002,40.0,75985.796238,1519715.9247599998,642.603762,805850.797939,0.0
