index,oat_site,anchor,num_days,start_date,rho_h2,true_curtailment_mwh,load_shed_mwh,total_cost_raw_usd,reserve_shortfall_mwh,thermal_starts,synthetic_bid_cost_usd,total_cost_less_synthetic_usd,pem_withheld_mwh_total,h2_kg_total,delta_curtailment_mwh,delta_load_shed_mwh,delta_cost_less_synthetic_usd_APPROX,delta_reserve_shortfall_mwh,delta_thermal_starts
1,,False,366,01-01-2020,2.0,193513.50396200002,22.425956,607433805.21383,9974.103475,2237,6270329.3856689995,601163475.828161,7222422.9095600005,144448458.19120002,-1495062.2734599998,-41477.689382000004,78682702.01907802,-193707.251394,-2946
2,,False,366,01-01-2020,2.0,141023.754376,3042.473504,631032751.841897,24386.774749,2288,6934377.9323160015,624098373.9095811,8245243.136821001,164904862.73642,-1547552.0230459997,-38457.641834,101617600.10049808,-179294.58012,-2895
3,,False,366,01-01-2020,2.0,435132.303295,778.62203,626802548.118689,16326.551973,2397,6217275.276853,620585272.841836,7716587.983228,154331759.66456,-1253443.4741269997,-40721.493308000005,98104499.03275299,-187354.802896,-2786
4,,False,366,01-01-2020,2.0,268588.444195,3098.606241,592294322.718228,24862.043495,2498,8232468.669778001,584061854.04845,6362802.246954999,127256044.93909998,-1419987.3332269997,-38401.509097,61581080.23936701,-178819.311374,-2685
5,,False,366,01-01-2020,2.0,590792.152605,11782.359862,554856582.682524,58368.687153,3135,8164077.216599,546692505.465925,4161425.347222,83228506.94443999,-1097783.6248169998,-29717.755476000006,24211731.656841993,-145312.667716,-2048
6,,False,366,01-01-2020,2.0,76268.870635,22.425956,644969395.3162,7721.60624,2024,6021161.290015999,638948234.026184,8998186.660859,179963733.21718,-1612306.9067869997,-41477.689382000004,116467460.21710098,-195959.748629,-3159
7,,False,366,01-01-2020,2.0,297086.07105299993,13729.311075,598594285.834447,56207.594288,2888,7920389.743206999,590673896.09124,6424826.7244420005,128496534.48884001,-1391489.7063689998,-27770.804263000005,68193122.28215706,-147473.760581,-2295
8,,False,366,01-01-2020,2.0,213798.542395,252.102905,601495764.303794,8888.601504,2272,7774919.611225001,593720844.692569,6910643.869547002,138212877.39094004,-1474777.2350269998,-41248.012433,71240070.88348603,-194792.753365,-2911
9,,False,366,01-01-2020,2.0,616342.393128,10645.572012,546956561.997831,59038.134983,3068,7705267.859085999,539251294.138745,3847786.2848760006,76955725.69752002,-1072233.3842939998,-30854.543326000003,16770520.329661965,-144643.219886,-2115
10,,False,366,01-01-2020,2.0,110464.015645,635.518101,647870883.57485,13169.287638,2048,6658034.375132999,641212849.1997169,9061241.329433002,181224826.58866003,-1578111.7617769998,-40864.597237,118732075.39063394,-190512.067231,-3135
11,,False,366,01-01-2020,2.0,213939.138614,1970.313018,610224363.240149,15000.534397,2299,7235578.141039,602988785.09911,7267154.801374,145343096.02748,-1474636.6388079997,-39529.80232,80508011.29002702,-188680.820472,-2884
12,,False,366,01-01-2020,2.0,213257.503442,3606.086154,593583740.130703,32712.09602,2564,6582041.330284,587001698.800419,6546200.450782001,130924009.01564002,-1475318.2739799998,-37894.029184000006,64520924.99133599,-170969.258849,-2619
13,,False,366,01-01-2020,2.0,234645.874093,4603.334685,602578021.303511,28156.821497,2502,7412594.202547,595165427.1009641,6817962.543695999,136359250.87392,-1453929.9033289996,-36896.780653,72684653.29188108,-175524.533372,-2681
14,,False,366,01-01-2020,2.0,185674.18223500001,442.536053,617939593.76739,16685.523368,2302,6779461.232478,611160132.534912,7651233.569286,153024671.38572,-1502901.5951869998,-41057.579285,88679358.725829,-186995.831501,-2881
15,,False,366,01-01-2020,2.0,266034.92914900003,2896.219382,644456871.39393,15608.41107,2206,6702496.624739001,637754374.7691909,8651375.597563,173027511.95126,-1422540.8482729997,-38603.895956,115273600.96010792,-188072.943799,-2977
16,,False,366,01-01-2020,2.0,198792.632134,2516.280788,590289445.206069,16044.798695,2342,7703554.557122,582585890.648947,6427864.733849,128557294.67698,-1489783.1452879997,-38983.83455,60105116.839864016,-187636.556174,-2841
