index,site,kind,pem_capacity_mw,pem_bid,h2_mwh,h2_kg,pem_grid_sales_mwh,site_market_revenue_usd,uplift_usd
1,121_NUCLEAR_1,thermal,114.99999999999999,40.0,1009459.0697309999,20189181.394619998,,68184191.320192,0.0
1,122_WIND_1,renewable,628.7361999999999,40.0,1960154.62941,39203092.5882,61422.66419,5169789.351872,0.0
1,303_WIND_1,renewable,344.0514,40.0,1286515.286792,25730305.73584,50726.733808,17075888.614046,0.0
1,309_WIND_1,renewable,7.415000000000001,40.0,39487.604554,789752.0910799999,3278.520446,7060995.23011,0.0
1,310_PV_2,renewable,2.58,40.0,10329.152537,206583.05074,135.407463,1894994.74721,0.0
1,317_WIND_1,renewable,799.1,40.0,2265533.645078,45310672.90156,36506.554922,1809135.376103,0.0
1,319_PV_1,renewable,98.80499999999999,40.0,354372.48421,7087449.6842,2032.16579,1658207.747158,0.0
1,320_PV_1,renewable,2.58,40.0,10394.571493,207891.42985999997,110.928507,1857496.499586,0.0
1,324_PV_1,renewable,26.0925,40.0,94050.473774,1881009.47548,631.351226,481489.907259,0.0
1,324_PV_2,renewable,27.090000000000003,40.0,96254.03488199999,1925080.69764,621.9851179999999,429946.711796,0.0
1,324_PV_3,renewable,26.775000000000002,40.0,95871.95709899999,1917439.1419799998,590.992901,459056.037167,0.0
2,121_NUCLEAR_1,thermal,352.48,40.0,3075646.9605179997,61512939.21035999,,22382969.16615,35292.559196999995
2,122_WIND_1,renewable,120.4388,40.0,611328.579068,12226571.58136,40174.925332,27397475.772439,0.0
2,303_WIND_1,renewable,645.8375,40.0,1862572.479146,37251449.58292,48274.783354,5569429.362382,0.0
2,309_WIND_1,renewable,130.68196,40.0,315801.592036,6316031.84072,19515.586244000002,1163603.929428,0.0
2,310_PV_2,renewable,45.46992,40.0,119211.408311,2384228.16622,670.710409,78874.832977,0.0
2,317_WIND_1,renewable,324.59442,40.0,1337989.0738640002,26759781.477280002,39725.160296,15655286.377158001,0.0
2,319_PV_1,renewable,143.50249999999997,40.0,446371.5,8927430.0,2371.6,314350.748413,0.0
2,320_PV_1,renewable,45.46992,40.0,118681.567444,2373631.34888,524.800876,63474.061607999996,0.0
2,324_PV_1,renewable,37.89625,40.0,119103.47274,2382069.4548,491.54600999999997,95377.990124,0.0
2,324_PV_2,renewable,39.345,40.0,118985.853694,2379717.07388,524.376306,86939.552392,0.0
2,324_PV_3,renewable,38.887499999999996,40.0,119550.65000000001,2391013.0,548.6,94959.372478,0.0
3,121_NUCLEAR_1,thermal,305.0,40.0,2670919.723239,53418394.46478,,30338771.253709,0.0
3,122_WIND_1,renewable,544.0437499999999,40.0,1815589.602291,36311792.04582,66046.991459,7846680.935428,0.0
3,303_WIND_1,renewable,42.35,40.0,260198.587309,5203971.74618,11088.862691,10822159.70517,0.0
