index,oat_site,anchor,num_days,start_date,rho_h2,true_curtailment_mwh,load_shed_mwh,total_cost_raw_usd,reserve_shortfall_mwh,thermal_starts,synthetic_bid_cost_usd,total_cost_less_synthetic_usd,pem_withheld_mwh_total,h2_kg_total,delta_curtailment_mwh,delta_load_shed_mwh,delta_cost_less_synthetic_usd_APPROX,delta_reserve_shortfall_mwh,delta_thermal_starts
1,,False,366,01-01-2020,2.0,547862.591366,7265.40848,560788064.853791,45660.365364,2944,7419502.909237001,553368561.944554,4554279.317913999,91085586.35827997,-1140713.1860559997,-34234.706858000005,30887788.135470986,-158020.989505,-2239
2,,False,366,01-01-2020,2.0,166269.105323,3167.364638,630098771.107594,22322.210343,2297,6372201.113646999,623726569.993947,8119041.430752001,162380828.61504,-1522306.6720989998,-38332.750700000004,101245796.18486404,-181359.14452600002,-2886
3,,False,366,01-01-2020,2.0,208949.85608499998,5267.177275,612647540.999195,24743.374413,2452,6577679.531504001,606069861.467691,7314983.332962,146299666.65924,-1479625.9213369996,-36232.938063,83589087.65860796,-178937.980456,-2731
4,,False,366,01-01-2020,2.0,146374.883926,348.735225,620238076.664676,14150.924587,2205,7253100.471734,612984976.1929419,7791348.864085001,155826977.28170002,-1542200.8934959997,-41151.38011300001,90504202.38385892,-189530.43028200002,-2978
5,,False,366,01-01-2020,2.0,262745.585208,3396.714907,590449259.147964,27090.770132,2497,7770331.211573999,582678927.93639,6303829.473979,126076589.47958,-1425830.1922139998,-38103.400431,60198154.12730706,-176590.584737,-2686
6,,False,366,01-01-2020,2.0,89901.121618,22.425956,632457071.465972,8758.184848,2096,7172654.288642,625284417.1773299,8466848.591662997,169336971.83325994,-1598674.6558039996,-41477.689382000004,102803643.36824691,-194923.170021,-3087
7,,False,366,01-01-2020,2.0,257646.880797,1562.173369,636476946.516729,15338.364571,2259,6218578.491037,630258368.025692,8325935.177555999,166518703.55111998,-1430928.8966249998,-39937.94196900001,107777594.216609,-188342.990298,-2924
8,,False,366,01-01-2020,2.0,326405.376772,1306.585965,570765781.71945,28750.572165,2571,7650563.43007,563115218.28938,5394230.548054999,107884610.96109998,-1362170.4006499997,-40193.529373000005,40634444.48029697,-174930.782704,-2612
9,,False,366,01-01-2020,2.0,281967.329577,5096.702491,577265846.302228,27308.427344,2579,8458169.063577,568807677.2386509,5698305.404927,113966108.09854001,-1406608.4478449998,-36403.412847,46326903.42956793,-176372.927525,-2604
10,,False,366,01-01-2020,2.0,130469.28310500001,0.0,647960717.609641,4392.024664,2062,6178848.867875999,641781868.7417649,9035438.940923,180708778.81846,-1558106.4943169998,-41500.115338,119301094.93268192,-199289.330205,-3121
11,,False,366,01-01-2020,2.0,381137.42423500004,9986.466378,591645600.024684,43322.801679,2740,7969046.723227,583676553.3014569,6051787.601248999,121035752.02497998,-1307438.3531869997,-31513.648960000006,61195779.49237394,-160358.55319,-2443
12,,False,366,01-01-2020,2.0,120792.324841,186.528391,619765205.986586,10394.144679,2139,6261748.422136,613503457.56445,7861893.3318880005,157237866.63776,-1567783.4525809998,-41313.586947,91022683.75536704,-193287.21019,-3044
13,,False,366,01-01-2020,2.0,409971.675789,927.804386,609840390.139656,19816.474602,2374,6506139.346663999,603334250.792992,7040198.050844,140803961.01688,-1278604.1016329997,-40572.310952,80853476.98390901,-183864.880267,-2809
14,,False,366,01-01-2020,2.0,347906.090075,8568.855746,592343443.558382,57026.365956,2911,7191707.480059,585151736.078323,6137611.613547999,122752232.27095999,-1340669.6873469998,-32931.259592,62670962.26924002,-146654.988913,-2272
15,,False,366,01-01-2020,2.0,183464.123747,2433.487152,632680391.629415,15395.128308,2132,7446991.165273,625233400.4641421,8281118.337706001,165622366.75412002,-1505111.6536749997,-39066.628186,102752626.6550591,-188286.226561,-3051
16,,False,366,01-01-2020,2.0,262822.83701499994,3740.688961,581977025.222019,36162.778132,2583,8222426.521345,573754598.7006739,5927216.631692,118544332.63384,-1425752.9404069998,-37759.426377,51273824.89159095,-167518.576737,-2600
