index,site,kind,pem_capacity_mw,pem_bid,h2_mwh,h2_kg,pem_grid_sales_mwh,site_market_revenue_usd,uplift_usd
1,121_NUCLEAR_1,thermal,67.52,40.0,588939.9271159996,11778798.542319993,,76427713.895706,0.0
1,122_WIND_1,renewable,120.4388,40.0,603919.812175,12078396.2435,47583.692225,22686315.397645,0.0
1,303_WIND_1,renewable,142.9736,40.0,686634.475617,13732689.51234,32900.617983000004,5696883.098576,0.0
1,309_WIND_1,renewable,95.47554000000001,40.0,254920.186781,5098403.7356199995,27062.445638999998,2963642.77137,0.0
1,310_PV_2,renewable,33.22008,40.0,109716.715804,2194334.3160800003,1721.007236,256711.427263,0.0
1,317_WIND_1,renewable,514.46058,40.0,1825880.621759,36517612.43518,64782.524701,6941897.096354,0.0
1,319_PV_1,renewable,54.107499999999995,40.0,206579.615761,4131592.3152199998,3586.404239,3640613.257316,0.0
1,320_PV_1,renewable,33.22008,40.0,110040.43934000001,2200808.7868000004,1426.43514,220296.18536399998,0.0
1,324_PV_1,renewable,14.28875,40.0,54953.08125,1099061.625,737.0175,1015985.35367,0.0
1,324_PV_2,renewable,14.834999999999999,40.0,56536.920855000004,1130738.4171000002,776.609145,974842.8772,0.0
1,324_PV_3,renewable,14.6625,40.0,56157.521456,1123150.42912,755.066044,1009553.49558,0.0
2,121_NUCLEAR_1,thermal,400.0,40.0,3484989.89637,69699797.92740001,,12689036.902622,91165.166264
2,122_WIND_1,renewable,628.7361999999999,40.0,1962960.197717,39259203.95434,58617.095883,5008484.736401,0.0
2,303_WIND_1,renewable,444.675,40.0,1523987.132574,30479742.651479997,42181.517425,10233009.084171,0.0
2,309_WIND_1,renewable,42.63625,40.0,154222.66452,3084453.2904,11069.715479999999,3825359.128663,0.0
2,310_PV_2,renewable,14.834999999999999,40.0,56565.808628000006,1131316.17256,609.031372,1171301.40977,0.0
2,317_WIND_1,renewable,39.955000000000005,40.0,239062.84655699998,4781256.93114,13785.628443,35814998.277677,0.0
2,319_PV_1,renewable,98.80499999999999,40.0,354192.618291,7083852.36582,2212.031709,1853049.429201,0.0
2,320_PV_1,renewable,14.834999999999999,40.0,56683.947537,1133678.95074,575.427463,1141942.2055900001,0.0
2,324_PV_1,renewable,26.0925,40.0,94117.784958,1882355.69916,564.040042,529788.285875,0.0
2,324_PV_2,renewable,27.090000000000003,40.0,96333.25899,1926665.1798,542.76101,472589.085655,0.0
2,324_PV_3,renewable,26.775000000000002,40.0,95925.27461,1918505.4921999997,537.67539,499069.73908900004,0.0
3,121_NUCLEAR_1,thermal,257.52000000000004,40.0,2251654.797373,45033095.94746,,40779442.098561004,0.0
3,122_WIND_1,renewable,205.13125,40.0,924228.630889,18484572.61778,57288.931611,21753552.669081002,0.0
3,303_WIND_1,renewable,243.5125,40.0,1028716.806485,20574336.129699998,34065.056015,9104385.186471999,0.0
3,309_WIND_1,renewable,42.63625,40.0,151640.13726699998,3032802.74534,13652.242733,4502865.002997,0.0
3,310_PV_2,renewable,14.834999999999999,40.0,56509.718583,1130194.37166,665.1214170000001,1182221.080942,0.0
3,317_WIND_1,renewable,609.31375,40.0,2042654.133465,40853082.6693,42741.889035,4325031.830088,0.0
3,319_PV_1,renewable,143.50249999999997,40.0,445890.170059,8917803.401180001,2852.929941,392998.051194,0.0
