index,oat_site,anchor,num_days,start_date,rho_h2,true_curtailment_mwh,load_shed_mwh,total_cost_raw_usd,reserve_shortfall_mwh,thermal_starts,synthetic_bid_cost_usd,total_cost_less_synthetic_usd,pem_withheld_mwh_total,h2_kg_total,delta_curtailment_mwh,delta_load_shed_mwh,delta_cost_less_synthetic_usd_APPROX,delta_reserve_shortfall_mwh,delta_thermal_starts
1,,False,366,01-01-2020,2.0,1555654.17159,44609.283073,503625664.676551,196231.789587,5031,936227.521955,502689437.154596,569689.99193,11393799.8386,-132921.6058319998,3109.1677349999954,-19791336.654487014,-7449.565281999996,-152
2,,False,366,01-01-2020,2.0,1457874.03889,45521.204069,511332279.552457,196946.660292,4983,1644060.020706,509688219.531751,969058.499508,19381169.99016,-230701.73853199976,4021.088730999996,-12792554.277332008,-6734.694577000017,-200
3,,False,366,01-01-2020,2.0,1381422.047685,43680.366449,518760715.691962,181041.894397,4819,2307467.379992,516453248.31197,1369537.635503,27390752.71006,-307153.7297369996,2180.2511109999978,-6027525.497112989,-22639.460472000006,-364
4,,False,366,01-01-2020,2.0,1305913.059376,38707.566681,526579318.465426,179312.592303,4808,3129551.693546,523449766.77188003,1766401.207663,35328024.15326,-382662.71804599976,-2792.5486570000066,968992.9627970457,-24368.76256599999,-375
5,,False,366,01-01-2020,2.0,1234000.345983,40383.938609,534264473.54973,176176.466287,4671,3951225.295567,530313248.254163,2163275.04761,43265500.952199996,-454575.4314389997,-1116.1767290000062,7832474.445080042,-27504.888582000014,-512
6,,False,366,01-01-2020,2.0,1183201.2146909998,34772.521835,542811648.306805,162730.165096,4494,4711218.563167,538100429.743638,2561339.535921,51226790.71842,-505374.5627309999,-6727.593503000004,15619655.934555054,-40951.18977299999,-689
7,,False,366,01-01-2020,2.0,1126300.395889,36126.607176,551003386.116687,156655.518536,4326,5775155.380818,545228230.735869,2951805.435487,59036108.70974,-562275.3815329997,-5373.5081620000055,22747456.926786065,-47025.836333000014,-857
8,,False,366,01-01-2020,2.0,1079591.012082,31752.980461,559152373.134407,140384.860663,4251,6564170.887469,552588202.246938,3349495.727819,66989914.556379996,-608984.7653399997,-9747.134877000004,30107428.437855005,-63296.494206,-932
9,,False,366,01-01-2020,2.0,1415773.319871,42266.092424,532418289.04196,194888.661954,4915,894348.55344,531523940.48852,796177.0484440001,15923540.968880001,-272802.4575509997,765.977085999999,9043166.679437041,-8792.692914999992,-268
10,,False,366,01-01-2020,2.0,1415184.9339979999,39591.00054,532407273.139474,188662.7961,4885,850615.95252,531556657.18695396,797674.501187,15953490.02374,-273390.84342399985,-1909.1147980000023,9075883.377870977,-15018.558768999996,-298
