index,site,kind,pem_capacity_mw,pem_bid,h2_mwh,h2_kg,pem_grid_sales_mwh,site_market_revenue_usd,uplift_usd
1,121_NUCLEAR_1,thermal,67.52,40.0,569689.99193,11393799.8386,,72784289.118233,0.0
2,121_NUCLEAR_1,thermal,114.99999999999999,40.0,969058.499508,19381169.99016,,67910184.642161,0.0
3,121_NUCLEAR_1,thermal,162.48,40.0,1369537.635503,27390752.71006,,61582190.434771,0.0
4,121_NUCLEAR_1,thermal,210.0,40.0,1766401.207663,35328024.15326,,54390038.52394,0.0
5,121_NUCLEAR_1,thermal,257.52000000000004,40.0,2163275.04761,43265500.952199996,,48997716.257985,0.0
6,121_NUCLEAR_1,thermal,305.0,40.0,2561339.535921,51226790.71842,,42184369.336794,0.0
7,121_NUCLEAR_1,thermal,352.48,40.0,2951805.435487,59036108.70974,,35621450.010858,118163.644302
8,121_NUCLEAR_1,thermal,400.0,40.0,3349495.727819,66989914.556379996,,28602901.996948,309070.106779
9,319_PV_1,renewable,165.84184,40.0,442539.31481,8850786.2962,12147.50063,1183468.276996,0.0
9,324_PV_1,renewable,43.79564,40.0,117963.066966,2359261.33932,3602.114754,329978.703432,0.0
9,324_PV_2,renewable,45.46992,40.0,117142.983584,2342859.67168,3527.033536,332636.580483,0.0
9,324_PV_3,renewable,44.9412,40.0,118531.683084,2370633.66168,3082.064916,328358.534447,0.0
10,319_PV_1,renewable,188.2,40.0,443378.450409,8867569.00818,11509.549591,1194455.542313,0.0
10,324_PV_1,renewable,49.7,40.0,118234.927326,2364698.5465200003,3420.272674,318035.742333,0.0
10,324_PV_2,renewable,51.6,40.0,117424.53508,2348490.7016000003,3297.46492,319685.47784,0.0
10,324_PV_3,renewable,51.0,40.0,118636.588372,2372731.76744,3038.111628,316572.748886,0.0
