index,oat_site,anchor,num_days,start_date,rho_h2,true_curtailment_mwh,load_shed_mwh,total_cost_raw_usd,reserve_shortfall_mwh,thermal_starts,synthetic_bid_cost_usd,total_cost_less_synthetic_usd,pem_withheld_mwh_total,h2_kg_total,delta_curtailment_mwh,delta_load_shed_mwh,delta_cost_less_synthetic_usd_APPROX,delta_reserve_shortfall_mwh,delta_thermal_starts
1,,False,366,01-01-2020,1.5,1663444.2044660002,44681.625082,496420931.650934,202480.978675,5126,270401.355886,496150530.295048,166666.62146000005,3333332.429200001,-25131.572955999523,3181.5097439999954,-26330243.514034986,-1200.3761940000113,-57
2,,False,366,01-01-2020,1.5,1612789.509967,44112.228828,499626583.422422,202087.86144,5188,542826.873932,499083756.54849,355401.45088399993,7108029.017679999,-75786.26745499973,2612.113489999996,-23397017.260592997,-1593.4934289999946,5
3,,False,366,01-01-2020,1.5,1560815.0879179998,44840.197455,503271490.367828,197276.490783,5139,805637.81104,502465852.556788,544105.406281,10882108.12562,-127760.68950399989,3340.082116999998,-20014921.252294958,-6404.864086000016,-44
4,,False,366,01-01-2020,1.5,1519491.7342710001,43829.617759,506148777.348084,197688.885654,5129,1144456.487899,505004320.86018497,730627.1304119998,14612542.608239995,-169084.04315099958,2329.5024209999974,-17476452.948898017,-5992.46921499999,-54
5,,False,366,01-01-2020,1.5,1472437.843342,44993.26618,509721403.432533,191462.400364,5092,1419983.972003,508301419.46053004,918907.2009239998,18378144.018479995,-216137.9340799998,3493.1508419999955,-14179354.348552942,-12218.954505000002,-91
6,,False,366,01-01-2020,1.5,1431851.7575409994,43202.713448,513138563.037756,190120.700613,5061,1743174.6363300001,511395388.401426,1105598.4987890003,22111969.975780006,-256724.01988100028,1702.598109999999,-11085385.407656968,-13560.654256000009,-122
7,,False,366,01-01-2020,1.5,1389978.4270330002,44996.190143,516818664.224967,183353.698272,5061,2070548.616911,514748115.608056,1292501.712766,25850034.25532,-298597.35038899956,3496.0748049999966,-7732658.201026976,-20327.656596999994,-122
8,,False,366,01-01-2020,1.5,1352699.682438,43657.150042,520175606.269137,183341.608028,4894,2423473.593074,517752132.676063,1478201.866896,29564037.33792,-335876.0949839996,2157.034703999998,-4728641.133019984,-20339.746841000015,-289
9,,False,366,01-01-2020,1.5,1318484.836908,41510.902554,524290581.378404,184359.374318,4789,3005792.331514,521284789.04689,1656606.922282,33132138.44564,-370090.94051399967,10.787215999996988,-1195984.7621929646,-19321.980551000015,-394
10,,False,366,01-01-2020,1.5,1564097.1416769999,43058.23813,525511207.149136,196332.166996,5296,616275.42489,524894931.724246,250744.935837,5014898.71674,-124478.63574499986,1558.1227919999947,2414157.91516304,-7349.187872999988,113
11,,False,366,01-01-2020,1.5,1348406.8486280001,37193.611752,529317434.431801,181311.865795,4886,1597334.2774500002,527720100.154351,666290.6176850001,13325812.3537,-340168.9287939996,-4306.503586000006,5239326.345268011,-22369.489074000012,-297
12,,False,366,01-01-2020,1.5,1197653.62367,34962.478595,531687919.562512,172036.411905,4885,2381320.4440499996,529306599.11846197,983404.514365,19668090.287299998,-490922.15375199984,-6537.636743000003,6825825.309378982,-31644.942964000016,-298
13,,False,366,01-01-2020,1.5,1091918.1122799995,32557.004683,533149594.98283,157944.464878,4664,2826254.69055,530323340.29227996,1243033.530915,24860670.6183,-596657.6651420002,-8943.110655000004,7842566.483196974,-45736.889991000004,-519
14,,False,366,01-01-2020,1.5,997192.7500770001,32515.134241,535310827.443952,150583.809763,4549,3206719.5310199996,532104107.91293204,1459277.998965,29185559.9793,-691383.0273449996,-8984.981097000004,9623334.103849053,-53097.545106000005,-634
15,,False,366,01-01-2020,1.5,945398.0273849999,30825.125728,537307299.398316,138197.766583,4488,3534512.18064,533772787.21767604,1638087.823514,32761756.47028,-743177.7500369998,-10674.989610000004,11292013.408593059,-65483.58828600001,-695
16,,False,366,01-01-2020,1.5,899663.6935800002,26824.98471,538361683.890075,134538.557256,4310,3790767.40116,534570916.48891497,1784488.349128,35689766.98256,-788912.0838419995,-14675.130628000003,12090142.679831982,-69142.797613,-873
17,,False,366,01-01-2020,1.5,857419.9271009997,26363.525621,539630535.848805,132679.240629,4304,4192779.2880299995,535437756.5607749,1888124.846799,37762496.93598,-831155.850321,-15136.589717000003,12956982.751691937,-71002.11424,-879
