index,site,kind,pem_capacity_mw,pem_bid,h2_mwh,h2_kg,pem_grid_sales_mwh,site_market_revenue_usd,uplift_usd
1,121_NUCLEAR_1,thermal,20.0,30.0,166666.62146000005,3333332.429200001,,76758039.05934,0.0
2,121_NUCLEAR_1,thermal,42.52,30.0,355401.45088399993,7108029.017679999,,75007332.776364,0.0
3,121_NUCLEAR_1,thermal,65.0,30.0,544105.406281,10882108.12562,,72918517.951723,0.0
4,121_NUCLEAR_1,thermal,87.52,30.0,730627.1304119998,14612542.608239995,,71270673.665808,0.0
5,121_NUCLEAR_1,thermal,110.00000000000001,30.0,918907.2009239998,18378144.018479995,,68910272.352542,0.0
6,121_NUCLEAR_1,thermal,132.48,30.0,1105598.4987890003,22111969.975780006,,65919074.405067,0.0
7,121_NUCLEAR_1,thermal,155.0,30.0,1292501.712766,25850034.25532,,63241025.884362,0.0
8,121_NUCLEAR_1,thermal,177.48,30.0,1478201.866896,29564037.33792,,61739859.497746,0.0
9,121_NUCLEAR_1,thermal,200.0,30.0,1656606.922282,33132138.44564,,58418848.412191,0.0
10,303_WIND_1,renewable,42.35,30.0,250744.935837,5014898.71674,20542.514163,-4488479.387561001,0.0
11,303_WIND_1,renewable,142.9736,30.0,666290.6176850001,13325812.3537,53244.475915,219137.42108299956,0.0
12,303_WIND_1,renewable,243.5125,30.0,983404.514365,19668090.287299998,79377.348135,4644840.959245999,0.0
13,303_WIND_1,renewable,344.0514,30.0,1243033.530915,24860670.6183,94208.489685,9536838.407921,0.0
14,303_WIND_1,renewable,444.675,30.0,1459277.998965,29185559.9793,106890.651034,9481404.997017,0.0
15,303_WIND_1,renewable,545.2986000000001,30.0,1638087.823514,32761756.47028,117817.072688,9551600.710369,0.0
16,303_WIND_1,renewable,645.8375,30.0,1784488.349128,35689766.98256,126358.913372,9332071.56589,0.0
17,303_WIND_1,renewable,746.3764,30.0,1888124.846799,37762496.93598,139759.309601,8124694.086076001,0.0
18,303_WIND_1,renewable,847.0,30.0,1944423.649829,38888472.99658,145333.750171,7187640.553858,0.0
19,317_WIND_1,renewable,39.955000000000005,30.0,226720.328362,4534406.56724,26128.146638,-6013169.334872,0.0
20,317_WIND_1,renewable,134.88808,30.0,629040.140902,12580802.81804,65573.864618,-51564.560242000036,0.0
21,317_WIND_1,renewable,229.74124999999998,30.0,964812.81646,19296256.3292,95565.78229,4311975.385410001,0.0
22,317_WIND_1,renewable,324.59442,30.0,1264378.695449,25287573.90898,113335.538711,5503310.826577,0.0
23,317_WIND_1,renewable,419.52750000000003,30.0,1524172.37031,30483447.4062,130633.88468999999,6754800.998706999,0.0
24,317_WIND_1,renewable,514.46058,30.0,1749484.00839,34989680.1678,141179.13807000002,7058016.897597,0.0
25,317_WIND_1,renewable,609.31375,30.0,1941584.185495,38831683.7099,143811.837005,6194893.211444,0.0
26,317_WIND_1,renewable,704.16692,30.0,2078303.204833,41566064.09666,151458.538327,4430481.80588,0.0
27,317_WIND_1,renewable,799.1,30.0,2155857.487067,43117149.74134,146182.712933,3942913.620911,0.0
28,122_WIND_1,renewable,35.675000000000004,30.0,216020.317495,4320406.3499,23662.232505,-1437293.5551380003,0.0
29,122_WIND_1,renewable,120.4388,30.0,588197.852353,11763957.04706,63305.652047,1790066.926631,0.0
30,122_WIND_1,renewable,205.13125,30.0,887733.588003,17754671.76006,93783.974497,6446993.697124001,0.0
31,122_WIND_1,renewable,289.82370000000003,30.0,1146496.576581,22929931.531619996,116556.863919,8725885.186939001,0.0
