index,oat_site,anchor,num_days,start_date,rho_h2,true_curtailment_mwh,load_shed_mwh,total_cost_raw_usd,reserve_shortfall_mwh,thermal_starts,synthetic_bid_cost_usd,total_cost_less_synthetic_usd,pem_withheld_mwh_total,h2_kg_total,delta_curtailment_mwh,delta_load_shed_mwh,delta_cost_less_synthetic_usd_APPROX,delta_reserve_shortfall_mwh,delta_thermal_starts
1,,False,366,01-01-2020,2.0,1657704.5452259993,45598.150524,496474711.91822,208241.535171,5211,317799.191114,496156912.727106,167735.02020200016,3354700.404040003,-30871.232196000405,4098.035185999994,-26323861.08197701,4560.180301999993,28
2,,False,366,01-01-2020,2.0,1598863.8114659993,46150.561337,499558153.926066,204708.509579,5226,608995.294092,498949158.631974,358270.797669,7165415.95338,-89711.96595600038,4650.445998999996,-23531615.177109003,1027.1547100000025,43
3,,False,366,01-01-2020,2.0,1571774.5541100001,44470.321369,503014051.963755,201252.879796,5105,908890.505366,502105161.458389,548237.7373449998,10964754.746899996,-116801.22331199958,2970.2060309999943,-20375612.350694,-2428.4750730000087,-78
4,,False,366,01-01-2020,2.0,1524566.7057730006,45273.631546,506440792.528098,191181.954334,5026,1231560.473881,505209232.054217,737986.6681769998,14759733.363539996,-164009.07164899912,3773.5162079999936,-17271541.754866004,-12499.400534999993,-157
5,,False,366,01-01-2020,2.0,1480063.0760810005,43646.418499,510449909.844641,192274.934404,4974,1585951.9794359999,508863957.865205,926591.2004869999,18531824.00974,-208512.70134099922,2146.303160999996,-13616815.943877995,-11406.420465000003,-209
6,,False,366,01-01-2020,2.0,1436189.9902050004,43780.566641,513700065.952509,186797.268424,4997,1780867.245598,511919198.70691097,1119182.6388620003,22383652.777240008,-252385.78721699934,2280.4513029999944,-10561575.102172017,-16884.086444999994,-186
7,,False,366,01-01-2020,2.0,1388233.3028510003,43920.455258,517351300.83645,189297.271239,4972,2188372.044363,515162928.79208696,1306810.698866,26136213.97732,-300342.4745709994,2420.3399199999985,-7317845.016996026,-14384.083630000008,-211
8,,False,366,01-01-2020,2.0,1361354.9710709995,42033.129591,521337858.282231,189563.255421,4883,2531606.8137519998,518806251.468479,1495694.1496599999,29913882.993199997,-327220.8063510002,533.0142529999939,-3674522.3406040072,-14118.099447999994,-300
9,,False,366,01-01-2020,2.0,1311054.4459409995,39958.095438,524835995.418495,182210.815229,4838,2947554.187411,521888441.231084,1683111.145298,33662222.90596,-377521.3314810002,-1542.0199000000066,-592332.5779989958,-21470.539640000003,-345
10,,False,366,01-01-2020,2.0,1571902.7658699995,39532.037639,525611029.54209,195202.459165,5002,831017.4678,524780012.07429,250512.013305,5010240.2661,-116673.01155200019,-1968.0776990000013,2299238.2652069926,-8478.895703999995,-181
11,,False,366,01-01-2020,2.0,1370969.093474,35695.542675,529107348.448502,179636.505454,4831,2030050.2177600001,527077298.230742,668783.838156,13375676.76312,-317606.6839479997,-5804.572663000006,4596524.421658993,-24044.849415000004,-352
12,,False,366,01-01-2020,2.0,1196368.5092199997,35471.987144,531563195.717954,157648.924374,4710,2890431.77264,528672763.945314,990521.068184,19810421.363679998,-492207.26820200006,-6028.128194000004,6191990.136231005,-46032.43049500001,-473
13,,False,366,01-01-2020,2.0,1094859.8757740003,31855.536801,533981550.883783,146243.177782,4579,3396045.99464,530585504.889143,1252340.870735,25046817.414699998,-593715.9016479994,-9644.578537000005,8104731.080060005,-57438.17708699999,-604
14,,False,366,01-01-2020,2.0,1012805.3885670002,28339.840616,536053454.989759,132368.972611,4478,3808376.85964,532245078.130119,1470959.228509,29419184.57018,-675770.3888549996,-13160.274722000002,9764304.32103604,-71312.382258,-705
15,,False,366,01-01-2020,2.0,945204.3447780001,30155.268949,537782164.602504,128650.90676,4371,4172400.4132399997,533609764.189264,1651594.8858689999,33031897.71738,-743371.4326439996,-11344.846389000002,11128990.380181015,-75030.448109,-812
16,,False,366,01-01-2020,2.0,907094.3269420002,25457.396171,539401472.060405,122899.97832,4196,4330037.48812,535071434.572285,1802596.325297,36051926.50594,-781481.4504799995,-16042.719167000003,12590660.763202012,-80781.37654900001,-987
17,,False,366,01-01-2020,2.0,873630.5793300001,25107.729046,540914233.94263,122289.188414,3972,4359784.86676,536554449.07587004,1918889.534731,38377790.69462,-814945.1980919996,-16392.386292000003,14073675.266787052,-81392.166455,-1211
18,,False,366,01-01-2020,2.0,859629.9251600004,22524.58723,541685788.413151,120423.418107,3969,4639212.39092,537046576.022231,1973777.090227,39475541.80454,-828945.8522619993,-18975.528108000002,14565802.213147998,-83257.936762,-1214
19,,False,366,01-01-2020,2.0,1614859.6355399997,39904.39196,525288973.305191,196299.303604,4997,1031110.0702799999,524257863.23491096,227070.723243,4541414.46486,-73716.14188200003,-1595.7233780000024,1777089.42582798,-7382.051265000016,-186
20,,False,366,01-01-2020,2.0,1468265.5070860002,36995.210228,529828386.278063,166857.910303,4604,2482091.30472,527346294.973343,632561.722902,12651234.458039999,-220310.27033599955,-4504.90511,4865521.16426003,-36823.44456599999,-579
21,,False,366,01-01-2020,2.0,1364861.2571650008,31111.189092,533618878.653275,144155.06853,4418,3512294.05932,530106584.59395504,972571.247267,19451424.94534,-323714.52025699895,-10388.926246000003,7625810.784872055,-59526.28633900001,-765
22,,False,366,01-01-2020,2.0,1263685.4318910001,23332.793957,537060477.818421,121888.056721,4139,4228640.35632,532831837.462101,1271998.2252520001,25439964.505040005,-424890.3455309996,-18167.321381,10351063.653017998,-81793.298148,-1044
23,,False,366,01-01-2020,2.0,1172316.463137,18885.668128,540077854.359045,113212.947732,4041,4477874.87412,535599979.48492503,1542859.3831469999,30857187.662939996,-516259.3142849996,-22614.447210000002,13119205.675842047,-90468.407137,-1142
24,,False,366,01-01-2020,2.0,1097656.369287,13212.834245,543743226.8326,99685.091087,3871,4544040.73972,539199186.09288,1777062.127967,35541242.55934,-590919.4081349997,-28287.281093000005,16718412.283797026,-103996.26378200001,-1312
25,,False,366,01-01-2020,2.0,1047544.5298320001,12708.257883,546387005.923063,89800.070716,3715,4453091.309040001,541933914.6140231,1974068.7397740001,39481374.795480005,-641031.2475899996,-28791.857455000005,19453140.804940104,-113881.284153,-1468
