index,site,kind,pem_capacity_mw,pem_bid,h2_mwh,h2_kg,pem_grid_sales_mwh,site_market_revenue_usd,uplift_usd
1,121_NUCLEAR_1,thermal,20.0,40.0,167735.02020200016,3354700.404040003,,76761597.139757,0.0
2,121_NUCLEAR_1,thermal,42.52,40.0,358270.797669,7165415.95338,,74820677.244516,0.0
3,121_NUCLEAR_1,thermal,65.0,40.0,548237.7373449998,10964754.746899996,,72581757.902375,0.0
4,121_NUCLEAR_1,thermal,87.52,40.0,737986.6681769998,14759733.363539996,,70817216.630466,0.0
5,121_NUCLEAR_1,thermal,110.00000000000001,40.0,926591.2004869999,18531824.00974,,68305720.504314,0.0
6,121_NUCLEAR_1,thermal,132.48,40.0,1119182.6388620003,22383652.777240008,,65100560.780526,0.0
7,121_NUCLEAR_1,thermal,155.0,40.0,1306810.698866,26136213.97732,,62273102.976473,0.0
8,121_NUCLEAR_1,thermal,177.48,40.0,1495694.1496599999,29913882.993199997,,60186911.452584,0.0
9,121_NUCLEAR_1,thermal,200.0,40.0,1683111.145298,33662222.90596,,56978739.716132,0.0
10,303_WIND_1,renewable,42.35,40.0,250512.013305,5010240.2661,20775.436695,-2580390.573841,0.0
11,303_WIND_1,renewable,142.9736,40.0,668783.838156,13375676.76312,50751.255444,1350043.5666629998,0.0
12,303_WIND_1,renewable,243.5125,40.0,990521.068184,19810421.363679998,72260.794316,4683888.175071,0.0
13,303_WIND_1,renewable,344.0514,40.0,1252340.870735,25046817.414699998,84901.149866,9185006.460531,0.0
14,303_WIND_1,renewable,444.675,40.0,1470959.228509,29419184.57018,95209.421491,10110290.474236,0.0
15,303_WIND_1,renewable,545.2986000000001,40.0,1651594.8858689999,33031897.71738,104310.010331,9201794.105933,0.0
16,303_WIND_1,renewable,645.8375,40.0,1802596.325297,36051926.50594,108250.937203,8411602.090697,0.0
17,303_WIND_1,renewable,746.3764,40.0,1918889.534731,38377790.69462,108994.621669,7839873.216171,0.0
18,303_WIND_1,renewable,847.0,40.0,1973777.090227,39475541.80454,115980.309773,7691597.09648,0.0
19,317_WIND_1,renewable,39.955000000000005,40.0,227070.723243,4541414.46486,25777.751756999998,-7254122.089531999,0.0
20,317_WIND_1,renewable,134.88808,40.0,632561.722902,12651234.458039999,62052.282618,399788.8003420001,0.0
21,317_WIND_1,renewable,229.74124999999998,40.0,972571.247267,19451424.94534,87807.351483,3503423.347632,0.0
22,317_WIND_1,renewable,324.59442,40.0,1271998.2252520001,25439964.505040005,105716.008908,7020028.576683,0.0
23,317_WIND_1,renewable,419.52750000000003,40.0,1542859.3831469999,30857187.662939996,111946.871853,7395540.2827,0.0
24,317_WIND_1,renewable,514.46058,40.0,1777062.127967,35541242.55934,113601.018493,8476996.119139,0.0
25,317_WIND_1,renewable,609.31375,40.0,1974068.7397740001,39481374.795480005,111327.282726,7496420.786344,0.0
26,317_WIND_1,renewable,704.16692,40.0,2128272.830561,42565456.61122,101488.912599,5314420.2955559995,0.0
27,317_WIND_1,renewable,799.1,40.0,2197420.865746,43948417.31491999,104619.334254,4395526.643153,0.0
28,122_WIND_1,renewable,35.675000000000004,40.0,216294.66443499998,4325893.288699999,23387.885564999997,-2016459.1543339998,0.0
29,122_WIND_1,renewable,120.4388,40.0,592195.496726,11843909.934519999,59308.007674,2197513.780925,0.0
30,122_WIND_1,renewable,205.13125,40.0,891129.782458,17822595.64916,90387.780042,7495217.273963,0.0
