Simulation,Category,Object,Parameter,Data File
DAY_AHEAD,Area,1,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,2,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,3,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,4,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,5,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,6,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,7,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,8,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,9,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,10,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,11,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,12,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,13,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,14,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,15,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,16,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,17,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,18,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,19,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,20,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,21,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,22,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,23,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,24,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,25,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,26,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,27,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,28,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,29,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,30,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,31,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,32,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,33,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,34,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,35,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,36,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,37,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,38,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,39,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,40,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,41,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,42,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,43,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,44,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,45,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,46,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,47,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,48,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,49,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,50,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,51,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,52,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,53,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,54,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,55,MW Load,DAY_AHEAD_load.csv
DAY_AHEAD,Area,56,MW Load,DAY_AHEAD_load.csv
