Date,Demand,Renewables available,Renewables used,Renewables penetration rate,Average price,Fixed costs,Generation costs,Load shedding,Over generation,Reserve shortfall,Renewables curtailment,Number on/offs,Sum on/off ramps,Sum nominal ramps,Renewables energy payments,Renewables uplift payments,Thermal energy payments,Thermal uplift payments,Total energy payments,Total uplift payments,Total reserve payments,Total payments,Average payments
2019-01-01,986649.81,295013.79,256223.003736,35.078532,10.244746,7021058.137047,3086918.14728,0.0,0.0,0.0,38790.786264,57,3931.41,53772.403095,3049578.709282,0.0,19272630.24487,0.0,22322208.954152,0.0,539028.934796,22861237.888949,23.170569
2019-01-02,1136655.54,130939.9,130801.537848,13.004028,17.461661,15368691.184999,4479202.354382,0.0,0.0,0.0,138.362152,30,6552.15,50892.091377,3752978.071436,0.0,46539171.552217,0.0,50292149.623653,0.0,1175080.983317,51467230.606969,45.279532
2019-01-03,1100872.77,151029.29,144026.996147,15.052269,15.964797,13425876.493208,4149333.869745,0.0,0.0,0.0,7002.293853,41,7170.45,50472.479384,2677293.168981,0.0,32761681.234842,0.0,35438974.403823,0.0,972818.369518,36411792.773341,33.075387
2019-01-04,1013727.34,139993.84,135983.956052,15.49245,13.279227,9983652.866475,3477862.189649,0.0,0.0,0.0,4009.883948,41,6998.55,48748.921728,2588451.762062,0.0,22719994.51816,0.0,25308446.280222,0.0,876300.120318,26184746.400539,25.830167
2019-01-05,903816.2,156305.99,149809.567031,19.868468,10.624556,6907277.556423,2695367.947967,0.0,0.0,0.0,6496.422969,45,4791.99,35132.632713,2101032.911759,0.0,16537037.008634,0.0,18638069.920393,0.0,668270.946628,19306340.867021,21.360915
2019-01-06,837425.54,299729.54,261673.457371,45.448981,7.030219,4054307.651405,1832977.380964,0.0,0.0,0.0,38056.082629,56,3934.08,40860.321347,2297881.777962,0.0,10068329.759178,0.0,12366211.53714,0.0,-45636.39938,12320575.137761,14.712443
2019-01-07,835476.71,274965.24,236868.883526,39.569961,7.596887,4450186.156097,1896836.089852,0.0,0.0,0.0,38096.356474,56,6393.3,40019.386809,2136081.279258,0.0,11477184.731304,0.0,13613266.010562,0.0,218896.162895,13832162.173457,16.556012
2019-01-08,854810.49,179507.09,162823.849449,23.529912,9.26602,5503850.256145,2416840.752884,0.0,0.0,0.0,16683.240551,47,5594.16,45519.22435,2159080.464687,0.0,14403739.421375,0.0,16562819.886062,0.0,580159.220096,17142979.106158,20.054713
2019-01-09,887344.94,198454.88,189973.268478,27.241323,9.764058,6090672.125817,2573414.943545,0.0,0.0,0.0,8481.611522,45,6581.4,43525.412796,2815297.471552,0.0,16859326.872704,0.0,19674624.344256,0.0,504105.416053,20178729.760309,22.74057
2019-01-10,933598.34,217570.5,189954.040802,25.543669,10.549087,6878344.448461,2970265.485164,0.0,0.0,0.0,27616.459198,47,4971.33,38904.772258,2343590.210176,0.0,18515209.661754,0.0,20858799.87193,0.0,521288.661529,21380088.533459,22.900735
