Generator,unit_type,is_pem,output_mwh,curtailment_mwh,Unit Market Revenue,Unit Uplift Payment,Unit Cost,starts,pmax_mw
101,PV,False,16199.598883,26420.961117,190207.04078,0.0,,,18.66666666666667
102,WIND,False,174774.132901,13023.787099,1617718.986812,0.0,,,80.50009646431697
103,WIND,False,151588.409095,11484.670904999999,1389133.380519,0.0,,,70.0000947194203
104,WIND,False,27484.763889,2547.236111,250555.593435,0.0,,,13.00007328143217
106,PV,False,913332.67,0.0,15283768.936072,0.0,,,400.0
109,WIND,False,685297.1,0.0,10669353.864003,0.0,,,199.9999318490493
110,WIND,False,1343935.248995,344842.69100500003,16019090.258625,0.0,,,338.599998942999
111,PV,False,67664.25,0.0,1741451.812842,0.0,,,32.0
113,WIND,False,319224.179801,67884.990199,3468166.47543,0.0,,,150.0001006265589
115,WIND,False,317002.752266,70106.417734,3462879.638829,0.0,,,150.0001006265589
116,PV,False,194410.464685,244794.445315,7927592.125137,0.0,,,199.3333333333333
117,WIND,False,18486.627041,5286.932959,210921.529071,0.0,,,10.0000765408814
119,WIND,False,700629.13,0.0,32404145.418551,0.0,,,199.9999881797006
120,WIND,False,412025.44,0.0,19056836.607758,0.0,,,117.5999879336357
123,PV,False,15222.05,0.0,254717.733615,0.0,,,6.666666666666667
125,WIND,False,690865.32,0.0,8582786.558652,0.0,,,174.1999763095554
126,PV,False,684999.27,0.0,11462830.759841,0.0,,,300.0
127,PV,False,879082.58,0.0,14710618.470746,0.0,,,385.0
128,WIND,False,985385.88,0.0,12253432.980061,0.0,,,249.4999759911978
131,WIND,False,139084.56214,9873.41786,1620371.933862,0.0,,,100.0000409955779
132,WIND,False,206424.304804,13784.015196,2389311.483602,0.0,,,147.0000420015917
133,WIND,False,449219.391675,874.888325,9428859.891898,0.0,,,139.8039647700775
134,WIND,False,0.0,0.0,0.0,0.0,,,6.178165706542476e-05
135,WIND,False,601611.338356,356.351644,12598317.274631,0.0,,,187.3297783473275
136,WIND,False,231050.71,0.0,4964347.66466,0.0,,,153.0000242562797
139,WIND,False,513624.2,0.0,8025526.486654,0.0,,,149.799988246077
140,WIND,False,987826.29153,262048.72847,11623879.871117,0.0,,,250.5999989428539
141,WIND,False,1031806.66305,52950.16695,10692414.596236,0.0,,,229.9999967377302
142,PV,False,1545228.371242,54217.278758,29726854.49583,0.0,,,703.3333333333334
143,WIND,False,341602.153569,210906.766431,4118176.820843,0.0,,,238.4999880303343
145,WIND,False,191634.2,0.0,2805825.973851,0.0,,,100.0000360514749
146,WIND,False,1107323.523677,313613.836323,14812701.601876,0.0,,,267.9999991911224
152,PV,False,30584.92,0.0,839334.592624,0.0,,,14.66666666666667
153,PV,False,38197.726159,53.883841,1068600.66797,0.0,,,18.33333333333334
154,PV,False,279115.08,0.0,7183497.078563,0.0,,,132.0
157,WIND,False,979049.072154,29640.157846,13019503.307781,0.0,,,249.9999989733363
158,PV,False,1169125.938259,24401.241741,22371210.037002,0.0,,,536.6666666666667
159,WIND,False,0.0,0.0,0.0,0.0,,,1.455330936732537e-05
160,PV,False,9775.47,0.0,280337.44951,0.0,,,4.666666666666667
161,PV,False,212305.315717,14214.564283,3868493.349293,0.0,,,100.0
162,WIND,False,476296.94,0.0,33980542.897921,0.0,,,162.499984420327
163,WIND,False,215931.041505,542152.778495,3635010.107413,0.0,,,185.3999876467921
164,PV,False,30371.338328,48022.421672,373088.785467,0.0,,,33.33333333333334
167,PV,False,22225.773876,129.106124,2115619.748996,0.0,,,10.66666666666667
168,PV,False,11113.5,63.91,1057283.028555,0.0,,,5.333333333333334
169,WIND,False,0.0,0.0,0.0,0.0,,,1.547366779123746e-05
17,PV,False,173734.99,76.42999999999999,4958387.380182,0.0,,,80.0
170,PV,False,24315.652822,135.157178,2315016.356656,0.0,,,11.66666666666667
172,PV,False,29442.74,0.0,2606299.023926,0.0,,,14.0
173,PV,False,44865.2,0.0,3971532.777958,0.0,,,21.33333333333334
188,PV,False,39865.03,0.0,3504053.846759,0.0,,,19.0
19,WIND,False,2678041.298139,7718.041861,45269028.816629,0.0,,,643.299989366006
190,PV,False,34650.58,0.0,2733546.759895,0.0,,,16.0
