Line,cont_rating,max_abs_flow,p99_abs_flow,mean_abs_flow,sum_violation,hours_ge_99pct
L1,1207.06625,1207.06625,815.51201668,324.0040204776256,0.0,8
L10,1207.06625,652.02,558.0846999999998,241.03583447488586,0.0,0
L100,1493.89381,511.977147,275.53361801999984,65.12120397785388,0.0,0
L101,1326.57776,1294.235361,1012.1650608699998,642.7365539719178,0.0,0
L102,1326.57776,917.788808,782.7180669299997,325.03746660228313,0.0,0
L103,1326.57776,816.343466,594.95170265,404.77101413025116,0.0,0
L104,1207.06625,943.171814,653.71752782,215.71321963675797,0.0,0
L105,1326.57776,1326.57776,753.4771184399998,258.2719104053653,0.0,7
L106,1326.57776,1326.57776,753.4771184399998,258.2719104053653,0.0,7
L107,1326.57776,690.059682,457.87081349,156.662894686758,0.0,0
L108,1326.57776,690.059682,457.87081349,156.662894686758,0.0,0
L109,1326.57776,1326.57776,874.63933034,300.735276880137,0.0,1
L11,1207.06625,598.838874,508.69004028,244.81222848698627,0.0,0
L110,1207.06625,609.959381,396.74381312999975,121.292261061758,0.0,0
L111,1326.57776,639.881587,539.64613446,215.89922476541096,0.0,0
L112,1493.89381,1124.791134,765.492102,544.0149669118721,0.0,0
L113,1207.06625,1029.958442,876.6393105899999,227.45310538093608,0.0,0
L114,1207.06625,1207.06625,948.5659009599997,328.11549357111875,0.0,7
L115,1207.06625,1114.391615,644.43722181,232.36813001746575,0.0,0
L116,1326.57776,810.61307,705.0429808399998,164.53310895479453,0.0,0
L117,1326.57776,810.61307,705.0429808399998,164.53310895479453,0.0,0
L118,1326.57776,1308.177272,970.32874299,446.9408543921233,0.0,0
L119,1493.89381,1295.969364,855.13338616,276.505088343379,0.0,0
L12,1207.06625,595.964845,383.32290457,107.67126319383561,0.0,0
L120,1326.57776,813.45888,719.41058212,187.52301644269406,0.0,0
L121,1326.57776,813.45888,719.41058212,187.52301644269406,0.0,0
L122,1326.57776,1326.57776,1181.0135425199999,318.5204396522831,0.0,32
L123,1326.57776,820.567657,652.1845122999999,427.9114076971461,0.0,0
L124,1326.57776,820.567657,652.1845122999999,427.9114076971461,0.0,0
L125,1326.57776,674.961015,503.74546349,339.09325366187215,0.0,0
L126,1326.57776,692.613057,424.9549295399997,239.15385236107304,0.0,0
L127,1326.57776,692.613057,424.9549295399997,239.15385236107304,0.0,0
L128,1326.57776,682.637187,525.39979978,351.32690284828766,0.0,0
L129,1326.57776,942.878441,725.6975639399999,485.26298956050226,0.0,0
L13,1326.57776,847.179,826.19243446,272.3652779958904,0.0,0
L130,1326.57776,942.878441,725.6975639399999,485.26298956050226,0.0,0
L131,1493.89381,1108.493409,911.04766289,371.8187974622146,0.0,0
L132,1326.57776,1058.862351,740.5244521,366.48240055810504,0.0,0
L133,1207.06625,2555.310121,1207.06625,784.9969395359589,19498.879498,2549
L134,1326.57776,720.742578,684.7201033599999,337.71140938230593,0.0,0
L135,1207.06625,750.988544,670.73149783,344.4661805152968,0.0,0
L136,1326.57776,1240.797915,1056.0352901299998,480.81779877762557,0.0,0
L137,1326.57776,901.528632,822.02102071,406.15921723710045,0.0,0
L138,1326.57776,901.528632,822.02102071,406.15921723710045,0.0,0
L139,1326.57776,478.283032,436.10229544,215.47741791198632,0.0,0
L14,1493.89381,1056.744332,1030.56635255,339.73984676678083,0.0,0
L140,1326.57776,1001.258498,783.4548732699999,305.6500151869863,0.0,0
L141,1326.57776,840.558663,639.6418210399999,283.0735956847032,0.0,0
L142,1207.06625,136.68,117.2041,55.78553881278539,0.0,0
L143,1207.06625,1144.411526,982.24995048,626.3253696074202,0.0,0
L144,1326.57776,935.258057,793.450882,193.81975598892694,0.0,0
L145,1326.57776,1204.923001,1080.0345471899998,280.9052951817352,0.0,0
L146,1326.57776,539.512588,369.63628560999996,112.1820058696347,0.0,0
L147,1326.57776,1374.35,1315.9564,986.4398350063926,83.91896,114
L148,1207.06625,120.362164,114.61229274,71.89992034474885,0.0,0
L149,1207.06625,213.347836,203.15590726,127.44613330821917,0.0,0
L15,1326.57776,1264.93149,1212.2901428999999,364.5302086414383,0.0,0
L150,1326.57776,863.052369,776.849073,219.2883257950913,0.0,0
L151,1207.06625,1207.06625,1086.50220004,306.6969591635845,0.0,8
L152,1326.57776,1326.57776,1326.57776,646.2572320074202,0.0,1131
L153,1326.57776,890.121565,685.32060895,338.73034521221456,0.0,0
L154,1326.57776,890.121565,685.32060895,338.73034521221456,0.0,0
L155,1326.57776,890.121565,685.32060895,338.73034521221456,0.0,0
L156,1326.57776,684.605192,563.4947982399999,316.8649402279681,0.0,0
L157,1326.57776,684.605192,563.4947982399999,316.8649402279681,0.0,0
L158,1326.57776,1253.9,1215.7769,930.2379626501141,0.0,0
L159,1326.57776,1326.57776,1326.57776,472.88424690799087,0.0,500
L16,1207.06625,415.157002,397.87984155999993,119.64068385821918,0.0,0
L160,1326.57776,503.511026,334.50041102999995,97.12170373196346,0.0,0
L161,1326.57776,503.511026,334.50041102999995,97.12170373196346,0.0,0
L162,1207.06625,1551.446465,1042.30499608,500.3940987732877,1206.519684,9
L163,1326.57776,767.660689,650.3604210099999,235.0408729772831,0.0,0
L164,1326.57776,767.660689,650.3604210099999,235.0408729772831,0.0,0
L165,1207.06625,941.760013,741.53329566,381.0517019163242,0.0,0
L166,1326.57776,1326.57776,1326.57776,504.98094067557076,0.0,161
L167,1326.57776,1000.060612,837.418952,341.4721079649544,0.0,0
L168,1207.06625,266.879296,217.63447720999997,118.69835336780822,0.0,0
L169,1493.89381,1020.35953,922.35982353,425.21865067089044,0.0,0
L17,1326.57776,753.358139,597.1697600599999,376.6674110902968,0.0,0
L170,1326.57776,662.469519,570.7534753899998,160.94114012728312,0.0,0
L171,1326.57776,596.222567,513.6781277199999,144.84702611541096,0.0,0
L172,1207.06625,1047.244993,802.0431316399998,270.4428467303653,0.0,0
L173,855.10483,716.765858,619.3553383399999,390.1547378285388,0.0,0
L174,1326.57776,34.1675,31.379099999999998,19.8579200913242,0.0,0
L175,1326.57776,34.1675,31.379099999999998,19.8579200913242,0.0,0
