Date,Hour,Minute,Reserve,Scope,Magnitude,Shortfall,Price,DA Magnitude,DA Shortfall,DA Price
2019-01-01,0,0,reserve,system,3708.144,0.0,0.0,3708.144,0.0,9.731587
2019-01-01,1,0,reserve,system,3725.898,0.0,0.0,3725.898,0.0,7.568849
2019-01-01,2,0,reserve,system,3730.018,0.0,0.0,3730.018,0.0,2.332983
2019-01-01,3,0,reserve,system,3742.351,0.0,0.0,3742.351,0.0,0.0
2019-01-01,4,0,reserve,system,3789.527,0.0,0.0,3789.527,0.0,8.483227
2019-01-01,5,0,reserve,system,3882.508,0.0,0.0,3882.508,0.0,6.155831
2019-01-01,6,0,reserve,system,3991.068,0.0,0.0,3991.068,0.0,6.309517
2019-01-01,7,0,reserve,system,4043.658,0.0,0.0,4043.658,0.0,6.260711
2019-01-01,8,0,reserve,system,4095.022,0.0,0.0,4095.022,0.0,6.63898
2019-01-01,9,0,reserve,system,4176.345,0.0,0.0,4176.345,0.0,14.393858
2019-01-01,10,0,reserve,system,4224.997,0.0,0.0,4224.997,0.0,7.003226
2019-01-01,11,0,reserve,system,4229.669,0.0,4.125548,4229.669,0.0,6.134662
2019-01-01,12,0,reserve,system,4187.917,0.0,0.0,4187.917,0.0,8.347069
2019-01-01,13,0,reserve,system,4137.635,0.0,0.0,4137.635,0.0,1.940458
2019-01-01,14,0,reserve,system,4099.132,0.0,0.0,4099.132,0.0,0.0
2019-01-01,15,0,reserve,system,4101.588,0.0,0.0,4101.588,0.0,6.517445
2019-01-01,16,0,reserve,system,4184.215,0.0,0.0,4184.215,0.0,6.394499
2019-01-01,17,0,reserve,system,4405.87,0.0,16.054759,4405.87,0.0,7.161318
2019-01-01,18,0,reserve,system,4540.064,0.0,0.0,4540.064,0.0,6.839119
2019-01-01,19,0,reserve,system,4524.605,0.0,23.951636,4524.605,0.0,21.249259
2019-01-01,20,0,reserve,system,4484.433,0.0,0.0,4484.433,0.0,6.682572
2019-01-01,21,0,reserve,system,4390.175,0.0,0.0,4390.175,0.0,8.946941
2019-01-01,22,0,reserve,system,4220.658,0.0,0.0,4220.658,0.0,6.493271
2019-01-01,23,0,reserve,system,4049.484,0.0,0.0,4049.484,0.0,9.657976
2019-01-02,0,0,reserve,system,3924.669,0.0,0.0,3924.669,0.0,13.086859
2019-01-02,1,0,reserve,system,3857.795,0.0,0.0,3857.795,0.0,0.0
2019-01-02,2,0,reserve,system,3843.415,0.0,0.0,3843.415,0.0,5.52952
2019-01-02,3,0,reserve,system,3883.097,0.0,0.0,3883.097,0.0,1.586396
2019-01-02,4,0,reserve,system,4007.212,0.0,0.0,4007.212,0.0,9.153234
2019-01-02,5,0,reserve,system,4248.581,0.0,0.0,4248.581,0.0,5.958286
2019-01-02,6,0,reserve,system,4529.973,0.0,0.0,4529.973,0.0,9.602205
2019-01-02,7,0,reserve,system,4742.065,0.0,0.0,4742.065,0.0,8.484091
2019-01-02,8,0,reserve,system,4854.797,0.0,0.0,4854.797,0.0,10.178569
2019-01-02,9,0,reserve,system,4967.919,0.0,0.0,4967.919,0.0,15.896856
2019-01-02,10,0,reserve,system,5068.264,0.0,0.0,5068.264,0.0,0.0
2019-01-02,11,0,reserve,system,5125.653,0.0,0.0,5125.653,0.0,13.608337
2019-01-02,12,0,reserve,system,5141.429,0.0,0.0,5141.429,0.0,18.407304
2019-01-02,13,0,reserve,system,5145.522,0.0,0.0,5145.522,0.0,0.0
2019-01-02,14,0,reserve,system,5126.349,0.0,0.0,5126.349,0.0,14.521635
2019-01-02,15,0,reserve,system,5114.919,0.0,0.0,5114.919,0.0,0.0
2019-01-02,16,0,reserve,system,5138.154,0.0,0.0,5138.154,0.0,0.0
2019-01-02,17,0,reserve,system,5271.756,0.0,0.0,5271.756,0.0,13.367967
2019-01-02,18,0,reserve,system,5327.715,0.0,0.0,5327.715,0.0,33.556597
2019-01-02,19,0,reserve,system,5230.918,0.0,0.0,5230.918,0.0,15.440499
2019-01-02,20,0,reserve,system,5104.385,0.0,0.0,5104.385,0.0,9.087269
2019-01-02,21,0,reserve,system,4919.405,0.0,0.0,4919.405,0.0,11.460956
2019-01-02,22,0,reserve,system,4662.821,0.0,0.0,4662.821,0.0,0.0
2019-01-02,23,0,reserve,system,4428.741,0.0,0.0,4428.741,0.0,17.523267
2019-01-03,0,0,reserve,system,4247.06,0.0,0.0,4247.06,0.0,17.052294
2019-01-03,1,0,reserve,system,4144.547,0.0,0.0,4144.547,0.0,0.0
2019-01-03,2,0,reserve,system,4106.186,0.0,0.0,4106.186,0.0,16.883117
2019-01-03,3,0,reserve,system,4101.988,0.0,0.0,4101.988,0.0,0.0
2019-01-03,4,0,reserve,system,4199.932,0.0,0.0,4199.932,0.0,0.0
2019-01-03,5,0,reserve,system,4402.488,0.0,0.0,4402.488,0.0,12.219217
2019-01-03,6,0,reserve,system,4657.245,0.0,0.0,4657.245,0.0,7.2457
2019-01-03,7,0,reserve,system,4825.579,0.0,0.0,4825.579,0.0,16.313683
2019-01-03,8,0,reserve,system,4868.484,0.0,0.0,4868.484,0.0,8.639973
2019-01-03,9,0,reserve,system,4889.665,0.0,0.0,4889.665,0.0,10.841424
2019-01-03,10,0,reserve,system,4902.608,0.0,0.0,4902.608,0.0,10.399648
2019-01-03,11,0,reserve,system,4854.095,0.0,0.0,4854.095,0.0,7.013618
2019-01-03,12,0,reserve,system,4749.249,0.0,0.0,4749.249,0.0,7.229833
2019-01-03,13,0,reserve,system,4631.289,0.0,0.0,4631.289,0.0,6.881635
2019-01-03,14,0,reserve,system,4521.614,0.0,0.0,4521.614,0.0,7.361473
2019-01-03,15,0,reserve,system,4453.04,0.0,0.0,4453.04,0.0,0.0
2019-01-03,16,0,reserve,system,4477.264,0.0,0.0,4477.264,0.0,0.0
2019-01-03,17,0,reserve,system,4651.285,0.0,2.981424,4651.285,0.0,10.300756
2019-01-03,18,0,reserve,system,4859.656,0.0,2.351384,4859.656,0.0,10.779572
2019-01-03,19,0,reserve,system,4881.473,0.0,0.0,4881.473,0.0,19.073122
2019-01-03,20,0,reserve,system,4864.715,0.0,0.0,4864.715,0.0,7.508063
2019-01-03,21,0,reserve,system,4776.528,0.0,0.0,4776.528,0.0,6.676226
2019-01-03,22,0,reserve,system,4602.102,0.0,0.0,4602.102,0.0,8.870782
2019-01-03,23,0,reserve,system,4419.185,0.0,0.0,4419.185,0.0,10.163835
2019-01-04,0,0,reserve,system,4306.239,0.0,0.0,4306.239,0.0,14.305788
2019-01-04,1,0,reserve,system,4251.588,0.0,0.0,4251.588,0.0,6.443603
2019-01-04,2,0,reserve,system,4236.744,0.0,0.0,4236.744,0.0,13.288714
2019-01-04,3,0,reserve,system,4273.201,0.0,0.0,4273.201,0.0,0.0
2019-01-04,4,0,reserve,system,4370.485,0.0,0.0,4370.485,0.0,0.0
2019-01-04,5,0,reserve,system,4601.904,0.0,0.0,4601.904,0.0,13.459297
2019-01-04,6,0,reserve,system,4882.483,0.0,0.0,4882.483,0.0,7.796307
2019-01-04,7,0,reserve,system,5016.197,0.0,0.0,5016.197,0.0,18.833214
2019-01-04,8,0,reserve,system,4929.212,0.0,0.0,4929.212,0.0,8.978767
2019-01-04,9,0,reserve,system,4711.1,0.0,0.0,4711.1,0.0,9.892328
2019-01-04,10,0,reserve,system,4504.631,0.0,0.0,4504.631,0.0,9.053842
2019-01-04,11,0,reserve,system,4286.169,0.0,0.0,4286.169,0.0,7.883469
2019-01-04,12,0,reserve,system,4074.04,0.0,0.0,4074.04,0.0,7.836324
2019-01-04,13,0,reserve,system,3919.319,0.0,0.0,3919.319,0.0,3.775825
2019-01-04,14,0,reserve,system,3795.251,0.0,0.0,3795.251,0.0,6.853293
2019-01-04,15,0,reserve,system,3705.617,0.0,0.0,3705.617,0.0,0.0
2019-01-04,16,0,reserve,system,3675.0,0.0,0.0,3675.0,0.0,3.814413
2019-01-04,17,0,reserve,system,3795.417,0.0,0.0,3795.417,0.0,8.038745
2019-01-04,18,0,reserve,system,4015.089,0.0,0.0,4015.089,0.0,8.983115
2019-01-04,19,0,reserve,system,4052.482,0.0,0.0,4052.482,0.0,23.061523
2019-01-04,20,0,reserve,system,4071.868,0.0,0.0,4071.868,0.0,7.622239
2019-01-04,21,0,reserve,system,4057.263,0.0,0.0,4057.263,0.0,13.686303
2019-01-04,22,0,reserve,system,3977.738,0.0,0.0,3977.738,0.0,0.0
