Date,Hour,TotalCosts,FixedCosts,VariableCosts,LoadShedding,OverGeneration,ReserveShortfall,RenewablesUsed,RenewablesCurtailment,Demand,Price
2019-01-01,0,332992.211876,224203.470793,108788.741083,0.0,0.0,0.0,8145.964923,2165.485077,37081.44,8.980024
2019-01-01,1,323764.728075,224203.470793,99561.257282,0.0,0.0,0.0,8878.74227,2254.62773,37258.98,8.689576
2019-01-01,2,315786.202231,217086.789193,98699.413039,0.0,0.0,0.0,9330.596072,2225.603928,37300.18,8.466077
2019-01-01,3,314192.37398,217086.789193,97105.584787,0.0,0.0,0.0,9576.706955,2246.343045,37423.51,8.395588
2019-01-01,4,316329.629016,217086.789193,99242.839823,0.0,0.0,0.0,9866.676121,2209.073879,37895.27,8.34747
2019-01-01,5,359134.877925,261289.392393,97845.485533,0.0,0.0,0.0,10523.892782,2165.807218,38825.08,9.250074
2019-01-01,6,370493.600436,260411.888293,110081.712143,0.0,0.0,0.0,10980.131366,2106.938634,39910.68,9.283069
2019-01-01,7,380848.544649,268058.363994,112790.180655,0.0,0.0,0.0,11336.904681,2040.125319,40436.58,9.418416
2019-01-01,8,458553.641042,343072.662009,115480.979034,0.0,0.0,0.0,10732.433804,1994.976196,40950.22,11.197831
2019-01-01,9,430043.441142,291433.363885,138610.077257,0.0,0.0,0.0,10660.407419,1966.402581,41763.45,10.297124
2019-01-01,10,428135.0869,291433.363885,136701.723015,0.0,0.0,0.0,12407.407421,1032.502579,42249.97,10.133382
2019-01-01,11,422748.238516,281956.221451,140792.017066,0.0,0.0,0.0,12684.759,1731.551,42296.69,9.99483
2019-01-01,12,414734.874504,281956.221451,132778.653054,0.0,0.0,0.0,12929.648638,2376.921362,41879.17,9.90313
2019-01-01,13,395904.638052,273497.145867,122407.492185,0.0,0.0,0.0,13681.191952,2117.058048,41376.35,9.56838
2019-01-01,14,385288.656073,264508.824659,120779.831414,0.0,0.0,0.0,13566.732384,2468.057616,40991.32,9.399274
2019-01-01,15,387658.058371,264508.824659,123149.233712,0.0,0.0,0.0,13268.168,2227.632,41015.88,9.451414
2019-01-01,16,425146.109877,296161.895612,128984.214266,0.0,0.0,0.0,13016.372228,1392.937772,41842.15,10.160714
2019-01-01,17,482948.122551,325379.614128,157568.508424,0.0,0.0,0.0,11837.61,1510.67,44058.7,10.96147
2019-01-01,18,540288.457375,379400.596369,160887.861005,0.0,0.0,0.0,10974.1915,751.3285,45400.64,11.900459
2019-01-01,19,536784.805531,379391.236369,157393.569161,0.0,0.0,0.0,9556.912773,360.667227,45246.05,11.863683
2019-01-01,20,532775.711838,379391.236369,153384.475469,0.0,0.0,0.0,9513.03,156.76,44844.33,11.880559
2019-01-01,21,527850.985824,375192.19637,152658.789454,0.0,0.0,0.0,8734.66,0.0,43901.75,12.023461
2019-01-01,22,515814.626404,375192.19637,140622.430034,0.0,0.0,0.0,7793.79,0.0,42206.58,12.22119
2019-01-01,23,482520.036638,355119.432663,127400.603975,0.0,0.0,0.0,7515.39,0.0,40494.84,11.915593
2019-01-02,0,438736.885243,310920.119463,127816.76578,0.0,0.0,0.0,6986.39,0.0,39246.69,11.178953
2019-01-02,1,429741.998955,310132.821111,119609.177843,0.0,0.0,0.0,7033.83,0.0,38577.95,11.139576
2019-01-02,2,430994.764892,308664.291436,122330.473456,0.0,0.0,0.0,6546.8,0.0,38434.15,11.213849
2019-01-02,3,439711.697251,313653.919787,126057.777464,0.0,0.0,0.0,6531.14,0.0,38830.97,11.323737
2019-01-02,4,496092.213751,365571.802987,130520.410765,0.0,0.0,0.0,6674.71,0.0,40072.12,12.379984
2019-01-02,5,580284.51909,431837.573518,148446.945572,0.0,0.0,0.0,6773.41,0.0,42485.81,13.658314
2019-01-02,6,664991.597545,500067.238891,164924.358653,0.0,0.0,0.0,7036.76,0.0,45299.73,14.679814
2019-01-02,7,703860.077492,530681.304035,173178.773457,0.0,0.0,0.0,7286.15,0.0,47420.65,14.842902
2019-01-02,8,893806.600097,705131.343812,188675.256285,0.0,0.0,0.0,5943.97,0.0,48547.97,18.410792
2019-01-02,9,902944.703475,705121.983812,197822.719663,0.0,0.0,0.0,5236.19,0.0,49679.19,18.175512
2019-01-02,10,949348.823895,758147.26666,191201.557235,0.0,0.0,0.0,5765.92,0.0,50682.64,18.731243
