Line,cont_rating,max_abs_flow,p99_abs_flow,mean_abs_flow,sum_violation,hours_ge_99pct
L1,1207.06625,1207.06625,805.2329326999999,324.36126273447485,0.0,8
L10,1207.06625,652.02,558.0846999999998,241.03583447488586,0.0,0
L100,1493.89381,511.977147,272.23470795,63.43735416723744,0.0,0
L101,1326.57776,1294.235361,1010.2605131299999,647.851410609589,0.0,0
L102,1326.57776,917.788808,779.0166795299999,327.5256170166667,0.0,0
L103,1326.57776,816.343466,594.18349364,408.20199963470316,0.0,0
L104,1207.06625,825.761245,644.0792017799998,213.65358312054792,0.0,0
L105,1326.57776,1326.57776,777.2403921299998,263.78950003767125,0.0,12
L106,1326.57776,1326.57776,777.2403921299998,263.78950003767125,0.0,12
L107,1326.57776,690.059682,460.12052439999997,158.93931027968037,0.0,0
L108,1326.57776,690.059682,460.12052439999997,158.93931027968037,0.0,0
L109,1326.57776,1326.57776,876.6529412699999,305.0502210833333,0.0,1
L11,1207.06625,577.039345,512.0563190699999,244.97056218949774,0.0,0
L110,1207.06625,633.835644,401.79701129,121.67338419417807,0.0,0
L111,1326.57776,668.42633,542.1464951599999,215.42459803150686,0.0,0
L112,1493.89381,1124.791134,765.492102,548.7986599815068,0.0,0
L113,1207.06625,1017.374503,876.91903227,226.42201532785387,0.0,0
L114,1207.06625,1207.06625,945.7214876599996,322.5906676808219,0.0,4
L115,1207.06625,1113.750737,632.1713691799999,230.33152790696346,0.0,0
L116,1326.57776,842.934494,720.2124462399998,170.0472830946347,0.0,0
L117,1326.57776,842.934494,720.2124462399998,170.0472830946347,0.0,0
L118,1326.57776,1308.05887,971.7636817099999,444.83975014337904,0.0,0
L119,1493.89381,1295.969364,855.6942531299998,280.9935679858447,0.0,0
L12,1207.06625,653.160446,387.20418932999996,108.85898008059361,0.0,0
L120,1326.57776,813.45888,720.4436467899998,186.56543940525114,0.0,0
L121,1326.57776,813.45888,720.4436467899998,186.56543940525114,0.0,0
L122,1326.57776,1326.57776,1179.8513905099999,318.1400243644977,0.0,30
L123,1326.57776,820.567657,651.57423087,428.77323443847035,0.0,0
L124,1326.57776,820.567657,651.57423087,428.77323443847035,0.0,0
L125,1326.57776,674.82554,503.68302331999996,337.76924661872147,0.0,0
L126,1326.57776,695.477572,428.0333871899993,233.3583188038813,0.0,0
L127,1326.57776,695.477572,428.0333871899993,233.3583188038813,0.0,0
L128,1326.57776,682.245956,525.39979978,350.7552425402968,0.0,0
L129,1326.57776,942.33806,725.6975639399999,484.4733956380137,0.0,0
L13,1326.57776,847.179,825.50258826,272.81429161643837,0.0,0
L130,1326.57776,942.33806,725.6975639399999,484.4733956380137,0.0,0
L131,1493.89381,1087.013575,916.7677946599998,374.61251332077626,0.0,0
L132,1326.57776,1115.197058,735.1124880799999,365.4548863981735,0.0,0
L133,1207.06625,2555.310121,1207.06625,788.6060195034247,19666.750391999998,2566
L134,1326.57776,720.742578,686.48262646,338.93703090216894,0.0,0
L135,1207.06625,773.262719,675.5969096599999,346.0978755535388,0.0,0
L136,1326.57776,1200.811247,1052.02640946,483.0492524457763,0.0,0
L137,1326.57776,910.742564,820.4641641499999,402.34914399292234,0.0,0
L138,1326.57776,910.742564,820.4641641499999,402.34914399292234,0.0,0
L139,1326.57776,483.171248,435.27634515999995,213.45608068413242,0.0,0
L14,1493.89381,1056.744332,1029.70585949,340.29993217385845,0.0,0
L140,1326.57776,1005.811489,795.2430333299999,306.15471232511413,0.0,0
L141,1326.57776,845.111489,641.1043019599999,284.6140489910959,0.0,0
L142,1207.06625,136.68,117.2041,55.78553881278539,0.0,0
L143,1207.06625,1153.969676,962.47147648,625.0819282844749,0.0,0
L144,1326.57776,935.258057,793.450882,196.46686413025114,0.0,0
L145,1326.57776,1204.923001,1093.4922438899996,280.19666919406393,0.0,0
L146,1326.57776,604.950446,371.6679510699998,112.89570278835616,0.0,0
L147,1326.57776,1373.72,1314.3182,980.2564376607305,74.35672,98
L148,1207.06625,120.362164,114.61229274,71.89992034474885,0.0,0
L149,1207.06625,213.347836,203.15590726,127.44613330821917,0.0,0
L15,1326.57776,1264.93149,1211.1531541499999,364.3567180408676,0.0,0
L150,1326.57776,863.052369,784.0152311499999,221.31609381598173,0.0,0
L151,1207.06625,1207.06625,1096.5247987099997,309.53299834280824,0.0,18
L152,1326.57776,1326.57776,1326.57776,656.464801176484,0.0,1177
L153,1326.57776,889.999302,684.5544182599999,336.2890618155251,0.0,0
L154,1326.57776,889.999302,684.5544182599999,336.2890618155251,0.0,0
L155,1326.57776,889.999302,684.5544182599999,336.2890618155251,0.0,0
L156,1326.57776,685.32012,567.2374878599999,313.1679304436073,0.0,0
L157,1326.57776,685.32012,567.2374878599999,313.1679304436073,0.0,0
L158,1326.57776,1253.9,1219.0205999999998,936.5934909261415,0.0,0
L159,1326.57776,1326.57776,1326.57776,471.9789680770548,0.0,495
L16,1207.06625,415.157002,397.50667608,119.58374336152967,0.0,0
L160,1326.57776,490.759412,340.52202468999997,100.09417581917809,0.0,0
L161,1326.57776,490.759412,340.52202468999997,100.09417581917809,0.0,0
L162,1207.06625,1551.446465,1038.23241891,504.3094101515981,1248.136875,9
L163,1326.57776,755.038639,653.2551539399999,234.03302868230594,0.0,0
L164,1326.57776,755.038639,653.2551539399999,234.03302868230594,0.0,0
L165,1207.06625,941.760013,717.34543127,379.88390851894974,0.0,0
L166,1326.57776,1326.57776,1326.57776,505.66281980011416,0.0,180
L167,1326.57776,987.909516,842.83403531,343.946471768379,0.0,0
L168,1207.06625,296.567696,213.16063843,119.27555742237442,0.0,0
L169,1493.89381,1032.102625,918.0275479899998,420.49833410114155,0.0,0
L17,1326.57776,754.132251,597.20697431,373.96393473458903,0.0,0
L170,1326.57776,661.41497,569.99577515,159.35493485479452,0.0,0
L171,1326.57776,595.273473,512.99619744,143.41944137054793,0.0,0
L172,1207.06625,1025.449869,802.7133080499999,271.9566042783105,0.0,0
L173,855.10483,707.092124,610.2541404399999,389.44061172294516,0.0,0
L174,1326.57776,34.1675,31.379099999999998,19.8579200913242,0.0,0
L175,1326.57776,34.1675,31.379099999999998,19.8579200913242,0.0,0
L176,1326.57776,34.1675,31.379099999999998,19.8579200913242,0.0,0
L177,1326.57776,34.1675,31.379099999999998,19.8579200913242,0.0,0
L178,919.64102,752.682562,619.7851230099998,175.05214601004567,0.0,0
