Date,Demand,Renewables available,Renewables used,Renewables penetration rate,Average price,Fixed costs,Generation costs,Load shedding,Over generation,Reserve shortfall,Renewables curtailment,Number on/offs,Sum on/off ramps,Sum nominal ramps,Renewables energy payments,Renewables uplift payments,Thermal energy payments,Thermal uplift payments,Total energy payments,Total uplift payments,Total reserve payments,Total payments,Average payments
2019-01-01,986649.81,295013.79,255675.615424,34.977379,10.226755,7030498.409863,3059727.885402,0.0,0.0,0.0,39338.174576,63,4318.35,56155.436531,3045614.490948,0.0,19324154.019303,0.0,22369768.510252,0.0,592596.582064,22962365.092315,23.273065
2019-01-02,1136655.54,130939.9,129972.196,12.910931,17.405611,15280793.650526,4503390.351687,0.0,0.0,0.0,967.704,30,6416.73,47781.523355,3690222.946252,0.0,46780886.429897,0.0,50471109.37615,0.0,982518.818853,51453628.195003,45.267565
2019-01-03,1100872.77,151029.29,141542.251124,14.754274,15.98689,13438910.7529,4160620.991194,0.0,0.0,0.0,9487.038876,36,7331.67,56229.054131,2619150.617608,0.0,32871238.639049,0.0,35490389.256656,0.0,917424.36417,36407813.620826,33.071772
2019-01-04,1013727.34,139993.84,133298.805687,15.140219,13.434514,10160702.358871,3458231.655802,0.0,0.0,0.0,6695.034313,45,7781.22,46820.819,2563056.432952,0.0,22894965.622297,0.0,25458022.055249,0.0,758333.257787,26216355.313036,25.861348
2019-01-05,903816.2,156305.99,146798.567625,19.391697,10.676844,7072370.410486,2577534.299941,0.0,0.0,0.0,9507.422375,49,4756.35,40446.402818,2125412.004048,0.0,15598844.348279,0.0,17724256.352327,0.0,263389.871743,17987646.22407,19.901885
2019-01-06,837425.54,299729.54,261380.941883,45.375122,7.039864,4098069.707351,1797291.856251,0.0,0.0,0.0,38348.598117,57,3961.56,38317.936426,2320609.200833,0.0,10133096.4964,0.0,12453705.697233,0.0,300054.650689,12753760.347922,15.229725
2019-01-07,835476.71,274965.24,234600.175232,39.042992,7.595463,4448203.418801,1897629.319536,0.0,0.0,0.0,40365.064768,60,6452.67,42482.853526,2237550.118852,0.0,11535682.314896,0.0,13773232.433747,0.0,109709.843487,13882942.277234,16.616791
2019-01-08,854810.49,179507.09,159602.397873,22.9575,9.292218,5519809.137139,2423276.025339,0.0,0.0,0.0,19904.692127,42,5474.46,46435.524761,2314564.759719,0.0,14585820.979383,0.0,16900385.739102,0.0,315634.867354,17216020.606456,20.140161
2019-01-09,887344.94,198454.88,193094.684185,27.813412,9.845119,6318932.717605,2417083.989645,0.0,0.0,0.0,5360.195815,48,7383.09,43135.826344,2805322.158184,0.0,16956789.924272,0.0,19762112.082455,0.0,445178.947016,20207291.029472,22.772757
2019-01-10,933598.34,217570.5,190102.116929,25.568673,10.754812,7341562.4656,2699111.933449,0.0,0.0,0.0,27468.383071,50,5346.24,43209.114091,2368084.885381,0.0,18511810.323806,0.0,20879895.209187,0.0,735511.167334,21615406.376521,23.15279
2019-01-11,918205.77,266624.32,245232.392058,36.440133,9.228324,5951820.7188,2521679.967824,0.0,0.0,0.0,21391.927942,51,5624.52,39802.147792,2788285.803691,0.0,15438075.761165,0.0,18226361.564855,0.0,237928.412254,18464289.977109,20.109098
2019-01-12,882997.25,253466.77,208741.739893,30.958848,9.375353,5732906.837716,2545504.473212,0.0,0.0,0.0,44725.030107,50,6408.3,54164.390365,2435244.171059,0.0,15464471.831354,0.0,17899716.002413,0.0,297022.120948,18196738.123361,20.607922
2019-01-13,968302.49,140864.43,137433.16096,16.540887,12.539816,8724539.203719,3417795.62855,0.0,0.0,0.0,3431.26904,29,5310.09,31963.32512,2742390.299863,0.0,23625049.431521,0.0,26367439.731384,0.0,857351.075198,27224790.806582,28.115998
2019-01-14,1048428.58,121728.56,119095.325199,12.815137,14.201693,10954489.578129,3934970.814364,0.0,0.0,0.0,2633.234801,34,7130.7,44213.097981,2672222.604194,0.0,30801747.008709,0.0,33473969.612903,0.0,827663.173591,34301632.786495,32.717186
2019-01-15,1016539.15,147080.71,136840.103377,15.555332,12.823939,9283070.710426,3752965.443221,0.0,0.0,0.0,10240.606623,36,5771.19,46994.993619,2517740.102085,0.0,23356421.801442,0.0,25874161.903527,0.0,888483.884585,26762645.788111,26.327216
2019-01-16,934076.17,215691.01,192015.280144,25.875947,10.337226,6949396.410316,2706359.923827,0.0,0.0,0.0,23675.729856,51,6361.62,49425.489202,2619892.92844,0.0,17228121.842781,0.0,19848014.771221,0.0,484103.178293,20332117.949514,21.767088
2019-01-17,868965.08,154901.7,149923.477543,20.850459,10.087752,6226860.322794,2539044.297652,0.0,0.0,0.0,4978.222457,45,6220.83,43260.200232,2348944.561714,0.0,16181827.714755,0.0,18530772.276469,0.0,699140.023922,19229912.300391,22.129672
2019-01-18,885312.54,320373.83,268824.981427,43.605905,8.092585,5033963.358183,2130503.775514,0.0,0.0,0.0,51548.848573,58,4529.13,35864.895512,2337586.28812,0.0,12850649.48852,0.0,15188235.77664,0.0,438356.376646,15626592.153287,17.650933
2019-01-19,964352.87,282263.57,244636.06538,33.990601,11.134171,7763633.027948,2973637.160416,0.0,0.0,0.0,37627.50462,56,8623.29,54219.698361,2602914.22724,0.0,21304789.828838,0.0,23907704.056078,0.0,361585.792129,24269289.848207,25.1664
2019-01-20,1030244.15,183813.28,165631.64992,19.156749,14.30419,11113211.89372,3623596.436078,0.0,0.0,0.0,18181.63008,55,7320.15,60747.199565,2681358.807307,0.0,29724113.053836,0.0,32405471.861143,0.0,760976.556513,33166448.417656,32.192804
2019-01-21,998892.9,347210.64,294992.670679,41.908307,9.738021,7011965.825042,2715274.112284,0.0,0.0,0.0,52217.969321,54,5245.14,44861.10474,2734512.958438,0.0,17372869.481746,0.0,20107382.440184,0.0,530562.088961,20637944.529145,20.660818
2019-01-22,900192.29,367214.69,313577.487702,53.455434,7.840322,4893087.644345,2164709.903459,0.0,0.0,0.0,53637.202298,55,5672.97,34383.875883,2574956.78701,0.0,13043253.754659,0.0,15618210.541669,0.0,274371.442743,15892581.984413,17.654652
2019-01-23,1078724.34,230384.78,212985.35244,24.601566,15.029088,12643497.123528,3568745.810008,0.0,0.0,0.0,17399.42756,61,11408.46,60569.942342,4244622.882377,0.0,34240519.83927,0.0,38485142.721647,0.0,879209.514419,39364352.236066,36.491577
2019-01-24,1048789.29,180566.6,155384.117816,17.392346,15.441347,12670202.410955,3524517.019931,0.0,0.0,0.0,25182.482184,52,7904.73,52934.482602,2966225.717451,0.0,34314418.401005,0.0,37280644.118455,0.0,891693.997883,38172338.116338,36.396575
2019-01-25,999767.2,150084.46,145654.211891,17.053272,14.079687,10894398.51665,3182010.330154,0.0,0.0,0.0,4430.248109,46,7130.88,47359.083454,2712157.905018,0.0,25574442.209974,0.0,28286600.114992,0.0,858131.550482,29144731.665474,29.151518
2019-01-26,909271.36,125808.7,123848.259404,15.768349,11.49447,7533256.87021,2918335.292041,0.0,0.0,0.0,1960.440596,36,5434.62,44600.817236,2119467.740644,0.0,19295472.601985,0.0,21414940.342629,0.0,734834.924236,22149775.266865,24.359917
2019-01-27,878022.17,140155.45,128621.056773,17.163179,10.878215,6726560.233024,2824753.499509,0.0,0.0,0.0,11534.393227,44,5436.24,46875.496503,2070104.845713,0.0,18159256.878744,0.0,20229361.724457,0.0,372676.798436,20602038.522893,23.464144
2019-01-28,928045.38,258516.92,227562.856876,32.486586,9.621931,6334867.748573,2594720.590193,0.0,0.0,0.0,30954.063124,53,6169.14,49812.43851,2771286.997009,0.0,16526162.458457,0.0,19297449.455466,0.0,694961.260442,19992410.715907,21.542493
2019-01-29,1044673.06,206178.51,194526.131054,22.881472,13.951306,11272799.014438,3301754.252382,0.0,0.0,0.0,11652.378946,56,11061.81,55213.154794,3429196.734209,0.0,29737566.802917,0.0,33166763.537126,0.0,1038160.211533,34204923.748659,32.742228
2019-01-30,1051062.65,194503.3,180346.516378,20.712435,12.712553,9772655.959714,3589033.450156,0.0,0.0,0.0,14156.783622,57,7704.42,49785.71891,3053401.445392,0.0,26827522.152145,0.0,29880923.597536,0.0,990998.881672,30871922.479208,29.372105
2019-01-31,971425.1,235674.96,218876.89996,29.084768,10.473459,7110783.922293,3063397.34755,0.0,0.0,0.0,16798.06004,38,5066.52,41621.921205,2720209.581538,0.0,19315623.951188,0.0,22035833.532726,0.0,496229.202319,22532062.735045,23.194853
2019-02-01,866342.11,174858.67,164185.439716,23.383021,9.276919,5638620.992588,2398364.765556,0.0,0.0,0.0,10673.230284,42,5108.94,44122.328667,2182019.248001,0.0,15065704.528298,0.0,17247723.7763,0.0,419401.273904,17667125.050204,20.392781
2019-02-02,817028.94,221363.13,194945.514852,31.33752,7.57681,4187756.737218,2002715.995127,0.0,0.0,0.0,26417.615148,45,5381.34,44875.601977,2055690.505697,0.0,10984485.866816,0.0,13040176.372513,0.0,276543.163496,13316719.536009,16.298957
2019-02-03,801071.37,326547.42,269954.873032,50.827808,5.727106,2949058.210204,1638762.529049,0.0,0.0,0.0,56592.546968,44,3440.82,32022.659274,2513259.954157,0.0,8056184.53936,0.0,10569444.493516,0.0,321919.004037,10891363.497553,13.595996
2019-02-04,854635.71,216583.06,195152.271914,29.591687,8.827251,5278450.185579,2265633.796414,0.0,0.0,0.0,21430.788086,45,6231.96,34646.601312,2193707.760957,0.0,13715477.260893,0.0,15909185.02185,0.0,188996.441316,16098181.463166,18.836308
2019-02-05,865557.93,234603.29,218699.693287,33.809524,8.10053,4925647.332179,2085830.569913,0.0,0.0,0.0,15903.596713,33,4587.66,31782.596969,2531060.16194,0.0,13035966.325609,0.0,15567026.487549,0.0,600270.67962,16167297.167169,18.678469
2019-02-06,883111.89,294901.85,259156.18071,41.534387,7.733777,4787371.361937,2042418.755236,0.0,0.0,0.0,35745.66929,49,4624.65,33980.16302,2603816.96334,0.0,12307027.048053,0.0,14910844.011392,0.0,441165.799694,15352009.811087,17.383992
2019-02-07,920804.15,349072.05,295142.110464,47.172769,8.796259,5745690.30377,2353941.795059,0.0,0.0,0.0,53929.939536,68,7667.22,51095.793786,2895345.261391,0.0,15138660.489712,0.0,18034005.751103,0.0,131904.506096,18165910.257199,19.728311
2019-02-08,1187674.97,243023.25,236192.260722,24.8236,47.203943,51978046.984103,4084894.9123,0.0,0.0,0.0,6830.989278,54,9075.15,46424.770941,5334863.489488,0.0,43944027.336193,0.0,49278890.825682,0.0,1101740.821333,50380631.647015,42.419545
2019-02-09,1150380.2,219824.71,209643.366843,22.285017,56.101476,60541388.979158,3996638.501374,0.0,0.0,0.0,10181.343157,46,6713.64,39445.251017,3375790.939528,0.0,23693213.090077,0.0,27069004.029606,0.0,1162918.870654,28231922.900259,24.541385
2019-02-10,1021066.83,157971.94,149115.529611,17.10136,24.869304,21761431.396581,3631790.075833,0.0,0.0,0.0,8856.410389,46,5519.34,50393.2133,2671048.962936,0.0,22005826.961097,0.0,24676875.924032,0.0,282929.63467,24959805.558702,24.44483
2019-02-11,933900.59,275445.26,231507.15902,32.959756,9.747707,6345978.06019,2757411.143571,0.0,0.0,0.0,43938.10098,55,5207.55,42477.858924,2088345.763384,0.0,16926026.380074,0.0,19014372.143458,0.0,432850.878028,19447223.021486,20.823654
2019-02-12,906672.17,228016.76,209384.863921,30.028492,9.965014,6620964.321592,2414036.871535,0.0,0.0,0.0,18631.896079,57,8278.38,48705.312017,2863075.242417,0.0,16701448.753038,0.0,19564523.995454,0.0,651720.634359,20216244.629814,22.297193
2019-02-13,971344.03,309246.78,259439.02431,36.442927,10.010838,7067339.987745,2656628.035468,0.0,0.0,0.0,49807.75569,66,6297.93,41497.192138,2561862.407663,0.0,17491931.974719,0.0,20053794.382382,0.0,400749.774636,20454544.157018,21.057981
2019-02-14,876549.82,325551.62,266942.144083,43.78917,7.619769,4595929.465946,2083177.604897,0.0,0.0,0.0,58609.475917,65,6366.33,46742.779834,2514087.70169,0.0,12234296.489799,0.0,14748384.19149,0.0,290896.129154,15039280.320643,17.157359
2019-02-15,860573.92,241928.73,212993.812143,32.890728,8.128126,4838699.929497,2156153.17048,0.0,0.0,0.0,28934.917857,39,4839.63,38345.979218,2322282.17335,0.0,12956860.74225,0.0,15279142.9156,0.0,228518.176061,15507661.091661,18.020138
2019-02-16,914899.25,200052.15,179100.562553,24.340973,11.082769,7157139.265044,2982477.994113,0.0,0.0,0.0,20951.587447,42,4982.31,37173.763195,2166035.634055,0.0,18778023.552149,0.0,20944059.186205,0.0,620645.946327,21564705.132531,23.570579
2019-02-17,868507.91,233065.68,211086.040674,32.108156,9.260545,5686364.551466,2356491.655552,0.0,0.0,0.0,21979.639326,46,5346.99,41508.803752,2428450.340346,0.0,15911078.246393,0.0,18339528.586739,0.0,478718.792076,18818247.378815,21.66733
2019-02-18,1001199.08,388219.62,324601.164742,47.97549,9.950822,7228905.064754,2733848.894431,0.0,0.0,0.0,63618.455258,61,6599.94,37521.526243,2934825.32609,0.0,17953089.28068,0.0,20887914.60677,0.0,476807.651356,21364722.258126,21.339135
2019-02-19,1076133.5,226364.62,209750.89755,24.209962,13.352027,10575004.664933,3793558.88672,0.0,0.0,0.0,16613.72245,42,7666.17,40758.564964,2661384.451163,0.0,30393397.76795,0.0,33054782.219113,0.0,966973.334736,34021755.553848,31.614809
2019-02-20,981292.99,182889.43,159529.91547,19.413128,12.175636,8777161.148852,3170705.263871,0.0,0.0,0.0,23359.51453,49,6817.11,51201.318076,2213124.685248,0.0,21765324.543768,0.0,23978449.229015,0.0,178348.486465,24156797.71548,24.617314
2019-02-21,968985.23,262999.95,223738.433331,30.022059,10.29987,7014794.138264,2965627.908662,0.0,0.0,0.0,39261.516669,40,5171.91,38189.07834,2624516.913927,0.0,18491565.670767,0.0,21116082.584694,0.0,619352.246575,21735434.831269,22.431131
2019-02-22,934485.87,221842.59,204499.79158,28.014204,10.643905,7090675.178725,2855903.298793,0.0,0.0,0.0,17342.79842,54,5400.18,39745.086558,2304787.349265,0.0,17975494.142143,0.0,20280281.491408,0.0,447184.187419,20727465.678827,22.180609
2019-02-23,846292.97,277220.55,242001.376483,40.047119,7.334295,4285388.125151,1921573.877415,0.0,0.0,0.0,35219.173517,36,4206.18,40215.068593,2457934.178137,0.0,11049168.62284,0.0,13507102.800977,0.0,434201.722853,13941304.52383,16.473379
2019-02-24,855696.45,218425.0,200617.158252,30.624866,9.252642,5731436.926809,2186016.369567,0.0,0.0,0.0,17807.841748,40,5307.69,33328.29223,2236908.93692,0.0,15337323.382052,0.0,17574232.318972,0.0,627256.447382,18201488.766354,21.270964
2019-02-25,920998.28,279137.74,231452.045609,33.565849,9.470095,6226722.477491,2495218.731561,0.0,0.0,0.0,47685.694391,56,6342.69,52632.127365,2690991.183611,0.0,16288328.255518,0.0,18979319.439129,0.0,455523.868525,19434843.307654,21.101932
2019-02-26,875421.93,259578.51,222803.797989,34.139995,8.480768,5126467.58335,2297782.986621,0.0,0.0,0.0,36774.712011,50,5242.56,41973.178941,2379897.726583,0.0,13161560.593189,0.0,15541458.319772,0.0,293829.13883,15835287.458602,18.088749
2019-02-27,887841.71,187206.17,173073.950527,24.214012,9.722424,6072861.530714,2559112.278453,0.0,0.0,0.0,14132.219473,52,6511.02,42414.055775,2437181.027933,0.0,16641138.289398,0.0,19078319.317331,0.0,395684.53598,19474003.853312,21.934094
2019-02-28,1037483.57,197864.83,181579.282101,21.214905,14.308986,11309091.082289,3536246.339838,0.0,0.0,0.0,16285.547899,45,6822.48,52324.369989,3694935.615254,0.0,30488675.57287,0.0,34183611.188125,0.0,612386.255513,34795997.443638,33.538842
2019-03-01,994748.54,180492.82,167988.270169,20.318861,12.600035,9221231.753283,3312634.807422,0.0,0.0,0.0,12504.549831,41,5230.59,40323.798108,2784713.275233,0.0,24086622.410591,0.0,26871335.685824,0.0,388904.365664,27260240.051487,27.404152
2019-03-02,932345.89,231883.68,210985.486783,29.248277,10.506881,6903911.260874,2892135.72195,0.0,0.0,0.0,20898.193217,44,5162.43,49740.447772,2480959.936733,0.0,17650501.014519,0.0,20131460.951252,0.0,265137.446354,20396598.397606,21.876643
2019-03-03,1019463.3,338043.92,271965.198933,36.383397,12.004899,9135482.647518,3103071.779957,0.0,0.0,0.0,66078.721067,49,7371.39,51517.703948,3304734.708861,0.0,22871865.638029,0.0,26176600.34689,0.0,559542.721321,26736143.068211,26.225704
2019-03-04,1291331.14,331531.57,299881.551956,30.246778,46.197676,55060527.819612,4595970.200591,0.0,0.0,0.0,31650.018044,59,9710.07,40704.769346,6969773.779214,0.0,56631522.605931,0.0,63601296.385146,0.0,1389656.022155,64990952.407301,50.32865
2019-03-05,1221339.91,173522.09,164125.713611,15.524358,58.497049,66785418.799608,4659361.569461,0.0,0.0,0.0,9396.376389,53,9444.27,50232.540196,4453509.725085,0.0,55421664.963206,0.0,59875174.688292,0.0,1664607.226497,61539781.914788,50.387105
2019-03-06,1090387.68,249578.55,206881.278594,23.415934,23.566607,21994779.728368,3701957.816123,0.0,0.0,0.0,42697.271406,55,8088.9,61314.26097,4045201.710523,0.0,35035813.053891,0.0,39081014.764414,0.0,1124879.314974,40205894.079388,36.873027
2019-03-07,912040.09,317744.37,264475.294074,40.841518,8.585338,5647918.520336,2182254.196395,0.0,0.0,0.0,53269.075926,67,6312.81,60040.982535,2371021.870302,0.0,14060104.397018,0.0,16431126.26732,0.0,415233.768823,16846360.036143,18.471074
2019-03-08,869876.73,313373.4,284678.205164,48.646432,7.096003,4300865.438585,1871782.667954,0.0,0.0,0.0,28695.194836,58,4474.11,41901.203312,2586745.907285,0.0,11650226.771243,0.0,14236972.678529,0.0,317289.55047,14554262.228999,16.731408
2019-03-09,854594.55,307957.04,266535.244168,45.324552,7.081096,4212925.447265,1838540.762518,0.0,0.0,0.0,41421.795832,53,5657.25,44194.80977,2442650.689331,0.0,11208464.57195,0.0,13651115.261281,0.0,-86288.491775,13564826.769506,15.872822
2019-03-10,836475.62,245957.18,211809.87965,33.907715,7.225607,4007104.508553,2036939.743983,0.0,0.0,0.0,34147.30035,36,3086.97,41404.879496,2395624.419356,0.0,10502312.465455,0.0,12897936.884812,0.0,363628.00867,13261564.893481,15.854096
2019-03-11,887911.75,250882.94,228253.270314,34.601734,8.111621,5020222.686127,2182180.509461,0.0,0.0,0.0,22629.669686,35,4339.41,42327.482005,2748673.389742,0.0,13325473.90908,0.0,16074147.298821,0.0,-75846.86793,15998300.430892,18.017895
2019-03-12,875473.91,270852.33,237864.134038,37.305597,7.693811,4653324.580952,2082406.030178,0.0,0.0,0.0,32988.195962,38,4544.01,35832.019662,2715884.495324,0.0,12357911.365313,0.0,15073795.860637,0.0,325134.794603,15398930.65524,17.589251
2019-03-13,866419.18,241816.4,216669.483186,33.346608,8.080018,4924234.539712,2076448.397151,0.0,0.0,0.0,25146.916814,59,6202.11,55827.122522,2467191.30011,0.0,12744743.515015,0.0,15211934.815125,0.0,565213.969505,15777148.78463,18.209602
2019-03-14,845637.32,323693.54,274032.895881,47.941003,6.750659,3917822.677419,1790786.14715,0.0,0.0,0.0,49660.644119,51,5553.78,42344.387542,2465458.267756,0.0,9808816.994843,0.0,12274275.262599,0.0,324436.387777,12598711.650376,14.898481
2019-03-15,861220.75,261357.73,242502.524102,39.19434,8.275841,5075204.679763,2052121.73479,0.0,0.0,0.0,18855.205898,50,6904.35,40765.368055,2512883.985336,0.0,12985154.329926,0.0,15498038.315262,0.0,540977.309868,16039015.62513,18.623582
2019-03-16,850629.34,152446.75,140629.911126,19.807046,9.747601,5894685.345146,2396909.646822,0.0,0.0,0.0,11816.838874,36,4826.61,34596.752915,2130958.621169,0.0,14952175.789138,0.0,17083134.410307,0.0,502925.300487,17586059.710794,20.674175
2019-03-17,825786.42,122323.5,115566.564201,16.271942,9.958753,5806890.604194,2416912.662886,0.0,0.0,0.0,6756.935799,37,4605.36,42540.05282,1595087.738105,0.0,14416713.009799,0.0,16011800.747904,0.0,504754.556542,16516555.304446,20.001001
2019-03-18,866448.74,146675.14,138029.358142,18.949161,10.047411,6209175.626446,2496391.364068,0.0,0.0,0.0,8645.781858,46,5880.06,36654.710089,1880427.62798,0.0,15828909.14927,0.0,17709336.777251,0.0,586019.590804,18295356.368054,21.115336
2019-03-19,847852.07,227604.71,189012.173452,28.688635,8.279216,4816207.765818,2203342.857726,0.0,0.0,0.0,38592.536548,39,4999.02,47341.315048,2187069.302469,0.0,12690164.59677,0.0,14877233.89924,0.0,439342.624688,15316576.523928,18.065152
2019-03-20,841749.73,139683.63,131912.190279,18.583434,9.655113,5796803.335593,2330385.707074,0.0,0.0,0.0,7771.439721,50,7571.94,36580.340488,1823103.4741,0.0,15218998.035113,0.0,17042101.509213,0.0,501663.287154,17543764.796367,20.84202
2019-03-21,846443.06,116636.29,110717.937592,15.048818,10.063747,5972928.393137,2545460.225942,0.0,0.0,0.0,5918.352408,37,4416.78,32894.327593,1863021.562028,0.0,15766645.508293,0.0,17629667.070321,0.0,526289.165015,18155956.235336,21.449708
2019-03-22,837969.49,281284.28,236871.351165,39.406436,7.627805,4438274.279617,1953593.539696,0.0,0.0,0.0,44412.928835,52,4553.49,42871.265995,2342131.554096,0.0,11514927.16621,0.0,13857058.720306,0.0,326347.546481,14183406.266787,16.925922
2019-03-23,788565.27,330219.84,290435.862747,58.305304,5.493972,2897974.989936,1434380.199313,0.0,0.0,0.0,39783.977253,58,5920.65,32027.731192,2317839.399754,0.0,7189174.665081,0.0,9507014.064835,0.0,327306.213539,9834320.278374,12.471156
2019-03-24,822329.39,249933.81,227040.311275,38.139506,7.233506,4038950.406085,1909374.451188,0.0,0.0,0.0,22893.498725,38,4895.58,34980.494284,2419790.795398,0.0,11147532.445409,0.0,13567323.240807,0.0,370276.036907,13937599.277713,16.948925
2019-03-25,876959.44,238458.93,211331.493801,31.749192,7.970744,4811197.334191,2178821.480957,0.0,0.0,0.0,27127.436199,25,3584.55,41894.459569,2427548.157338,0.0,12710881.252349,0.0,15138429.409686,0.0,104901.981888,15243331.391574,17.382026
2019-03-26,838514.58,269172.24,238245.359943,39.689751,7.411176,4351658.129505,1862720.747951,0.0,0.0,0.0,30926.880057,37,3398.34,33533.013253,2301965.185195,0.0,10970572.689338,0.0,13272537.874533,0.0,303058.822145,13575596.696677,16.190054
2019-03-27,843849.5,353819.86,298182.671887,54.645556,6.71268,4003779.074394,1660712.535703,0.0,0.0,0.0,55637.188113,71,5589.03,40829.831823,2429315.620861,0.0,9653602.546244,0.0,12082918.167104,0.0,185078.106688,12267996.273792,14.538133
2019-03-28,844240.66,383423.81,332373.913419,64.93368,6.212087,3694530.633136,1549965.631117,0.0,0.0,0.0,51049.896581,54,5219.22,34534.00431,2678120.068454,0.0,9250897.937213,0.0,11929018.005667,0.0,-36771.366311,11892246.639356,14.086323
2019-03-29,856656.77,352995.39,310505.261341,56.853319,6.234716,3615321.209134,1725690.049693,0.0,0.0,0.0,42490.128659,64,5539.08,46347.665447,2743659.930876,0.0,9399154.695317,0.0,12142814.626193,0.0,224230.620995,12367045.247188,14.436406
2019-03-30,815738.59,313702.73,265433.177465,48.233794,6.5819,3741197.727663,1627912.38138,0.0,0.0,0.0,48269.552535,46,4852.62,47237.75065,2437831.315783,0.0,8718654.225821,0.0,11156485.541603,0.0,448317.260854,11604802.802458,14.226129
2019-03-31,850893.86,280970.7,250514.661282,41.726073,7.503846,4376536.223905,2008440.35372,0.0,0.0,0.0,30456.038718,42,5953.92,47521.700949,2592588.054128,0.0,11656313.083897,0.0,14248901.138026,0.0,136342.838923,14385243.976948,16.906038
2019-04-01,910874.39,157764.77,141847.579582,18.445076,10.543541,6956002.934539,2647838.499342,0.0,0.0,0.0,15917.190418,42,5735.19,40542.85189,2162282.639652,0.0,18970246.778246,0.0,21132529.417899,0.0,599438.244603,21731967.662502,23.858358
2019-04-02,884499.87,314864.25,250713.920797,39.558138,8.330204,5210585.563648,2157478.402898,0.0,0.0,0.0,64150.329203,71,6148.62,59319.336207,2163563.532836,0.0,12548743.823662,0.0,14712307.356498,0.0,317699.167871,15030006.524369,16.992661
2019-04-03,844758.07,381984.87,309562.934557,57.841134,6.343421,3628225.726737,1730429.990578,0.0,0.0,0.0,72421.935443,63,5615.67,41595.474652,2447587.189302,0.0,9703333.765781,0.0,12150920.955083,0.0,294734.80303,12445655.758114,14.732805
2019-04-04,899032.21,255804.37,225288.973615,33.438402,8.896964,5656041.42556,2342615.50167,0.0,0.0,0.0,30515.396385,52,8153.73,48081.415517,2343999.005026,0.0,14648429.343189,0.0,16992428.348216,0.0,254862.940073,17247291.288288,19.184286
2019-04-05,896725.66,242845.57,206392.403689,29.897503,8.655983,5500174.719758,2261867.345463,0.0,0.0,0.0,36453.166311,37,2889.69,39657.019328,2393973.050987,0.0,13617072.504839,0.0,16011045.555826,0.0,317675.086811,16328720.642637,18.209271
