Date,Hour,committed_mw,num_committed
2019-01-01,0,32617.7,93
2019-01-01,1,32617.7,93
2019-01-01,2,31756.7,92
2019-01-01,3,31756.7,92
2019-01-01,4,31756.7,92
2019-01-01,5,33552.1,93
2019-01-01,6,33386.5,92
2019-01-01,7,33725.9,90
2019-01-01,8,35459.9,91
2019-01-01,9,35459.9,91
2019-01-01,10,36131.5,95
2019-01-01,11,34501.7,95
2019-01-01,12,34501.7,95
2019-01-01,13,32714.7,92
2019-01-01,14,32001.3,91
2019-01-01,15,32001.3,91
2019-01-01,16,35968.6,97
2019-01-01,17,38696.0,99
2019-01-01,18,40046.1,101
2019-01-01,19,40046.1,101
2019-01-01,20,40046.1,101
2019-01-01,21,39614.1,100
2019-01-01,22,40696.3,101
2019-01-01,23,38832.9,99
2019-01-02,0,38729.4,99
2019-01-02,1,36983.2,98
2019-01-02,2,36269.8,97
2019-01-02,3,36805.3,98
2019-01-02,4,39382.1,101
2019-01-02,5,42147.5,103
2019-01-02,6,44442.9,106
2019-01-02,7,45905.4,108
2019-01-02,8,51228.6,110
2019-01-02,9,51228.6,110
2019-01-02,10,51798.6,111
2019-01-02,11,52951.4,112
2019-01-02,12,52951.4,112
2019-01-02,13,52951.4,112
2019-01-02,14,50929.6,110
2019-01-02,15,50929.6,110
2019-01-02,16,52951.4,112
2019-01-02,17,55005.2,114
2019-01-02,18,55005.2,114
2019-01-02,19,55005.2,114
2019-01-02,20,54126.8,113
2019-01-02,21,52812.0,112
2019-01-02,22,48803.6,111
2019-01-02,23,46149.6,109
2019-01-03,0,46149.6,109
2019-01-03,1,43880.1,107
2019-01-03,2,43880.1,107
2019-01-03,3,42797.9,106
2019-01-03,4,46918.2,109
2019-01-03,5,49751.2,109
2019-01-03,6,49893.8,109
2019-01-03,7,49893.8,109
2019-01-03,8,49893.8,109
2019-01-03,9,50833.4,110
2019-01-03,10,49680.6,109
2019-01-03,11,44871.2,107
2019-01-03,12,43129.5,104
2019-01-03,13,39328.1,101
2019-01-03,14,37706.7,99
2019-01-03,15,36471.1,96
2019-01-03,16,39493.7,102
2019-01-03,17,45674.4,108
2019-01-03,18,52150.4,111
2019-01-03,19,52150.4,111
2019-01-03,20,52150.4,111
2019-01-03,21,51210.8,110
2019-01-03,22,49146.8,109
2019-01-03,23,47412.8,108
2019-01-04,0,43404.4,107
2019-01-04,1,43404.4,107
2019-01-04,2,42322.2,106
2019-01-04,3,42322.2,106
2019-01-04,4,45051.4,108
2019-01-04,5,51023.8,110
2019-01-04,6,49709.0,109
2019-01-04,7,49709.0,109
2019-01-04,8,49709.0,109
2019-01-04,9,48830.6,108
2019-01-04,10,45758.4,105
2019-01-04,11,41750.0,104
2019-01-04,12,38439.9,101
2019-01-04,13,34461.3,97
2019-01-04,14,32272.8,94
2019-01-04,15,32272.8,94
2019-01-04,16,35293.1,97
2019-01-04,17,40016.0,103
2019-01-04,18,42832.2,105
2019-01-04,19,42832.2,105
2019-01-04,20,42832.2,105
2019-01-04,21,42832.2,105
2019-01-04,22,41098.2,104
2019-01-04,23,42628.4,105
2019-01-05,0,38978.8,102
2019-01-05,1,36366.4,100
2019-01-05,2,36366.4,100
2019-01-05,3,38161.8,101
2019-01-05,4,39101.4,102
2019-01-05,5,40016.0,103
2019-01-05,6,46610.6,106
2019-01-05,7,47763.4,107
2019-01-05,8,47763.4,107
2019-01-05,9,45912.6,106
2019-01-05,10,41904.2,105
2019-01-05,11,38605.3,101
2019-01-05,12,35387.5,97
