ruc_date,final_gap_pct,sol_count,status,solve_time_s,ruc_cost
start_date,1.4372,10,TIME_LIMIT,373.78699016571045,15125633.92
2019-01-02,0.923,6,OPTIMAL,244.83270573616028,29840730.88
2019-01-03,2.8506,10,TIME_LIMIT,253.64134907722473,26603276.34
2019-01-04,1.0936,10,TIME_LIMIT,131.92904663085938,20788433.7
2019-01-05,1.5823,8,TIME_LIMIT,250.13950490951538,14598748.85
2019-01-06,0.9571,9,OPTIMAL,192.8599135875702,8238097.65
2019-01-07,0.7983,9,OPTIMAL,318.6960678100586,9194188.82
2019-01-08,0.9597,2,OPTIMAL,338.8868086338043,10801740.42
2019-01-09,3.1471,7,TIME_LIMIT,371.0794126987457,13428956.01
2019-01-10,1.1345,10,TIME_LIMIT,371.5556426048279,14075509.12
2019-01-11,1.6514,10,TIME_LIMIT,250.17008781433105,12303986.08
2019-01-12,0.9971,7,OPTIMAL,486.0006170272827,12188002.22
2019-01-13,1.4201,8,TIME_LIMIT,370.1016561985016,18191266.8
2019-01-14,1.241,10,TIME_LIMIT,251.07690715789795,23411893.57
2019-01-15,1.9023,10,TIME_LIMIT,251.6433880329132,19167515.79
2019-01-16,2.2391,6,TIME_LIMIT,250.24358415603638,14085131.26
2019-01-17,0.9838,6,OPTIMAL,199.2666871547699,12267585.45
2019-01-18,3.0605,10,TIME_LIMIT,371.67771792411804,10622968.93
2019-01-19,1.3506,10,TIME_LIMIT,252.09079480171204,15633305.15
2019-01-20,0.5205,10,OPTIMAL,117.95876836776733,21355056.48
2019-01-21,0.8949,10,OPTIMAL,191.02657508850098,14539643.41
2019-01-22,1.1122,10,TIME_LIMIT,252.5256049633026,9982110.61
2019-01-23,0.9358,10,OPTIMAL,213.7708559036255,25616431.39
2019-01-24,0.9998,3,OPTIMAL,139.7024691104889,24846030.6
2019-01-25,1.2101,5,TIME_LIMIT,491.0268828868866,21493409.36
2019-01-26,1.7454,9,TIME_LIMIT,251.01570391654968,16669844.6
