Line,cont_rating,max_abs_flow,p99_abs_flow,mean_abs_flow,sum_violation,hours_ge_99pct
L1,1207.06625,1207.06625,811.81342996,321.07871051552513,0.0,10
L10,1207.06625,652.02,558.0846999999998,241.03583447488586,0.0,0
L100,1493.89381,511.977147,278.75213769,64.96562519417809,0.0,0
L101,1326.57776,1294.235361,1010.4579302899999,643.8408329211187,0.0,0
L102,1326.57776,917.788808,782.3731900999999,325.0621115796804,0.0,0
L103,1326.57776,816.343466,594.94646039,405.331461488242,0.0,0
L104,1207.06625,907.351383,665.3803838399999,217.2438105242009,0.0,0
L105,1326.57776,1326.57776,762.7155548999998,258.5876676648402,0.0,6
L106,1326.57776,1326.57776,762.7155548999998,258.5876676648402,0.0,6
L107,1326.57776,668.54185,457.67136415,156.46972118105023,0.0,0
L108,1326.57776,668.54185,457.67136415,156.46972118105023,0.0,0
L109,1326.57776,1272.624059,872.7685085999998,300.6330352871005,0.0,0
L11,1207.06625,598.838874,509.50014881,245.0398384353881,0.0,0
L110,1207.06625,629.44625,392.69641781999997,122.02680929474884,0.0,0
L111,1326.57776,642.277478,544.2609387599999,215.78678419098173,0.0,0
L112,1493.89381,1124.791134,765.492102,544.6501157361872,0.0,0
L113,1207.06625,1017.374503,874.2261208,226.88361810068494,0.0,0
L114,1207.06625,1207.06625,956.4550253199997,326.9435226326484,0.0,10
L115,1207.06625,1111.512051,633.8866080099998,233.83533916426939,0.0,0
L116,1326.57776,825.987441,727.6856624999999,166.23321064429223,0.0,0
L117,1326.57776,825.987441,727.6856624999999,166.23321064429223,0.0,0
L118,1326.57776,1308.177272,962.86999663,444.48850515650685,0.0,0
L119,1493.89381,1270.563701,850.94597369,276.0393193439498,0.0,0
L12,1207.06625,576.787544,382.1013441899999,108.10470280182648,0.0,0
L120,1326.57776,813.45888,721.0556882999998,187.27381131141553,0.0,0
L121,1326.57776,813.45888,721.0556882999998,187.27381131141553,0.0,0
L122,1326.57776,1326.57776,1183.2094083799998,317.82651763207764,0.0,30
L123,1326.57776,820.567657,652.3517803899999,427.64150158207764,0.0,0
L124,1326.57776,820.567657,652.3517803899999,427.64150158207764,0.0,0
L125,1326.57776,674.961015,503.90970916,338.6111009910959,0.0,0
L126,1326.57776,692.613057,432.93661583999955,238.4594549260274,0.0,0
L127,1326.57776,692.613057,432.93661583999955,238.4594549260274,0.0,0
L128,1326.57776,682.637187,526.04660076,350.94869257191783,0.0,0
L129,1326.57776,942.878441,726.5909441700001,484.7405944767123,0.0,0
L13,1326.57776,847.179,825.50258826,271.9935227550228,0.0,0
L130,1326.57776,942.878441,726.5909441700001,484.7405944767123,0.0,0
L131,1493.89381,1108.493409,913.6670222699998,373.11602700742014,0.0,0
L132,1326.57776,1023.731315,748.2326366899998,367.19795460901827,0.0,0
L133,1207.06625,2553.987542,1207.06625,785.0552894243151,19174.333176,2507
L134,1326.57776,720.742578,686.41878587,337.9147365971461,0.0,0
