Generator,unit_type,is_pem,output_mwh,curtailment_mwh,Unit Market Revenue,Unit Uplift Payment,Unit Cost,starts,pmax_mw
101,PV,False,16109.85382,26510.70618,189466.27481,0.0,,,18.66666666666667
102,WIND,False,174967.6578,12830.2622,1632606.066186,0.0,,,80.50009646431697
103,WIND,False,152011.924832,11061.155168,1419233.072383,0.0,,,70.0000947194203
104,WIND,False,27584.253761,2447.746239,254660.812261,0.0,,,13.00007328143217
106,PV,False,913332.67,0.0,15415853.33049,0.0,,,400.0
109,WIND,False,685097.1,200.0,10680736.482964,0.0,,,199.9999318490493
110,WIND,False,1300924.723256,387853.21674400003,17969492.208431,0.0,,,338.599998942999
111,PV,False,67664.25,0.0,1752898.485653,0.0,,,32.0
113,WIND,False,316738.874648,70370.295352,3471798.090673,0.0,,,150.0001006265589
115,WIND,False,315900.45280800003,71208.717192,3469322.714572,0.0,,,150.0001006265589
116,PV,False,203955.970045,235248.939955,8303563.515827,0.0,,,199.3333333333333
117,WIND,False,18422.493155,5351.066845,210699.514461,0.0,,,10.0000765408814
119,WIND,False,700629.13,0.0,32504035.150757,0.0,,,199.9999881797006
120,WIND,False,412025.44,0.0,19115636.489293,0.0,,,117.5999879336357
123,PV,False,15222.05,0.0,256926.240946,0.0,,,6.666666666666667
125,WIND,False,690865.32,0.0,8578421.727034,0.0,,,174.1999763095554
126,PV,False,684999.27,0.0,11561893.038883,0.0,,,300.0
127,PV,False,879082.58,0.0,14837754.998852,0.0,,,385.0
128,WIND,False,985385.88,0.0,12247447.686722,0.0,,,249.4999759911978
131,WIND,False,138849.708792,10108.271208,1631406.388252,0.0,,,100.0000409955779
132,WIND,False,205591.058692,14617.261308000001,2404293.482214,0.0,,,147.0000420015917
133,WIND,False,449766.170699,328.109301,9439123.238267,0.0,,,139.8039647700775
134,WIND,False,0.0,0.0,0.0,0.0,,,6.178165706542476e-05
135,WIND,False,601678.478618,289.211382,12607533.618714,0.0,,,187.3297783473275
136,WIND,False,231050.71,0.0,4967931.366217,0.0,,,153.0000242562797
139,WIND,False,513624.2,0.0,8038039.825696,0.0,,,149.799988246077
140,WIND,False,305436.580373,135580.324063,3030437.148181,0.0,,,250.5999989428539
140_PEM,WIND,True,18336.962674,790521.152887,2156137.4708,0.0,,,250.5999989428539
141,WIND,False,1034960.843206,49795.986794,10992572.981638,0.0,,,229.9999967377302
142,PV,False,1544657.986079,54787.663921,30769936.880632,0.0,,,703.3333333333334
143,WIND,False,338449.976685,214058.943315,4108362.639346,0.0,,,238.4999880303343
