Date,Hour,committed_mw,num_committed
2019-01-01,0,32708.7,95
2019-01-01,1,32708.7,95
2019-01-01,2,31769.1,94
2019-01-01,3,31769.1,94
2019-01-01,4,32708.7,95
2019-01-01,5,32708.7,95
2019-01-01,6,34442.7,96
2019-01-01,7,34442.7,96
2019-01-01,8,36143.5,96
2019-01-01,9,35291.3,95
2019-01-01,10,35291.3,95
2019-01-01,11,34351.7,94
2019-01-01,12,34351.7,94
2019-01-01,13,32730.3,92
2019-01-01,14,32001.3,91
2019-01-01,15,32001.3,91
2019-01-01,16,36045.6,96
2019-01-01,17,38530.4,98
2019-01-01,18,40380.7,101
2019-01-01,19,40380.7,101
2019-01-01,20,40380.7,101
2019-01-01,21,39948.7,100
2019-01-01,22,39948.7,100
2019-01-01,23,38335.5,98
2019-01-02,0,36601.5,97
2019-01-02,1,36498.0,97
2019-01-02,2,36247.8,97
2019-01-02,3,36783.3,98
2019-01-02,4,39441.1,100
2019-01-02,5,42377.5,103
2019-01-02,6,44030.7,105
2019-01-02,7,48039.1,106
2019-01-02,8,49353.9,107
2019-01-02,9,49763.9,108
2019-01-02,10,52015.5,111
2019-01-02,11,53168.3,112
2019-01-02,12,53168.3,112
2019-01-02,13,52086.1,111
2019-01-02,14,51146.5,110
2019-01-02,15,51146.5,110
2019-01-02,16,52890.2,112
2019-01-02,17,55005.2,114
2019-01-02,18,55005.2,114
2019-01-02,19,55005.2,114
2019-01-02,20,54126.8,113
2019-01-02,21,52812.0,112
2019-01-02,22,48803.6,111
2019-01-02,23,45800.0,109
2019-01-03,0,44885.4,108
2019-01-03,1,44885.4,108
2019-01-03,2,44082.2,107
2019-01-03,3,43000.0,106
2019-01-03,4,48161.2,108
2019-01-03,5,49341.2,108
2019-01-03,6,49341.2,108
2019-01-03,7,50423.4,109
2019-01-03,8,50423.4,109
2019-01-03,9,49341.2,108
2019-01-03,10,50656.0,109
2019-01-03,11,45986.1,107
2019-01-03,12,42142.7,103
2019-01-03,13,40347.3,102
2019-01-03,14,37026.7,97
2019-01-03,15,36337.3,96
2019-01-03,16,39531.4,100
2019-01-03,17,45445.8,107
2019-01-03,18,51824.8,111
2019-01-03,19,51824.8,111
2019-01-03,20,51824.8,111
2019-01-03,21,51023.8,110
2019-01-03,22,49211.1,108
2019-01-03,23,45202.7,107
2019-01-04,0,43468.7,106
2019-01-04,1,43966.6,107
2019-01-04,2,42884.4,106
2019-01-04,3,42006.0,105
2019-01-04,4,43740.0,106
2019-01-04,5,48626.8,108
2019-01-04,6,49709.0,109
2019-01-04,7,49709.0,109
2019-01-04,8,49709.0,109
2019-01-04,9,48830.6,108
2019-01-04,10,45900.1,105
2019-01-04,11,41891.7,104
2019-01-04,12,37869.9,100
2019-01-04,13,34461.3,97
2019-01-04,14,32272.8,94
2019-01-04,15,32272.8,94
2019-01-04,16,35293.1,97
2019-01-04,17,40016.0,103
2019-01-04,18,42832.2,105
2019-01-04,19,42832.2,105
2019-01-04,20,42832.2,105
2019-01-04,21,42832.2,105
2019-01-04,22,41098.2,104
2019-01-04,23,42884.4,106
2019-01-05,0,39234.8,103
2019-01-05,1,36554.6,101
2019-01-05,2,36554.6,101
2019-01-05,3,36554.6,101
2019-01-05,4,39289.6,103
2019-01-05,5,41007.4,105
2019-01-05,6,43619.8,107
2019-01-05,7,44772.6,108
2019-01-05,8,44772.6,108
2019-01-05,9,44772.6,108
2019-01-05,10,41826.8,105
2019-01-05,11,38605.3,101
2019-01-05,12,34597.9,97
2019-01-05,13,32652.5,95
2019-01-05,14,29853.2,91
2019-01-05,15,29501.1,89
2019-01-05,16,30003.2,92
2019-01-05,17,33884.5,96
2019-01-05,18,34597.9,97
2019-01-05,19,34597.9,97
2019-01-05,20,34597.9,97
2019-01-05,21,33884.5,96
2019-01-05,22,31553.6,94
2019-01-05,23,33373.0,95
2019-01-06,0,33052.6,93
2019-01-06,1,28006.9,87
2019-01-06,2,28006.9,87
2019-01-06,3,28759.3,90
2019-01-06,4,28759.3,90
2019-01-06,5,29505.3,91
2019-01-06,6,30730.2,93
2019-01-06,7,31443.6,94
2019-01-06,8,31443.6,94
2019-01-06,9,31443.6,94
2019-01-06,10,31443.6,94
2019-01-06,11,28854.7,90
2019-01-06,12,28002.5,89
