Date,Demand,Renewables available,Renewables used,Renewables penetration rate,Average price,Fixed costs,Generation costs,Load shedding,Over generation,Reserve shortfall,Renewables curtailment,Number on/offs,Sum on/off ramps,Sum nominal ramps,Renewables energy payments,Renewables uplift payments,Thermal energy payments,Thermal uplift payments,Total energy payments,Total uplift payments,Total reserve payments,Total payments,Average payments
2019-01-01,986649.81,295013.79,255472.161185,34.939821,10.199578,7013856.978052,3049554.590857,0.0,0.0,0.0,39541.628815,58,3916.14,53956.68975,3057206.66505,0.0,19242493.404629,0.0,22299700.069678,0.0,641612.234277,22941312.303955,23.251727
2019-01-02,1136655.54,130939.9,129557.59912,12.864449,17.400862,15253930.67379,4524855.333762,0.0,0.0,0.0,1382.30088,31,6570.18,49567.343106,3746278.817986,0.0,46918201.942642,0.0,50664480.760628,0.0,1148140.430188,51812621.190815,45.583397
2019-01-03,1100872.77,151029.29,145027.525232,15.172699,16.520059,14030609.992674,4155873.544713,0.0,0.0,0.0,6001.764768,46,7790.755136,53639.506073,2718067.654171,0.0,32885529.052598,0.0,35603596.706768,0.0,871892.367397,36475489.074166,33.133247
2019-01-04,1013727.34,139993.84,135186.161288,15.387573,12.643212,9247105.090338,3569664.509572,0.0,0.0,0.0,4807.678712,39,6488.61,44718.995583,2634854.969977,0.0,23403007.572944,0.0,26037862.542922,0.0,956524.491945,26994387.034867,26.628844
2019-01-05,903816.2,156305.99,148758.69244,19.701637,10.671452,7120227.956911,2524803.45227,0.0,0.0,0.0,7547.29756,47,5002.74,37529.228308,1963759.878438,0.0,15562542.11548,0.0,17526301.993918,0.0,635593.031505,18161895.025423,20.094677
2019-01-06,837425.54,299729.54,260993.064274,45.277301,7.038829,4076804.678469,1817690.553346,0.0,0.0,0.0,38736.475726,53,3676.29,38355.183346,2296534.480425,0.0,10121073.734679,0.0,12417608.215104,0.0,333375.64379,12750983.858894,15.226409
2019-01-07,835476.71,274965.24,234914.870407,39.11585,7.603624,4453420.33633,1899230.539544,0.0,0.0,0.0,40050.369593,63,6512.97,45182.06707,2120286.265023,0.0,11460253.309513,0.0,13580539.574535,0.0,313880.662607,13894420.237142,16.63053
2019-01-08,854810.49,179507.09,161276.191606,23.254249,9.290707,5517353.504364,2424440.482337,0.0,0.0,0.0,18230.898394,43,5633.94,45893.941214,2154343.840319,0.0,14478047.995624,0.0,16632391.835943,0.0,596511.326057,17228903.162,20.155231
2019-01-09,887344.94,198454.88,190596.264756,27.355095,9.766796,6061114.410848,2605402.524892,0.0,0.0,0.0,7858.615244,44,6622.14,46148.122285,2821391.946659,0.0,16901477.189933,0.0,19722869.136591,0.0,554419.998568,20277289.135159,22.851642
2019-01-10,933598.34,217570.5,192497.331422,25.974507,10.62097,7040924.221728,2874795.592612,0.0,0.0,0.0,25073.168578,49,4978.29,45473.422231,2322967.503023,0.0,18185715.140766,0.0,20508682.643789,0.0,635506.726014,21144189.369803,22.648058
2019-01-11,918205.77,266624.32,247575.017885,36.916741,9.073002,5870737.152884,2460145.413299,0.0,0.0,0.0,19049.302115,49,4855.35,38537.460519,2648820.50453,0.0,15171206.835968,0.0,17820027.340498,0.0,429344.657906,18249371.998404,19.875035
2019-01-12,882997.25,253466.77,210771.81605,31.354335,9.334709,5703943.013867,2538579.4872,0.0,0.0,0.0,42694.95395,43,6085.53,46915.969862,2401685.194018,0.0,15388695.641444,0.0,17790380.835463,0.0,399861.639058,18190242.474521,20.600565
2019-01-13,968302.49,140864.43,138788.623011,16.73132,12.475172,8679660.291105,3400079.917765,0.0,0.0,0.0,2075.806989,29,5310.09,34220.025714,2883749.490678,0.0,23610198.181518,0.0,26493947.672196,0.0,738499.721971,27232447.394167,28.123905
2019-01-14,1048428.58,121728.56,118818.763669,12.781574,15.247712,12072234.138962,3913902.894073,0.0,0.0,0.0,2909.796331,43,7790.73,45965.973545,2951437.333544,0.0,38969004.998418,0.0,41920442.331962,0.0,707023.157614,42627465.489576,40.658435
2019-01-15,1016539.15,147080.71,138929.737503,15.830475,12.769849,9293898.308161,3687153.054142,0.0,0.0,0.0,8150.972497,35,5926.47,46281.555753,2554031.322327,0.0,23623589.172675,0.0,26177620.495002,0.0,783533.203163,26961153.698165,26.522494
2019-01-16,934076.17,215691.01,194625.595808,26.320298,10.028156,6654185.169937,2712876.077331,0.0,0.0,0.0,21065.414192,45,5834.64,40120.651113,2465657.636983,0.0,16790571.693201,0.0,19256229.330184,0.0,590374.912043,19846604.242228,21.247308
2019-01-17,868965.08,154901.7,151073.711408,21.044091,9.934898,6067877.737445,2565201.935723,0.0,0.0,0.0,3827.988592,49,5874.18,42975.680762,2325622.959465,0.0,16105898.048594,0.0,18431521.008059,0.0,326413.584294,18757934.592353,21.586523
2019-01-18,885312.54,320373.83,268507.486375,43.531985,8.070601,5024459.801554,2120544.752103,0.0,0.0,0.0,51866.343625,51,3983.64,47279.84071,2364679.407939,0.0,12729393.781136,0.0,15094073.189075,0.0,300055.56884,15394128.757915,17.388355
2019-01-19,964352.87,282263.57,245094.335224,34.075972,12.153796,8802523.59743,2918024.677534,0.0,0.0,0.0,37169.234776,52,8621.58,53585.886246,2769061.632576,0.0,22101356.580338,0.0,24870418.212915,0.0,578001.666724,25448419.879638,26.389116
2019-01-20,1030244.15,183813.28,167330.794367,19.391378,14.297089,11097892.483733,3631599.402735,0.0,0.0,0.0,16482.485633,57,7501.56,51148.658932,2675572.354158,0.0,29629921.590369,0.0,32305493.944528,0.0,921109.877014,33226603.821542,32.251194
2019-01-21,998892.9,347210.64,302025.357368,43.340425,9.719141,6905976.143063,2802404.697493,0.0,0.0,0.0,45185.282632,58,5272.98,45425.345379,2729464.656105,0.0,17479994.207111,0.0,20209458.863215,0.0,219004.202068,20428463.065284,20.451104
2019-01-22,900192.29,367214.69,308157.57459,52.050592,7.793324,4910091.082733,2105398.701967,0.0,0.0,0.0,59057.11541,57,5817.69,30782.117921,2595386.426403,0.0,12873560.907142,0.0,15468947.333545,0.0,478729.760437,15947677.093983,17.715856
2019-01-23,1078724.34,230384.78,215814.819075,25.010133,15.027553,12677881.822977,3532705.891467,0.0,0.0,0.0,14569.960925,60,11363.55,57297.1877,4081892.168435,0.0,34137662.105076,0.0,38219554.273511,0.0,959790.019516,39179344.293027,36.320071
2019-01-24,1048789.29,180566.6,156886.830144,17.590133,15.36133,12606595.006438,3504203.713213,0.0,0.0,0.0,23679.769856,53,9364.92,59020.893168,2975884.724089,0.0,34106476.216302,0.0,37082360.940391,0.0,903424.938085,37985785.878476,36.218701
2019-01-25,999767.2,150084.46,146868.919164,17.219981,13.929421,10649004.837392,3277173.187961,0.0,0.0,0.0,3215.540836,51,7695.27,49905.600506,2777519.949734,0.0,25585096.711103,0.0,28362616.660837,0.0,843694.852716,29206311.513553,29.213112
2019-01-26,909271.36,125808.7,123000.60498,15.643543,11.687946,7819572.941731,2807941.745978,0.0,0.0,0.0,2808.09502,36,5807.31,44250.898198,2208660.593951,0.0,19936567.852772,0.0,22145228.446724,0.0,664041.913261,22809270.359984,25.085218
2019-01-27,878022.17,140155.45,129361.447266,17.279048,10.795395,6748890.46513,2729705.650842,0.0,0.0,0.0,10794.002734,49,5985.63,41886.196965,2116181.386593,0.0,18376610.11537,0.0,20492791.501963,0.0,804223.026157,21297014.52812,24.255668
