Date,Hour,committed_mw,num_committed
2019-01-01,0,32708.7,95
2019-01-01,1,32708.7,95
2019-01-01,2,31769.1,94
2019-01-01,3,31769.1,94
2019-01-01,4,32708.7,95
2019-01-01,5,34559.5,96
2019-01-01,6,33707.3,95
2019-01-01,7,33707.3,95
2019-01-01,8,35976.8,97
2019-01-01,9,35976.8,97
2019-01-01,10,35037.2,96
2019-01-01,11,34105.2,95
2019-01-01,12,34105.2,95
2019-01-01,13,32880.3,93
2019-01-01,14,32001.3,91
2019-01-01,15,32001.3,91
2019-01-01,16,35976.8,97
2019-01-01,17,38696.0,99
2019-01-01,18,40046.1,101
2019-01-01,19,40046.1,101
2019-01-01,20,40046.1,101
2019-01-01,21,39614.1,100
2019-01-01,22,39614.1,100
2019-01-01,23,38690.3,99
2019-01-02,0,37750.7,98
2019-01-02,1,37086.7,98
2019-01-02,2,36307.4,97
2019-01-02,3,36805.3,98
2019-01-02,4,39382.1,101
2019-01-02,5,42147.5,103
2019-01-02,6,44442.9,106
2019-01-02,7,45905.4,108
2019-01-02,8,51228.6,110
2019-01-02,9,51228.6,110
2019-01-02,10,52381.4,111
2019-01-02,11,52381.4,111
2019-01-02,12,52381.4,111
2019-01-02,13,52381.4,111
2019-01-02,14,51441.8,110
2019-01-02,15,51441.8,110
2019-01-02,16,52951.4,112
2019-01-02,17,55005.2,114
2019-01-02,18,55005.2,114
2019-01-02,19,55005.2,114
2019-01-02,20,54126.8,113
2019-01-02,21,52812.0,112
2019-01-02,22,48803.6,111
2019-01-02,23,45847.3,108
2019-01-03,0,45847.3,108
2019-01-03,1,44113.3,107
2019-01-03,2,43198.7,106
2019-01-03,3,44932.7,107
2019-01-03,4,45468.2,108
2019-01-03,5,50722.0,110
2019-01-03,6,50722.0,110
2019-01-03,7,50060.5,109
2019-01-03,8,50060.5,109
2019-01-03,9,50574.3,109
2019-01-03,10,50574.3,109
2019-01-03,11,44330.9,106
2019-01-03,12,42438.3,103
2019-01-03,13,40704.3,102
2019-01-03,14,37976.9,100
2019-01-03,15,36788.3,98
2019-01-03,16,39074.5,102
2019-01-03,17,45907.0,108
2019-01-03,18,50997.6,110
2019-01-03,19,52150.4,111
2019-01-03,20,52150.4,111
2019-01-03,21,49896.0,109
2019-01-03,22,49682.8,109
2019-01-03,23,47832.0,108
