Date,Hour,TotalCosts,FixedCosts,VariableCosts,LoadShedding,OverGeneration,ReserveShortfall,RenewablesUsed,RenewablesCurtailment,Demand,Price
2019-01-01,0,332992.211876,224203.470793,108788.741083,0.0,0.0,0.0,8145.964923,2165.485077,37081.44,8.980024
2019-01-01,1,323764.728075,224203.470793,99561.257282,0.0,0.0,0.0,8878.74227,2254.62773,37258.98,8.689576
2019-01-01,2,314821.871625,215463.27401,99358.597615,0.0,0.0,0.0,9323.375861,2232.824139,37300.18,8.440224
2019-01-01,3,313473.123743,215463.27401,98009.849733,0.0,0.0,0.0,9585.877797,2237.172203,37423.51,8.376369
2019-01-01,4,321977.418886,224206.760793,97770.658092,0.0,0.0,0.0,9866.14067,2209.60933,37895.27,8.496507
2019-01-01,5,395588.32023,299224.348808,96363.971421,0.0,0.0,0.0,10484.946377,2204.753623,38825.08,10.188989
2019-01-01,6,364290.92163,247585.050685,116705.870945,0.0,0.0,0.0,10900.050827,2187.019173,39910.68,9.127655
2019-01-01,7,369070.134207,247585.050685,121485.083523,0.0,0.0,0.0,11264.808075,2112.221925,40436.58,9.127135
2019-01-01,8,419775.775077,296780.572235,122995.202842,0.0,0.0,0.0,10673.219579,2054.190421,40950.22,10.25088
2019-01-01,9,434277.203875,296773.992235,137503.21164,0.0,0.0,0.0,10610.646038,2016.163962,41763.45,10.398499
2019-01-01,10,425760.229117,288033.795452,137726.433665,0.0,0.0,0.0,12038.717999,1401.192001,42249.97,10.077172
2019-01-01,11,421795.661886,279695.005051,142100.656835,0.0,0.0,0.0,12421.159,1995.151,42296.69,9.972309
2019-01-01,12,413518.669308,279695.005051,133823.664257,0.0,0.0,0.0,12758.376448,2548.193552,41879.17,9.874089
2019-01-01,13,392168.205365,267433.709592,124734.495772,0.0,0.0,0.0,13584.374251,2213.875749,41376.35,9.478076
2019-01-01,14,382775.695734,260074.000778,122701.694957,0.0,0.0,0.0,13516.247716,2518.542284,40991.32,9.337969
2019-01-01,15,384972.697912,260074.000778,124898.697135,0.0,0.0,0.0,13139.930054,2355.869946,41015.88,9.385943
2019-01-01,16,425773.592619,296793.732235,128979.860384,0.0,0.0,0.0,12966.555665,1442.754335,41842.15,10.17571
2019-01-01,17,481239.74356,326021.320751,155218.422809,0.0,0.0,0.0,11672.01,1676.27,44058.7,10.922695
2019-01-01,18,545680.215459,382862.811485,162817.403974,0.0,0.0,0.0,11017.027075,708.492925,45400.64,12.019219
2019-01-01,19,548037.832004,382856.741485,165181.09052,0.0,0.0,0.0,9724.555,193.025,45246.05,12.112391
2019-01-01,20,540683.836294,382856.741485,157827.09481,0.0,0.0,0.0,9606.438111,63.351889,44844.33,12.056905
2019-01-01,21,536566.759653,378657.701485,157909.058167,0.0,0.0,0.0,8734.66,0.0,43901.75,12.22199
2019-01-01,22,526111.487873,378657.701485,147453.786387,0.0,0.0,0.0,7793.79,0.0,42206.58,12.465153
2019-01-01,23,492859.948318,365856.604886,127003.343432,0.0,0.0,0.0,7515.39,0.0,40494.84,12.170932
2019-01-02,0,477177.160844,357116.408103,120060.752741,0.0,0.0,0.0,6986.39,0.0,39246.69,12.158405
2019-01-02,1,454381.450144,330272.103097,124109.347048,0.0,0.0,0.0,7033.83,0.0,38577.95,11.778268
2019-01-02,2,439198.033848,322547.658295,116650.375553,0.0,0.0,0.0,6546.8,0.0,38434.15,11.427286
2019-01-02,3,449011.272935,327753.650904,121257.62203,0.0,0.0,0.0,6531.14,0.0,38830.97,11.563226
2019-01-02,4,486432.759612,356019.526478,130413.233134,0.0,0.0,0.0,6668.76146,5.94854,40072.12,12.138932
2019-01-02,5,589857.526558,440569.846517,149287.680041,0.0,0.0,0.0,6693.015888,80.394112,42485.81,13.883636
2019-01-02,6,649199.687546,480788.044886,168411.64266,0.0,0.0,0.0,7036.76,0.0,45299.73,14.331204
2019-01-02,7,707223.401269,523273.074036,183950.327233,0.0,0.0,0.0,7286.15,0.0,47420.65,14.913828
2019-01-02,8,902339.303689,717356.908547,184982.395142,0.0,0.0,0.0,5943.97,0.0,48547.97,18.586551
2019-01-02,9,912566.773036,717350.838547,195215.934489,0.0,0.0,0.0,5236.19,0.0,49679.19,18.369196
2019-01-02,10,933694.832923,735693.608739,198001.224184,0.0,0.0,0.0,5765.92,0.0,50682.64,18.42238
