Line,cont_rating,max_abs_flow,p99_abs_flow,mean_abs_flow,sum_violation,hours_ge_99pct
L1,1207.06625,699.321105,645.2437057900005,352.2868020972222,0.0,0
L10,1207.06625,487.49,481.7035,328.0836111111111,0.0,0
L100,1493.89381,222.535286,206.28601655000014,81.86194809722222,0.0,0
L101,1326.57776,970.570207,944.8568342200002,615.4428553194444,0.0,0
L102,1326.57776,564.720355,563.1649558700001,345.3909471527778,0.0,0
L103,1326.57776,564.743045,561.2929199900001,403.91199806944445,0.0,0
L104,1207.06625,743.635439,728.7651933200001,264.64734654166665,0.0,0
L105,1326.57776,662.883225,650.8782801700002,308.474615,0.0,0
L106,1326.57776,662.883225,650.8782801700002,308.474615,0.0,0
L107,1326.57776,448.9962,443.3319023600001,222.2551283888889,0.0,0
L108,1326.57776,448.9962,443.3319023600001,222.2551283888889,0.0,0
L109,1326.57776,869.126682,850.9035167000002,429.79611240277774,0.0,0
L11,1207.06625,546.995105,537.55706364,355.98060054166666,0.0,0
L110,1207.06625,314.992324,306.96579743000007,97.61699109722223,0.0,0
L111,1326.57776,369.187023,358.0181060100001,195.67880181944443,0.0,0
L112,1493.89381,765.492102,765.492102,556.6136923472222,0.0,0
L113,1207.06625,582.566305,581.79149194,220.3065782777778,0.0,0
L114,1207.06625,665.112234,642.0553872800001,297.81324079166666,0.0,0
L115,1207.06625,590.539496,583.9536581200001,267.29743045833334,0.0,0
L116,1326.57776,195.904624,188.38468811000007,90.69619154166668,0.0,0
L117,1326.57776,195.904624,188.38468811000007,90.69619154166668,0.0,0
L118,1326.57776,768.386607,761.1547103,501.28209576388895,0.0,0
L119,1493.89381,834.4424,825.1018040100001,399.1408858333333,0.0,0
L12,1207.06625,182.305146,172.4655939600001,65.93660654166666,0.0,0
L120,1326.57776,281.661047,265.99872958000014,111.03533258333333,0.0,0
L121,1326.57776,281.661047,265.99872958000014,111.03533258333333,0.0,0
L122,1326.57776,604.992007,597.41797976,279.62721816666664,0.0,0
L123,1326.57776,507.80209,505.99272458,455.45985848611116,0.0,0
L124,1326.57776,507.80209,505.99272458,455.45985848611116,0.0,0
L125,1326.57776,453.209065,449.9505839,368.5284214027778,0.0,0
L126,1326.57776,328.349427,319.3262862100001,234.9786658611111,0.0,0
L127,1326.57776,328.349427,319.3262862100001,234.9786658611111,0.0,0
L128,1326.57776,428.257419,424.86983647000005,379.9822174861111,0.0,0
L129,1326.57776,591.521667,586.8426392,524.842547875,0.0,0
L13,1326.57776,766.878832,755.66798099,465.54023551388883,0.0,0
L130,1326.57776,591.521667,586.8426392,524.842547875,0.0,0
L131,1493.89381,672.072561,669.60634476,313.95214080555553,0.0,0
L132,1326.57776,608.928177,603.9996282200001,409.3849555833333,0.0,0
L133,1207.06625,1207.06625,1207.06625,951.9275457361111,0.0,46
L134,1326.57776,420.414751,420.32894395,345.8049369305556,0.0,0
L135,1207.06625,585.11334,567.7604799200002,299.87742104166665,0.0,0
L136,1326.57776,1098.741052,1054.5237018200005,648.6851880694444,0.0,0
L137,1326.57776,420.019957,413.73160202,291.50928651388887,0.0,0
L138,1326.57776,420.019957,413.73160202,291.50928651388887,0.0,0
L139,1326.57776,222.83088,219.49475401000004,154.65282009722222,0.0,0
L14,1493.89381,956.580438,942.5963759800002,580.7001884305556,0.0,0
L140,1326.57776,512.944671,512.0040992099999,226.76417548611113,0.0,0
L141,1326.57776,482.438044,479.24339758,292.7784864305556,0.0,0
L142,1207.06625,98.57,97.1145,50.117777777777775,0.0,0
L143,1207.06625,925.269486,914.4414861600001,677.0801220555555,0.0,0
L144,1326.57776,559.409874,556.18140957,210.6567398472222,0.0,0
L145,1326.57776,793.49334,789.02175219,305.44510544444444,0.0,0
L146,1326.57776,230.326824,226.46293726000002,107.09206568055555,0.0,0
L147,1326.57776,1298.45,1284.5482,735.5057113333334,0.0,0
L148,1207.06625,90.158911,89.84905138,70.60500351388889,0.0,0
L149,1207.06625,159.811089,159.26184862,125.15082981944445,0.0,0
L15,1326.57776,1034.292609,1011.9099960300002,631.0945907916666,0.0,0
L150,1326.57776,699.410873,667.6346064500003,291.7019373888889,0.0,0
L151,1207.06625,978.197025,933.7546942800004,407.9747376527778,0.0,0
L152,1326.57776,1326.57776,1326.57776,902.0606683194444,0.0,29
L153,1326.57776,507.04901,501.37786086000006,404.00675631944443,0.0,0
L154,1326.57776,507.04901,501.37786086000006,404.00675631944443,0.0,0
L155,1326.57776,507.04901,501.37786086000006,404.00675631944443,0.0,0
L156,1326.57776,560.624437,557.6279998599999,349.4438974305556,0.0,0
L157,1326.57776,560.624437,557.6279998599999,349.4438974305556,0.0,0
L158,1326.57776,1230.02,1221.1947,992.666531013889,0.0,0
L159,1326.57776,1326.57776,1326.57776,624.7424997777778,0.0,2
L16,1207.06625,339.460138,332.1140498700001,207.12848106944443,0.0,0
L160,1326.57776,270.11577,258.9846683200001,117.01360152777778,0.0,0
L161,1326.57776,270.11577,258.9846683200001,117.01360152777778,0.0,0
L162,1207.06625,924.233041,922.3815363699999,617.7947531805555,0.0,0
L163,1326.57776,509.487452,492.54854748000014,155.60863518055555,0.0,0
L164,1326.57776,509.487452,492.54854748000014,155.60863518055555,0.0,0
L165,1207.06625,654.139486,643.1197861600001,441.9050036111111,0.0,0
L166,1326.57776,1261.04464,1225.5735888300003,506.4207625277778,0.0,0
L167,1326.57776,636.51502,630.7912229400001,307.96495870833337,0.0,0
L168,1207.06625,198.672872,191.49028125000007,128.50273343055557,0.0,0
L169,1493.89381,438.394747,434.26337983,288.54477537500003,0.0,0
L17,1326.57776,522.863439,513.4334440700001,369.4872950277778,0.0,0
L170,1326.57776,233.761024,221.7556766000001,76.57453598611112,0.0,0
L171,1326.57776,210.384921,199.5801090500001,68.91708234722222,0.0,0
L172,1207.06625,723.324044,699.2330858300002,320.4274458055555,0.0,0
L173,855.10483,496.231154,485.9227144100001,324.1446525833333,0.0,0
L174,1326.57776,20.185,20.105125,17.03628472222222,0.0,0
L175,1326.57776,20.185,20.105125,17.03628472222222,0.0,0
L176,1326.57776,20.185,20.105125,17.03628472222222,0.0,0
L177,1326.57776,20.185,20.105125,17.03628472222222,0.0,0
L178,919.64102,236.108204,233.18949482000002,103.28436281944444,0.0,0
L179,1326.57776,334.924214,324.4411761800001,198.09839831944444,0.0,0
L18,1326.57776,423.265885,421.40596261,369.0579633888889,0.0,0
L180,1326.57776,334.924214,324.4411761800001,198.09839831944444,0.0,0
L181,681.21557,166.307183,151.61424420000012,80.91550234722223,0.0,0
L182,681.21557,166.307183,151.61424420000012,80.91550234722223,0.0,0
L183,598.15507,212.71849,193.92519612000018,103.49657272222223,0.0,0
L184,681.21557,271.21962,246.51132393000023,85.91134508333333,0.0,0
L185,681.21557,271.21962,246.51132393000023,85.91134508333333,0.0,0
L186,1326.57776,402.018663,395.38800353000005,244.38279631944442,0.0,0
L187,681.21557,681.21557,681.21557,318.77340734722225,0.0,5
L188,1207.06625,1207.06625,1201.7270500000002,733.8793945972222,0.0,3
L189,1207.06625,1207.06625,1207.06625,687.4413797361111,0.0,9
L19,1326.57776,423.265885,421.40596261,369.0579633888889,0.0,0
L190,1207.06625,555.927269,554.74185442,329.2727034166667,0.0,0
L191,1326.57776,882.034058,845.6123864100003,405.28288181944447,0.0,0
L192,681.21557,681.21557,681.21557,671.0786726527778,0.0,64
L193,1326.57776,1140.235134,1130.8082524200001,819.2525226111111,0.0,0
L194,1326.57776,644.312449,643.1167486500001,459.1518808888889,0.0,0
L195,1326.57776,315.427113,314.84175066,224.78062054166668,0.0,0
L196,1326.57776,1152.97285,1130.2663002400002,882.8354212361111,0.0,0
L197,1326.57776,174.273859,174.273859,157.55044455555554,0.0,0
L198,1493.89381,371.900826,371.900826,336.21302036111115,0.0,0
L199,1326.57776,393.475434,393.46342932,323.27239641666665,0.0,0
L2,1207.06625,964.973911,964.93121657,570.7890001527778,0.0,0
L20,1326.57776,426.829268,426.829268,411.5984300277778,0.0,0
L200,1326.57776,462.236415,462.22231227,379.7651916805555,0.0,0
L201,1326.57776,462.236415,462.22231227,379.7651916805555,0.0,0
L202,1493.89381,442.689022,429.4541548200001,191.6856484861111,0.0,0
L203,1493.89381,1311.26084,1293.8434863600003,1013.9531782222223,0.0,0
L204,919.64102,207.892534,207.65406133000002,183.4906127361111,0.0,0
L205,681.21557,518.307413,517.7128653899999,457.4697467222222,0.0,0
L206,681.21557,518.307413,517.7128653899999,457.4697467222222,0.0,0
L207,681.21557,518.307413,517.7128653899999,457.4697467222222,0.0,0
L208,1326.57776,385.525885,380.70070654000006,188.33248874999998,0.0,0
L209,1326.57776,385.525885,380.70070654000006,188.33248874999998,0.0,0
L21,1326.57776,452.055784,451.26276086,330.93505206944445,0.0,0
L210,1326.57776,390.898887,380.2361254600001,242.00948766666664,0.0,0
L211,1326.57776,532.585176,518.0575607000002,329.728914625,0.0,0
L212,1326.57776,532.585176,518.0575607000002,329.728914625,0.0,0
L213,1326.57776,629.520618,621.6416415,307.525874125,0.0,0
L214,1326.57776,629.520618,621.6416415,307.525874125,0.0,0
L215,1326.57776,499.252976,479.5423067400002,238.41345533333333,0.0,0
L216,1207.06625,482.346002,468.8343058200001,232.56525829166665,0.0,0
L217,1326.57776,608.839702,581.1546734200002,381.71659119444445,0.0,0
L218,1326.57776,625.577564,597.1314345900003,392.2105182222222,0.0,0
L219,1326.57776,625.577564,597.1314345900003,392.2105182222222,0.0,0
L22,1326.57776,341.361534,340.76269728,249.8994613611111,0.0,0
L220,1326.57776,625.577564,597.1314345900003,392.2105182222222,0.0,0
L221,1326.57776,576.728785,576.6224625,160.15619798611112,0.0,0
L222,1326.57776,520.904874,509.76362500000005,350.97550659722225,0.0,0
L223,1326.57776,362.133971,352.24795159000007,179.69111540277777,0.0,0
L224,1326.57776,408.864005,397.7022867000001,202.8785892777778,0.0,0
L225,1326.57776,1029.04631,1023.3965134,730.9866699027777,0.0,0
L226,1326.57776,395.797466,390.92253926000006,322.03272930555556,0.0,0
L227,1326.57776,395.797466,390.92253926000006,322.03272930555556,0.0,0
L228,1326.57776,403.488828,398.51916880000005,328.2906524861111,0.0,0
L229,1326.57776,403.488828,398.51916880000005,328.2906524861111,0.0,0
L23,1326.57776,341.361534,340.76269728,249.8994613611111,0.0,0
L230,1326.57776,403.488828,398.51916880000005,328.2906524861111,0.0,0
L231,752.32491,538.491988,516.4003309000002,377.95969399999996,0.0,0
L232,752.32491,538.491988,516.4003309000002,377.95969399999996,0.0,0
L233,752.32491,538.491988,516.4003309000002,377.95969399999996,0.0,0
L234,752.32491,538.491988,516.4003309000002,377.95969399999996,0.0,0
L235,1326.57776,265.715012,264.40604748,219.63491193055557,0.0,0
L236,1326.57776,265.715012,264.40604748,219.63491193055557,0.0,0
L237,1326.57776,488.415489,485.38601485000004,279.347935,0.0,0
L238,1326.57776,252.248382,251.33887626,194.06383251388888,0.0,0
L239,1326.57776,427.261657,389.42320739000036,212.25391133333335,0.0,0
L24,1326.57776,463.324036,462.51124575,339.18416626388887,0.0,0
L240,1326.57776,340.106139,323.19977307000016,144.95779369444443,0.0,0
L241,1326.57776,352.036139,334.88837307000017,154.3074436388889,0.0,0
L242,1326.57776,413.992708,407.46644409000004,239.93489763888888,0.0,0
L243,1326.57776,284.711528,280.93196370000004,182.02030652777776,0.0,0
L244,1326.57776,191.931179,189.3832801,122.70445220833332,0.0,0
L245,1207.06625,4.35,4.3074,3.609583333333333,0.0,0
L246,700.0,294.198787,287.8321765300001,179.5113502638889,0.0,0
L247,700.0,700.0,700.0,675.0214256111111,0.0,54
L248,700.0,700.0,700.0,333.15911959722223,0.0,17
L249,700.0,700.0,700.0,455.4483988333334,0.0,5
L25,1326.57776,463.324036,462.51124575,339.18416626388887,0.0,0
L250,700.0,700.0,700.0,508.99229865277783,0.0,4
L251,700.0,493.523822,490.67559878000003,185.84605715277777,0.0,0
L252,700.0,700.0,700.0,632.8276187916667,0.0,47
L253,700.0,578.651215,578.5445374999999,160.6900520138889,0.0,0
L254,700.0,605.534988,602.5520025200001,500.5235602916667,0.0,0
L255,700.0,605.534988,602.5520025200001,500.5235602916667,0.0,0
L26,1326.57776,382.088262,381.41798011000003,279.7141492083333,0.0,0
L27,1493.89381,653.423352,648.8424462,274.2215865555556,0.0,0
L28,1207.06625,992.157225,992.0558128600001,741.9533728333333,0.0,0
L29,1326.57776,335.657927,317.86213200000014,138.029538125,0.0,0
L3,1207.06625,389.7,383.4023,281.9348611111111,0.0,0
L30,1326.57776,512.41,512.2609,368.4247222222223,0.0,0
L31,1207.06625,187.38,187.2664,163.85777777777778,0.0,0
L32,1326.57776,1009.652193,903.3345834800009,379.85680002777775,0.0,0
L33,1326.57776,579.173021,578.4872888,384.7539125277778,0.0,0
L34,1326.57776,245.17822,237.84295085000008,124.20444306944445,0.0,0
L35,1326.57776,667.805866,667.34781447,554.246944263889,0.0,0
L36,1207.06625,81.671131,81.61511270999999,67.78313466666667,0.0,0
L37,1493.89381,469.064217,460.6875013900001,297.4262326527778,0.0,0
L38,1326.57776,392.360716,392.09159405,325.6406379027778,0.0,0
L39,1326.57776,459.441243,456.45230275,146.2565084861111,0.0,0
L4,1326.57776,553.56061,526.2568244400002,238.3639505972222,0.0,0
L40,1326.57776,168.417221,167.94212947,101.84474819444443,0.0,0
L41,1326.57776,346.143937,345.16749175,209.31910547222222,0.0,0
L42,1326.57776,572.671159,568.19686822,367.40885366666663,0.0,0
L43,1326.57776,428.32388,425.39838464,162.86704059722223,0.0,0
L44,1207.06625,547.125092,540.0116822300001,336.36754869444445,0.0,0
L45,1207.06625,228.466679,198.19234290000028,95.83831049999999,0.0,0
L46,1326.57776,607.755572,606.4894027299999,501.30061675,0.0,0
L47,1207.06625,392.199816,388.48062442,140.1581136388889,0.0,0
L48,1326.57776,700.516305,699.32969194,307.26877919444445,0.0,0
L49,1207.06625,405.47,402.8856,127.92555555555555,0.0,0
L5,1326.57776,250.847067,238.47430312000012,108.01508773611111,0.0,0
L50,1326.57776,1203.546753,1198.42809249,758.3362791388888,0.0,0
L51,1326.57776,366.407383,358.73789697000007,96.53633570833333,0.0,0
L52,1207.06625,466.8,466.16810000000004,383.73623895833333,0.0,0
L53,1207.06625,1207.06625,1207.06625,722.5869985555555,0.0,5
L54,1207.06625,606.632914,601.06975444,163.63432844444444,0.0,0
L55,1207.06625,1207.06625,1207.06625,715.1705649444444,0.0,6
L56,1326.57776,908.90325,875.5438353900003,418.40645870833333,0.0,0
L57,1326.57776,369.42,368.1562,289.3025,0.0,0
L58,1326.57776,628.50325,619.8272502200001,368.33689954166664,0.0,0
L59,1326.57776,969.23285,965.45015602,703.6280952916667,0.0,0
L6,1207.06625,334.44,314.38250000000016,173.60835354166667,0.0,0
L60,1326.57776,363.920347,363.7482927,189.41580622222222,0.0,0
L61,1326.57776,800.034874,796.9125212,580.7964666527778,0.0,0
L62,1493.89381,991.247007,980.3480668000001,546.519907625,0.0,0
L63,1326.57776,445.485825,428.9426730600001,189.30213263888888,0.0,0
L64,1326.57776,445.485825,428.9426730600001,189.30213263888888,0.0,0
L65,1326.57776,252.935302,245.06887404000008,115.12345243055557,0.0,0
L66,1326.57776,429.988402,427.0561872,205.04870430555556,0.0,0
L67,1326.57776,429.988402,427.0561872,205.04870430555556,0.0,0
L68,1326.57776,274.18315,272.7220623,98.86525558333334,0.0,0
L69,1326.57776,274.18315,272.7220623,98.86525558333334,0.0,0
L7,1207.06625,161.17,160.815,149.64097222222222,0.0,0
L70,1326.57776,444.130778,443.02639359,205.05320790277779,0.0,0
L71,1493.89381,334.379366,322.6470924100001,140.65408634722223,0.0,0
L72,1326.57776,137.614679,137.614679,65.49655044444444,0.0,0
L73,1326.57776,580.80242,560.4239708900002,244.31003261111113,0.0,0
L74,1326.57776,1326.57776,1326.57776,673.0416875555555,0.0,6
L75,1326.57776,797.28,796.7049000000001,669.7637263888888,0.0,0
L76,1326.57776,841.80511,835.4208865600001,496.9289801527778,0.0,0
L77,1326.57776,718.522843,711.16058604,376.9106932083333,0.0,0
L78,1326.57776,831.967357,815.7292352600001,520.7543669861111,0.0,0
L79,1207.06625,673.291691,665.2064027,427.988662875,0.0,0
L8,1493.89381,626.93,621.7825,424.19083333333333,0.0,0
L80,1207.06625,273.16,272.2228,213.9186111111111,0.0,0
L81,1493.89381,398.736145,393.94788370000003,253.46302656944442,0.0,0
L82,1207.06625,164.16,163.59910000000002,128.55916666666667,0.0,0
L83,1326.57776,175.389755,175.389755,114.1156901111111,0.0,0
L84,1207.06625,513.312258,507.32670169000005,234.75188079166668,0.0,0
L85,1207.06625,235.007742,232.26739831000003,107.47553494444445,0.0,0
L86,1326.57776,398.755377,397.47145986000004,306.05249256944444,0.0,0
L87,1326.57776,446.189824,444.75317663000004,342.45935091666666,0.0,0
L88,1493.89381,909.545482,904.7556828400001,514.2344155555555,0.0,0
L89,1326.57776,335.672829,334.59202582,257.6354123472222,0.0,0
L9,1326.57776,457.25,448.93590000000006,267.26694444444445,0.0,0
L90,1326.57776,308.141327,308.12687920999997,217.6436873888889,0.0,0
L91,1493.89381,387.783495,387.34782054,288.4763675138889,0.0,0
L92,1207.06625,323.204617,315.23022786000007,151.15974154166668,0.0,0
L93,1326.57776,412.820351,410.35805751000004,188.51170772222224,0.0,0
L94,1326.57776,718.812561,716.01974476,337.1663074722222,0.0,0
L95,1207.06625,571.306754,565.69479188,322.81361443055556,0.0,0
L96,1326.57776,580.077579,573.09406302,304.3470144861111,0.0,0
