gen,unit_type,bus,pmax_mw,avail_gwh,cf
275,WIND,120,1038.999987796685,4280.224480000001,0.4702695921034351
205,WIND,77,1057.999956964386,3647.01565,0.39350283967633143
20,WIND,32,780.1999893773013,3270.5857,0.47853696109564764
274,WIND,120,746.3999877635443,3067.4041,0.46913222284116224
204,WIND,28,856.9999804088067,2944.2845700000003,0.39218850898948526
91,WIND,94,785.4999846514534,2750.7403,0.3997599693283565
19,WIND,32,643.299989366006,2685.75934,0.47659495885524367
206,WIND,22,1799.800026503209,2681.47501,0.1700769244853666
270,WIND,120,578.9999877407346,2375.5110700000005,0.4683541770761076
30,PV,26,926.6666666666669,2115.8005,0.2606436015571104
55,WIND,59,622.9999845890748,1941.38904,0.35572995009114805
110,WIND,2,338.599998942999,1688.77794,0.5693528365765511
142,PV,14,703.3333333333334,1599.4456500000001,0.2595996964876972
251,WIND,118,1088.000014729177,1579.2879599999999,0.16570221622975445
279,WIND,34,882.0000399863538,1433.0147600000003,0.18547182811905835
146,WIND,75,267.9999991911224,1420.9373600000001,0.6052517226745865
272,WIND,30,501.3000961526271,1332.9573599999999,0.3035389048588025
140,WIND,2,250.5999989428539,1249.87502,0.5693527430388747
252,WIND,25,890.2000140444867,1228.92923,0.15759236426931125
192,WIND,58,332.5999964111627,1225.23121,0.42052488873485766
67,PV,14,533.3333333333334,1212.84972,0.2595996832191781
158,PV,16,536.6666666666667,1193.52718,0.25387713349783025
282,PV,26,508.3333333333334,1160.64572,0.26064354816977314
58,PV,26,500.0,1141.6187000000002,0.26064353881278546
59,PV,26,491.6666666666667,1122.5920899999999,0.26064362433248195
249,WIND,113,500.0000227461816,1109.82586,0.2533848880163016
141,WIND,14,229.9999967377302,1084.75683,0.538394304837182
157,WIND,16,249.9999989733363,1008.68923,0.4605886913891956
92,WIND,94,282.4999844536548,991.4362600000001,0.40062889019276665
128,WIND,50,249.4999759911978,985.38588,0.45084963297434627
237,WIND,19,522.0000272874335,976.1589799999999,0.21347445917780006
22,PV,50,406.3333333333334,927.79404,0.260654376481958
106,PV,50,400.0,913.3326699999999,0.26065430079908675
83,WIND,119,290.9999775719367,909.8173699999999,0.35690872292119663
127,PV,50,385.0,879.08258,0.2606542667378284
97,WIND,22,612.5000265020816,874.04144,0.16290027065163745
90,WIND,94,220.199984363153,771.36721,0.39988929987700483
247,WIND,46,572.4000116113384,765.14854,0.15259560093021152
24,WIND,50,192.4999756230771,762.63219,0.45225184520826267
163,WIND,120,185.3999876467921,758.0838200000001,0.4667705211680732
64,WIND,93,199.9999881797006,700.6291299999999,0.39990249509602327
119,WIND,93,199.9999881797006,700.6291299999999,0.39990249509602327
194,WIND,7,176.4999950015191,691.7618100000001,0.44741215516751304
125,WIND,50,174.1999763095554,690.86532,0.4527320024971955
109,WIND,77,199.9999318490493,685.2971000000001,0.3911514460721028
126,PV,50,300.0,684.99927,0.2606542123287671
236,WIND,31,530.1000171191179,648.31842,0.13961318555883784
77,WIND,119,199.9999772775151,625.53025,0.35703785449087694
56,PV,26,273.3333333333334,624.0851899999999,0.2606436643835615
135,WIND,18,187.3297783473275,601.96769,0.3668278126269964
88,WIND,94,170.5999841325928,596.21269,0.3989496816590131
63,WIND,93,169.9999881214527,595.5558000000001,0.39991662746021645
57,PV,26,260.0,593.64171,0.2606435326659642
81,WIND,119,184.9999773299124,578.6466899999999,0.3570571152091576
245,WIND,113,260.0000216450519,578.0154200000001,0.25378265361788943
89,WIND,94,163.9999841055736,572.92318,0.3987938770507124
143,WIND,53,238.4999880303343,552.5089199999999,0.264451981911739
139,WIND,70,149.799988246077,513.6242,0.3914079048328263
53,WIND,26,210.4999834245312,481.90478,0.26133950365339387
162,WIND,6,162.499984420327,476.29693999999995,0.33459570471719774
78,WIND,119,151.1999769835146,472.97934999999995,0.3570971210525062
133,WIND,18,139.8039647700775,450.09428,0.36751908756863344
80,WIND,119,141.4999814852966,442.64941000000005,0.3571078528477458
116,PV,120,199.3333333333333,439.20491000000004,0.2515261545333762
23,WIND,50,108.7999815821133,433.21254000000005,0.4545357966264583
95,WIND,82,119.9999867619931,419.03942000000006,0.39862962921143574
120,WIND,93,117.5999879336357,412.02544,0.39995639800959415
74,WIND,19,217.6000261932161,409.42611,0.2147892223572536
